HOMA-IR	0.016309272123225613
INSULINA-BASAL	0.03205574912891986
Protrombina	0.18828848406273252
Hb	0.3601056345809607
ALT	0.3693766528423364
ICC	0.3816620135394951
Filtracion-glomerular	0.3972291180175468
HbsAgHBcAc	0.3977734970644783
Hierro	0.40440033590912766
Hcto	0.4305253736620724
Cintura	0.4389728252462228
IST	0.47802041973908105
Proteinas-T	0.4796263010953878
AST	0.4818712201015093
CREATININIO	0.4819393595627289
Hb-A1	0.4897367238547046
GGT	0.5012983329772893
Haptoglobina	0.5025156352439393
UREA	0.5044290649792634
GLUCOSA	0.535557749114187
FA	0.5575760031233655
EDAD	0.5699663354229435
Transferrina	0.579975469793961
Albumina	0.6324207556482088
DIABETES	0.6455654101995565
PESO	0.6463819787699537
BI	0.6560246333360343
HEMATIES	0.6660540253847117
IMC	0.6669103726676047
Cadera	0.6670613844465235
Ceruloplasmina	0.6848862991801165
Colesterol	0.6856026843264507
VCM	0.6889967661380025
BILIRRUBINA	0.7035307290554028
BD	0.7063023476806799
TALLA	0.7418545719736871
TIROXINA	0.7456814314443354
Trigliceridos	0.7540220698190069
Plaquetas	0.7888284432527198
Proteina-C-Reactiva	0.7894306487613351
HDL	0.8010953878792789
LDL	0.8033384652783404
Cobre	0.811386288130474
TSH	0.8448980118010179
Ferritina	0.8618978865717378
