42	U6	0.2000653808434129
4	FBP11	0.21108977978543195
43	U6ATAC	0.21828286130345625
16	SAM68TV1	0.29567000505215607
19	SF3BTV2	0.3003358197866208
35	U12	0.36674195369847545
2	ESRP1	0.38353532051472555
18	SF3BTV1	0.391967369015424
11	RAVER1	0.4102350738506345
36	U2	0.41139409789295367
22	SRM160	0.4253618235311599
38	U2AF2	0.47710184552289814
9	PSF	0.49106957116110433
3	ESRP2	0.495096436744034
8	PRP8	0.5218580046955333
27	SRSF5	0.5273559392552528
10	PTB	0.5608190436565723
21	SND1	0.5632262474367737
6	NOVA1	0.564117804392404
34	U11	0.5800469553329967
14	RBM3	0.5841183987637076
1	CUGBP	0.5845790365241167
15	RBM45	0.6067788047193081
5	MAGOH	0.6136289339950667
12	RBM17	0.6479687360694226
20	SKIP	0.6483253588516745
41	U5	0.6551309102796518
40	U4ATAC	0.6771820856489049
31	TRA2A	0.6777021605396892
13	RBM22	0.6790246366905406
24	SRSF10	0.6810009212755209
17	SC35	0.6816398704270556
33	U1	0.6837350292727867
7	nSR100	0.6993224167137211
32	TRA2B	0.7056673303812891
26	SRSF4	0.7211804214092544
30	TIA1	0.7673779309934917
0	CA150	0.7714413504116021
37	U2AF1	0.7969330440726322
39	U4	0.7973193854200719
25	SRSF3	0.8165918749442778
23	SRSF1	0.8176320247258462
29	SRSF9	0.8274242919551843
28	SRSF6	0.9225682784035187
