,CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTBP1,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC,Class
11AIV,8891556.29335152,4703153.48402748,3984728.52647612,98673.9441587922,1059.21867836226,8317357.53423281,1238874.45851975,31127463.6265393,3851734.43443107,20609591.406073,5196.00124625931,3011727.73603236,813913.984408586,7319618.00294,9259001.76412282,6313116.36892287,1845565.45022797,29071442.9592673,849478.864052759,434306.905787982,6114394.59828269,42197.9936483744,7252962.55371766,8486107.25788988,31013.53205421,6433119.44058994,28600605.7460186,3350299.83077482,20756563.5876482,388681.799038832,23842021.7669098,5533867.3817964,8793798.19172699,10359998.3237921,39430366.656771,9719424.17607905,235.624521196119,12270574.2614713,3015932.36448358,2915629.67630259,425063360.243389,19153.3503456429,2969576.10617001,14253255.7161885,75850.2214559633,T
12AIV,7079203.1641469,17944.7518878657,4641824.30282199,52377.0110939931,13275.0516550571,6762918.71543616,1895603.47223869,28717796.7363576,15641.1571405224,13499038.3333584,6330.8553597253,8519804.65577722,2002280.38263568,4074321.42721017,11006978.7200588,9126602.74782654,1630825.68789831,29904126.2909353,1219670.48975712,295276.163518755,5518339.11649774,26549.065505093,12838646.4853685,7217575.29391421,10881.56955576,7116238.80449185,39569444.2248279,3414765.65624825,9857242.76503281,520105.250107151,33865234.3076292,7392687.61165654,8843981.61237708,16355441.1598956,23677119.6973772,12374520.038936,1408.74908828586,11421798.575469,6437891.12372557,4486415.9688665,370773185.671174,63198.0595427896,3850968.82350966,7858043.22524911,34354.5811459657,T
13AIV,6094630.37008832,442137.111818173,2784849.58642458,60078.4701370213,1948.05776391522,7843828.09059914,916552.749469021,45344079.8444669,521248.925842297,18381797.4138514,2493.12982234611,4369443.43718903,1060537.25369716,5295612.010447,6585411.5681606,10339741.9961561,1343694.08590353,20730637.7148062,581097.803596315,206876.837268635,4464191.42945076,9916.46836918956,7434124.33656817,5770090.47722471,11242.2813213942,5434281.68469338,21098293.0864933,2490708.08930835,18171811.1257007,261965.185108733,21675039.169548,3777751.18020045,6289908.50371071,6173646.59870571,19901845.5379819,43014440.2240714,9116.34380392528,13575686.7059625,3157156.38005842,3221273.75175611,641666880.909891,2116841.00944445,5509246.20094866,37387915.1453008,208081.498147464,T
14AIV,5368439.64808169,65.206292229019,2420855.32046583,74888.4418551855,1019.28752766537,7395125.7827628,987995.848978426,18340561.9722061,8350.56782723751,13213579.1087002,4868.14866943771,5394307.21092943,771504.10518179,2400642.34669092,4470689.7959429,7265680.5296219,914789.152078895,14595527.7937692,795976.466079378,226270.708421413,5535784.93652961,33591.2737851653,7408617.4340286,5334582.18248658,15096.6582642661,5059307.71187403,16636008.2614116,1483637.62955943,9869597.712797,334209.762145963,18346242.382992,4295634.51171032,6192830.0892391,7861433.14083646,20174188.1558592,11797316.9483897,460.612142829562,26874839.0813673,2340407.89023798,2046602.14553075,367794201.682686,57027.4531784179,3223788.28299522,13083218.7147032,58302.256315282,T
15AIV,4088412.08937922,4531.44336653531,1597661.17326859,507988.174964253,2949.48214948196,2640541.26392405,387405.145947874,26286614.5260767,40077.0852322129,8084362.04371294,8.02584536926915,1390762.61107619,143860.032855601,1629411.0852795,10005187.4149012,5725414.56592768,275673.994242356,7836526.28690653,221823.511047386,1443.03377752878,2488069.02165023,426.503766924681,2442047.66496965,8687393.63619423,77525.6855988553,2264781.70210882,16185110.2486503,1195203.60402851,7461420.00023677,24006.6266348382,11298039.1619697,3764027.26948391,3497220.04706816,3212194.44216954,1588272.09486456,27704662.4392034,250.894992763975,1526842.59085036,1031060.85346526,282022.070968189,292509.754069591,48588.7564837026,1089247.89833895,11195784.1036565,72682.4761035233,T
16AIV,10598165.9774192,50393.2632718804,2757110.2328379,55250.1313278919,4031.57194058374,7813510.91593186,640399.603853234,76595630.9278227,722461.930609342,18195098.4355844,4157.21289011337,4828937.73295561,1318704.86246084,3600029.95384736,5661285.08098417,6014122.41428124,717238.594656051,16508643.0396462,841604.516579837,270581.162096898,4540853.04393169,20908.2340729073,5289849.37023392,3479112.76078062,7902.22007447821,4242010.41938252,21241429.078598,1222987.56110269,11125894.9731877,571735.709970601,19661542.6000628,3665809.87014796,6159965.11182993,9261182.54577978,13898385.90039,9475973.90765097,1675.6302288233,14464469.5746225,5847849.22799555,1838716.47701002,341330442.852612,36336.6548766122,6915082.12841446,37766955.105392,66642.2927652615,T
17AIV,5365848.15956976,41369.1379551731,2914637.4227554,227946.265777981,2949.48214948196,9182994.78641257,653720.566291837,21901969.9181435,28575.9636818218,15541742.2813134,2283.86240106999,4160337.88606321,801903.373635495,5475912.14285056,8099081.23617838,4645021.76024933,701907.615355438,22579948.3828508,426459.86053416,359506.445056521,8684807.0569266,43997.9089254196,4517019.68427036,9342819.74033198,49290.9830012707,6746304.13411229,16853960.9252948,2704316.72297628,21451504.3266005,293822.295117463,13801065.3871221,3972731.76364529,8079127.63618453,7814154.54491874,31217717.9330387,26738945.5545974,703.340553228988,52334299.2071319,2701362.82405791,2997400.74296184,376691185.271062,12535.911966975,3072901.46636478,17033136.1196216,80636.8077699031,T
18AIV,7597110.2590734,19674.8926812282,6716811.55881868,127093.237287888,210.559357732231,9730479.7896622,1695932.90488929,69968235.1024889,67856.7743539372,9376510.80625678,2946.69390344219,6365541.31964566,830864.57773324,4404208.52504722,9537589.50234443,9034507.05532669,986049.776314109,43054612.4748374,623662.602405342,182681.861443765,3880540.79928757,58162.7403054938,7709925.58960582,6295800.45552397,11361.1298974215,6721760.14755939,37950579.5923586,1583047.65040507,12826956.9090335,253659.680980966,32584903.5325901,4979685.70464101,9713295.16973933,22395529.0049999,18972466.9096917,12791246.0405145,724.036310775459,9224939.0940123,6301201.67470864,2745400.14395335,190118907.403207,32458.2121013702,4727872.66094768,8271260.63374513,64040.7314031918,T
19AIV,3968911.30436249,10479.5211189854,1192378.10228649,366692.036066231,3887.26145236139,1989945.9126194,148568.040620932,29247415.0311058,55886.8873342906,4628995.23242303,843.876666941856,2595659.94598574,305536.08656842,1595927.01801178,2849233.19263784,2246402.5974087,202842.39582609,16409486.4867506,211308.139783143,93683.2535645924,2343842.00563412,57931.3758493308,2629118.98402121,4212101.18548688,82659.0595863891,2885295.36378943,7724877.4890913,1296661.2313351,8868267.05068886,108761.500976439,7306262.63391318,723728.32257356,5944108.13412191,3982421.86073693,6305504.96103581,31513714.9416099,552.470534655683,8894278.62211536,1245572.30572849,1409333.65563894,142403003.231431,27923.7436652738,5047412.42835123,11450247.9583476,194091.181933593,T
20AIV,6773703.75421399,346361.873795934,2737617.15621801,216318.325343848,3901.78111520293,9857609.29799902,2045624.49954577,40668112.2943865,302766.894659367,15100197.6295919,43391.4240646828,6368897.05083816,1626434.5844992,3308135.97804571,9069324.24382524,14581576.1598503,1616389.15102439,20220804.6318054,1164862.32776252,349631.801529684,10777458.1129809,227788.236755886,4807935.24133493,5341438.52097527,46625.5544243953,6339021.20068669,38475925.378888,2357641.29933284,11425267.2977896,527467.391044784,16893908.0802073,8295229.79723429,9771536.83588127,13879231.5672977,33212734.0874572,26967700.0376474,6206.26757056165,10435348.9913491,2652642.48831351,1810768.83414308,195602608.551555,472755.246213415,3918182.75594622,64366453.8137965,183269.412221291,T
21AIV,3010616.52690676,19631.6778940949,2249346.51068861,1064482.17586314,2949.48214948196,816658.756034133,660472.719143886,36774297.3918383,77758.0514168645,2075726.99758312,32.633554011272,7827257.07185475,614459.941391415,3544303.43313668,4357618.28412631,12119640.1162945,368126.912780246,22371846.1795248,116450.622459818,203.147760141259,1764681.07230153,13142.1761296027,14430731.2621578,2495246.44348087,53428.8661918256,3872026.55407062,30758044.2917924,1104679.0710256,22034455.939034,266442.178942639,68769325.9276133,3219539.18496468,4804329.28223745,2322351.48342819,5498968.80016129,132902596.13232,2857.43697375034,20908169.8375308,2652197.75015338,2319947.95120697,441595345.268323,1117116.95872412,3135348.80450476,118722343.486063,123713.847204178,T
