,CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTBP1,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC,Class
NP1,1336538.01824548,505349.324610104,343121.051155059,256368.380258535,679.908468761662,340216.11552312,68873.5467845828,4890066.78404957,634102.059673475,1520500.97824212,744.246589111122,171237.064683565,49440.9431843805,1065154.3973997,405468.660007202,221427.736349279,45650.3329181428,1758030.12295743,61561.6782679869,11044.4097132478,692089.34392925,334.819267469007,809497.58119494,808717.978860688,21406.6846172608,1033627.30521784,1458608.74649563,393834.875744184,3528113.35843387,46020.4374721035,3605054.37030867,147733.885544242,806295.160560314,506685.521821736,1043788.39741046,207502364.910979,1444.13506990297,14609386.8325641,371771.743580195,325564.233625229,126201854.032677,83445.5871542382,550966.756352627,16234127.8627462,170441.503929757,S
NP2,3845509.05029062,128556.787859684,937238.488883169,5637204.87987999,2816.02761280185,671215.042813829,49948.4525801371,5683662.47176182,195609.386685491,2332365.65634108,203.417966821361,305522.638182621,107855.228957155,20583413.4956736,402727.634866407,297076.161641107,26386.5841519102,9485671.20663608,35076.1255911984,3960.42100981909,448372.569668267,223.873177409009,4169326.05581917,1564955.86821181,117031.461123153,928427.494383871,2962383.60655961,1654123.83340276,3908890.90213481,42690.6397214657,22981500.5885874,148322.95930195,1593536.56280701,709356.389471328,1044043.40951637,98744712.57372,66905.9342548063,3266283.95005369,1344398.58301711,1015309.10392573,38139957.7145919,28493.9424742414,448170.390648558,9164439.16317126,87807.3445706239,S
NP3,1435613.4859275,256483.199975047,317688.699119449,61317.7498663632,1241.579145271,624857.578470837,48998.7877923594,4671260.21767741,742347.770212982,1808133.22871568,92.2128516397375,223815.893584423,67112.6656175105,1303658.36426343,592287.686549985,497053.072645945,148544.978315663,2560896.85311792,31101.6199301831,4139.36625280064,548334.862558923,557.955681876744,961062.59681398,1096219.64659065,7163.77154935225,561042.05765954,1810578.48940015,501561.15162576,5228882.58549767,19510.3528654636,2545143.0861023,257254.140286013,1385915.16506681,723617.540336832,2764861.89786914,29588962.5607053,197.744203513635,1672030.87305471,337977.172421942,322912.48860316,67615230.8551713,4860.47600075795,490593.873786507,3230093.57145593,32023.1086494505,S
NP4,1797475.87399722,158170.432517319,814860.030522379,228332.814048593,980.609060429234,1029074.57796227,94102.2015095916,6958371.0519771,530446.661914389,3051256.04837613,129.934812977918,539897.13157702,105762.544678923,3414716.26010635,1309272.9473774,796972.500397842,195703.801642423,2641897.7739668,51344.9757627138,3919.89429045806,662420.693690852,435.501124453052,1168563.00152,2106838.00058977,27122.7788028587,1459370.93514184,4691803.81655039,1627646.52966934,8555248.32324038,36137.8066251481,4951579.38098555,399439.963415969,2100748.90113482,1379548.63077727,5927301.13474686,41581778.5375106,396.552305573864,193383.874354613,667164.57175262,363596.845548106,145983.829405758,1745.6924653381,899586.900265172,4154912.78475055,15302.2983737861,S
1AIII,16634873.1961821,348594.785877388,418304.217513797,4226656.07402214,53362.176447099,3410335.4630008,481500.479039077,35121233.2194543,4410891.0394288,18712826.294712,18787.1866212526,4015433.25230688,947842.841666292,28410369.4640349,13210883.6786978,12052401.6032194,923369.069821321,31712583.4180782,91003.3852628011,188716.627160137,71541.1247359244,37783.8569073923,16573652.9994318,3399571.85944514,1251319.95735961,15781891.0596814,33692089.3841635,11872502.5640442,50493965.1696286,3538970.20559418,61211744.3598779,420486.778992011,10885900.2069176,5426689.20791151,13421011.0542196,12460403.11348,14495.468871718,12834637.3182702,7174400.13740294,6810177.96468867,745062.529112042,59595.6481890562,46352783.1136928,27552723.432614,18526.7234424788,T
2AIII,551130805.076469,467561.412781986,2238022782.8425,539517289.013197,2310.87803556182,5067149.16889204,1258379.55994254,230464579.379973,2049906.8174636,3732441.5958223,18787.1866212526,801641.583476892,2200866.87765209,21407578.6675585,54212046.2904843,30443066.3841252,1087912.52337014,2876.50076004015,748851.472004004,188716.627160137,70400559.7388084,37783.8569073923,112803245.841216,257845857.438672,191187904.935752,43221141.6907991,22571150.9886315,12729344.1858926,60166486.3993154,27245693.6003748,93922408.5569862,2523977.88221668,1770310.54256507,9347763.16931637,39700271.268968,4043715335.25314,3193649.86255439,57371145803.9548,91272461.3122603,2690424.78765602,646714057037.669,7684715.6593263,19151207.5887687,1461363973.05821,18505488.8596877,T
3AIII,12890741.5966206,20461.2831060916,5206533.8293509,228246.992696312,6664.82745382694,16703897.0884849,1341162.44689233,72300703.6779118,219444.841792327,19705663.8171799,226919.669758526,3844767.89545363,2211003.27595399,9231666.4678878,11596706.7849044,7800825.19441994,2705611.0982018,32106708.5916576,1826991.39078379,839348.881066527,7389634.55042035,268472.602626197,14527152.1615281,8035874.60347087,64713.930526594,10385680.8110377,41311194.70794,7560041.55978528,25837181.2488511,748502.184284923,34878560.9605712,6101195.52967511,12776691.5086451,15424316.3640039,72791157.8942568,35124162.3687418,11722.1806683989,124794342.874571,7572090.58479504,3194927.36789249,1087774061.60688,522485.356221606,15060822.6774968,108776289.217638,352038.709507643,T
4AIII,7461695.60970339,19823.0998712293,2302797.80398183,81776.2731396935,2720.79045326404,8171391.53223422,1054753.63169257,50772760.1196424,98924.9848786654,12285955.7659574,17249.6579357861,4013100.2571293,2200866.87765209,5945071.3564648,7285481.50284674,5422759.9286784,1637140.59198878,21698425.1813786,748851.472004004,194359.464311269,3888284.76069165,34103.8530223642,9613006.70957599,3166010.96938884,17184.8369274023,4726128.84171776,32697499.1226096,3226721.26002773,15425110.5564349,563785.044026423,31022490.4744178,3252480.08054813,7575816.00569861,9407413.02423335,39149667.0234654,25815468.7657325,6453.88735240128,208178451.705133,5425300.71219136,1308729.61447273,546062198.847136,372909.491418343,9660043.95588626,87328042.9658375,297174.357841559,T
5AIII,5705099.34028472,129086.357104015,2082152.92665044,131912.195771371,2310.87803556182,4075948.08160899,436871.721710545,20605293.5470146,468431.108478201,7256970.44915188,6086.02200520007,4915503.51705255,3826100.14082668,4951866.2026927,3621892.79291087,4848321.4058033,1087912.52337014,13372654.3696531,462668.679434294,60541.1610558718,1268146.00596636,319.52252133512,12292050.2932535,2647429.79085739,24163.1328820305,5998453.2536138,16696873.8402751,4728788.1216629,23996040.1431665,3025128.84308803,38280235.7156626,1409750.14084209,4273481.71215639,2012844.90206947,30199588.576247,8595502.90340358,7055.33671522392,83787888.3298854,7028053.53127825,4408821.2654456,44865492.3463328,528229.162850353,11739597.5978027,15088781.3128193,651044.063442099,T
6AIII,3935620.87108492,50635.7305050779,2178806.86283062,42791.9270945991,1900.96561785959,6465052.3576588,680984.985129274,16720502.5198811,29227.9562642969,8384074.25737393,18787.1866212526,2832379.4753426,1176405.86996706,2489034.05437466,4408378.29759481,4511513.67484891,1036006.53823651,10349090.1015832,890435.238114727,194701.744163224,2635396.12551915,41463.8607924204,5268278.70569859,2744804.76695104,3218.46370746539,3745940.90609296,20840803.1444691,1983202.71441357,13506008.653278,597285.319524442,24673712.0682364,2523977.88221668,4480433.32403919,9347763.16931637,24560524.5740043,8987308.52440139,1631.5487537497,48420297.7080997,3648829.20980893,1432139.94777071,309901021.863078,182440.585201436,6129184.24213278,21222209.7317942,170999.114514245,T
7AIII,2424874.41199275,4799.14093863126,1103922.88467399,24578.180428039,145.758178243029,4753876.22208246,168442.767627348,6714199.2062713,79245.9215783108,9605637.12440172,6744.85034104251,2047597.0577349,733808.338183852,1714162.54019097,5663252.27870066,5792006.42539536,598103.966587862,8869114.18362153,626508.417122198,70399.4562500611,2783512.88196442,17187.1271663401,3966173.21376667,2336040.21892064,5589.67413267894,3259671.72646785,15405230.8961943,1210609.6538416,8353161.29434606,458788.20562929,15479400.6073336,1752524.98693746,3004932.01927869,5071913.78304164,15380348.2273791,6403403.05397943,1110.02825052413,6504958.1797307,3470851.14008049,1526268.16937477,89456902.3193126,65035.1162423364,5805661.34844532,19140164.5634486,67122.8342641555,T
8AIII,10027261.1826419,246127.115448795,2749866.05851763,42416.7633982592,367.973054963676,10970414.230942,1252251.87830665,42427327.355972,559076.11978625,22522546.5745668,35060.3712758527,5676622.85227076,2990009.9224165,8036833.05827593,13007588.2812742,9561632.72498653,1964398.15307286,27935043.5432954,956059.217565666,183073.790009006,5703161.8855172,59792.2038619205,10791081.4367202,5943053.70327127,14813.9764699711,6586988.58168316,41348146.0649567,4635337.62053146,28409542.3993916,960125.035559614,30728812.0038069,6423840.31878803,8585145.36318566,12462045.4340301,67421110.7057303,14914058.359341,2548.28342831655,51477417.7037862,6305533.14261641,2690424.78765602,475380520.979503,109083.630320494,10938176.6215139,74266255.5256982,158401.896322897,T
1AIV,5934917303.9975,35153.0662071163,2467041819.24052,1760219214.71474,2949.48214948196,6073646.44368226,916552.749469021,196608596.108529,215572.791436104,10080909.4495938,2719.91186289415,4828937.73295561,801903.373635495,4074321.42721017,6996344.58725808,8663534.03709706,1343694.08590353,20220804.6318054,623662.602405342,153811.485284997,4077757.68788704,13142.1761296027,191378160.733348,769284139.816527,1795760464.91724,3485431.86796448,28600605.7460186,2386019.92358055,217653729.272466,386645.370645997,23842021.7669098,3972731.76364529,6289908.50371071,8139316.58502612,20174188.1558592,24674587.5215928,903.935245412175,1822289.19720483,32838943.4196064,2086587.10232697,24065916.1631836,2675920.68752054,3850968.82350966,58890770.4048434,219416101.250542,T
2AIV,8712626.44315505,730725.427093714,4748423.83207408,34543.6178256677,6994.04500466336,9834332.68197696,2170876.98314954,61049313.9234018,803756.171682894,23018674.902633,7665.07656820088,9875760.35668907,2823817.55628361,5679699.67952736,12923984.5175782,15134180.2391271,3079242.63755624,32131575.0749351,820004.932454469,246507.067170901,5217909.58658395,32342.3374566971,11017020.0771047,7838476.55499573,13889.1527664271,11292277.5763918,40502813.1091845,7190406.00677958,26084678.3952474,1674394.92329175,38274005.3916467,4694281.42577515,10762168.3316776,13834692.7895707,60516792.8954239,34912924.6436856,3153.24680888268,31611080.7442285,4969325.36161119,4025943.95214848,648488562.017206,153254.733339901,15732648.7974615,63793336.1347329,238855.180935295,T
3AIV,3501506.8370675,35153.0662071163,8819943.89726019,17872608.2821889,2949.48214948196,359388.714643897,1816736.80588666,142434166.946437,310163.738236265,704618.19864071,14457.9510156782,604219.565561991,34019.4122002941,101236456.892239,4459421.88317063,36446579.4685597,1908626.80548047,2011128.7691848,70038.730476231,8131.94612173928,425672.815592867,1186.02613878875,1065777.71887528,1726263.74232941,899417.368040006,27061161.0675927,144100805.665841,372464.518066476,4614776.41217667,1081545.88353113,65266028.553117,448388.196968476,16516929.5503095,999561.054874315,3623005.4514494,309861812.368936,26242.4641238763,299734017.901277,27606837.8942427,160614.798530639,54287068.9425438,6919102.64198763,3001658.69400352,935306209.272449,17134829.3992373,T
4AIV,8172816.68287506,28936.9944590595,4426807.63188075,746907.818539208,56856.2433142762,5704825.90988256,769878.704168933,54751915.1057616,336505.89266755,16995369.4445246,160.255991199168,5364210.2891085,850894.315350256,9251307.3605156,10180284.5821045,7378265.30116993,1221475.21728971,21920511.0292601,383790.883028637,147749.882262312,4584960.41678346,10748.7183162136,4907006.5933036,7644763.88553943,234643.055289282,9661059.75960845,19261747.9581188,6956785.208602,21181001.8881075,1480817.68504482,24178688.9896199,1524032.44631213,9484476.42834268,5318324.67748944,22182075.9882767,9294946.93563454,10.3967917584576,9436037.23519239,3687065.08968533,2743073.16651479,18374220.6564494,16280.5611576293,17986761.1814687,15059489.1960059,44964.6179488953,T
5AIV,8637018.95310842,399.655706584096,10124603.0120114,6149815.24091746,2949.48214948196,1827997.48026317,448222.421092159,40101451.2067139,59006.8020369277,6481766.08032563,182.785195334018,3962589.93579721,229307.664334678,3211309.07391755,6188601.12374554,12689115.386771,500544.285664534,9569066.64566131,174325.409082188,13654.7405979311,3851376.64766965,2139.64972948783,6497215.7764949,7815074.85902101,826265.090961205,4042892.40619298,20930806.6039955,2386019.92358055,19993494.8358782,386645.370645997,27497276.8076719,610259.376317316,4549690.14443471,3732787.56932188,9100093.53144183,98473574.7179741,3064.18092063681,1285494958.4217,2710869.46411648,1056218.32283926,578628275.954353,1177137.52013871,4283145.6288245,57668795.8471706,207951.670861101,T
6AIV,5177812.35889398,77663.4461674191,3035081.15694179,401840.64346562,2131.03934372751,3901934.36411182,1147476.78891997,47861020.1957208,132880.365106866,8574965.70841509,2719.91186289415,5491992.64177763,509025.455940919,5906300.41027326,6996344.58725808,16678642.1993458,2348116.86885097,23307520.1890578,199101.381661913,727.858992120877,3075601.54102659,30.6345373619939,5982828.74231015,4226950.24328133,15443.5722771045,3183087.43478683,67598714.1851813,3018528.29653234,19972941.1919661,398259.369584705,49349755.2883145,5937694.42754307,5602965.81977695,9459834.14633599,51030160.6222522,36168304.2659052,522.840023673003,63492193.7477155,3100895.24065841,1858711.86857816,887551178.873111,3046099.20070285,4564230.97204165,50239260.7304788,275936.875223956,T
7AIV,5436652.99450004,196028.996450919,2190452.27231453,30642.3950446322,973.006291150602,5002146.29308074,870286.088836277,48863909.449638,298265.217765343,9128534.08246839,5693.6626850557,6356011.17539344,1222592.505259,3448545.24036093,5962099.55587238,8214472.5581467,1469772.01036425,18297843.6358421,677996.711840406,86377.6563659201,3322039.03163323,5953.17341175733,4722618.62799758,3631760.21317216,8210.28397606082,5124611.04888994,31101746.1990582,2411513.64930506,8952391.99358594,475211.960156915,29443015.8303066,5098483.04658297,5599130.08181561,11107129.2441848,35245870.6821318,10103028.7737608,44131.7462515163,13790379.762586,3680436.94028257,2086587.10232697,278927940.825797,33154.9141298306,2826616.16722081,5238280.89612582,34720.9871482485,T
8AIV,9105741.86746335,898121.973162365,3275025.24858318,78863.2621794584,869.714504227793,5966227.70620671,1336150.12501401,44756237.1576535,547738.705955311,10080909.4495938,12869.1450928425,5493155.6199691,1251527.00861501,6946335.23020428,7890913.81271716,7929170.98576911,2128790.41548182,24197542.4129163,653979.056213324,267682.260582051,4077757.68788704,13142.1761296027,6180153.05679007,7703003.82946878,23920.434636831,6565073.413143,35864777.1419244,4900141.13021703,17148767.5813747,417321.151828626,41238035.402535,3478994.41322201,9300705.75478999,10204929.9240627,35749927.3748061,14075158.3769973,401.525512193489,46483303.4295959,3613538.27475759,3278028.43613864,679090568.898621,44050.6925603758,5815754.84032645,20141494.3584594,96088.1543169979,T
9AIV,3989084.92275421,2390.37461357451,2158440.82842792,40361.9497329566,2314.97182036391,6073646.44368226,888083.367512573,30820565.6283548,12261.9382811164,9719304.43158727,1190.53674043248,4040627.66328799,571894.422434008,2689971.23968726,8410310.18926412,10595001.7773873,1386491.86445156,11116555.0216091,761458.420915472,60341.0479219525,3734530.61302942,3784.63631079418,6161656.19978074,5536562.76649049,6585.99191479687,6076102.06467982,39257889.6445504,2174047.76526627,6615170.9706234,323879.813075921,20299015.2481121,5501475.14567464,5133845.09922528,8747848.32178973,8984274.31199111,24674587.5215928,3374.24023525113,25325523.2777452,2433891.25673881,1350726.60081565,380146914.413265,293379.443094877,2951380.06239725,20875207.0300616,65555.3477629761,T
10AIV,8543106.55959872,3110247.62571336,3110513.51586744,109536.447235144,6239.09729485813,6080705.64171807,1151115.38059567,22518159.2196534,3205294.38399562,13734374.725617,2248.91747721498,2033586.1030914,538478.926099012,6985227.08866568,6533677.49826276,8663534.03709706,1892270.41166985,19129423.5394796,647928.572230173,153811.485284997,5304743.42778281,15541.8226918511,5955718.44237981,6050180.68519011,5503.59405158766,4994747.76741392,26833354.6957281,2818826.07565884,22683608.189838,280956.599178915,20525720.5645677,4278962.9786628,7577670.44246371,8139316.58502612,38840182.6362628,12377224.8149624,903.935245412175,10673599.1714501,2102107.85688997,2627561.86351325,909131946.885926,37072.0449786375,2463974.3689356,20240578.972474,96586.9919595356,T
