CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTBP1,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC,Class
NP1,-2.34806569707349,0.923044440465164,-2.21542973641767,0.254997561602875,-1.01461582232239,-1.77303367350473,-1.68595020634869,-1.84884714392495,0.653925584182679,-1.62853785502862,-0.657012156888722,-1.81761674598117,-1.73508722304956,-2.19094051074561,-2.166382698041,-2.06726435870712,-1.85508326448216,-1.72461967176247,-1.47274477071077,-1.10269561859637,-1.18430132740655,-1.40533624277347,-2.19150560702863,-2.60383829981431,-0.153750188726771,-1.75134060076759,-2.15381312888884,-2.01857679463663,-2.10239797155629,-1.49561158081564,-1.92925742070625,-1.70006254221134,-2.01837318999861,-1.80644677022526,-1.79377432014005,1.54820321308356,-0.120127133867934,-0.119864079688237,-2.21905728361132,-1.63668556821952,-0.121866677162881,-0.158848250891739,-1.83028334052483,-0.317077512884684,0.323565147398858,S
NP2,-0.493940787667369,0.239481579263208,-0.916948933973538,1.37192479787787,0.172982237234749,-1.54643234952349,-1.77444407870612,-1.71896550964214,-0.0793540786481111,-1.4089442722137,-1.15623807668396,-1.69798355932492,-1.40483363065942,1.46064007915774,-2.17000007350056,-1.98793673538913,-1.94751122031514,-0.666844813299014,-1.68008223583451,-1.38658943463957,-1.4932512080423,-1.51388198264546,-0.329941503686945,-1.38173448017603,0.787435155858666,-1.86687661492304,-1.78906296389213,-0.44372269610502,-1.9163734710345,-1.55059898139924,-0.144135545685003,-1.69924961494988,-1.60169876255576,-1.69000470185864,-1.79369771705331,1.20965360262061,1.50501699607229,-0.955685863654711,-0.871637235620688,-0.801846199033014,-0.566123456538987,-0.717302062131586,-1.99386918954528,-0.901390366875617,-0.195304463098217,S
NP3,-2.19331863720734,0.57364656180002,-2.33232766036398,-0.756116284873877,-0.497409740547767,-1.5747491920383,-1.77921528422759,-1.88796327563154,0.753820954925651,-1.54674790025365,-1.42850854267196,-1.76823905800649,-1.61613750573809,-1.81090189572135,-1.95354076431079,-1.82280883111148,-1.51553375563611,-1.57607716183883,-1.7174972542435,-1.3762997475857,-1.35176158064711,-1.25610542749776,-1.97257976235655,-2.00205939227779,-1.0824542901407,-2.40258664504234,-2.05191957063955,-1.76376723567124,-1.41482074664337,-2.13124142740103,-2.14601939606419,-1.56589291574851,-1.70192820004248,-1.68242533812159,-1.41773112265794,0.319973186180013,-1.1702869475258,-1.373864217211,-2.32569169653874,-1.6410295485455,-0.354685917499721,-1.71778451529063,-1.92257098886094,-2.2197503093364,-1.24791066931732,S
NP4,-1.73769614747246,0.337560280326373,-1.07482099895118,0.188767868346242,-0.697581090610413,-1.35034460935966,-1.58218213096819,-1.54083540589239,0.541262939677722,-1.23713698938343,-1.31337775662152,-1.52245868169723,-1.41425990436014,-0.315043539281344,-1.43192770383452,-1.63615829917746,-1.39514154616056,-1.56210693614614,-1.54594152420626,-1.38896209022612,-1.21612819367749,-1.33017771283223,-1.73052748578916,-0.925000753759483,0.00887137217830242,-1.37674677119114,-1.49928053241671,-0.462288622418276,-0.648808340460732,-1.67303998923075,-1.70511841531568,-1.42288574539309,-1.37586290036192,-1.38647315057869,-0.997461332711207,0.625864749097953,-0.784839277021209,-2.93891331481226,-1.58557393230696,-1.57608996311187,-2.51691753057708,-2.34685360800226,-1.43035532981369,-1.86786382516969,-2.2838050207393,S
1AIII,0.985778638733121,0.729039795151141,-1.92700115435431,1.30699676905398,2.2943071035083,-0.450840085129627,-0.577699633898753,0.034075651044381,1.91077450694647,1.13760427068624,0.9198176995086,0.112115536173559,0.155390345073546,1.68068410734952,0.899375775420523,0.589584284261064,-0.181926055980486,1.19578377131248,-1.29126214601934,0.471127221675906,-2.65432417049518,0.642337735154718,0.895857727320474,-0.291500485028268,1.49395057971747,1.35204079987708,0.434588860076488,1.98245279946292,1.41822760335371,1.48389938969374,1.44720441190693,-1.40361319137286,1.16238196107279,-0.28002612607731,-0.37293245150195,-0.728451357859977,0.914063124013976,-0.187062786773612,0.653173255710617,2.45035103272897,-1.96470001426504,-0.329974149738608,2.46059516494147,0.151125268314779,-1.99005006947376,T
2AIII,2.25851098872875,0.881891195340249,2.36790696589635,1.89827076103552,0.0145448429737647,0.0141310638203992,0.66793351362975,2.2475579423439,1.40702738674181,-1.0875505647754,0.9198176995086,-1.35246269022695,1.15132241049537,1.48873597098853,3.21521096074016,2.1556914631923,0.0251253163220647,-2.26293535216503,0.58611068758451,0.471127221675906,3.14881938280909,0.642337735154718,2.20195118119115,2.24769872037448,2.00845745774662,2.58583282890378,-0.0725523279898679,2.0742575511188,1.57470312621849,2.75697613485957,2.35115703772807,-0.180644573991395,-1.52023962519758,0.445175243827144,0.85894208559567,2.14331359784795,2.72110116356787,2.73244412423439,2.54951567967983,0.454843679731021,3.32792658493159,1.83704220171104,1.47290124298366,2.1921663751073,1.95358198141831,T
3AIII,0.792204309620005,-0.553017647234607,0.557944758652769,0.188548988300174,0.839000816966279,2.28186799719263,0.778446602147788,0.830691175625562,-0.00860039566506121,1.25363696992979,2.54932793012681,0.0473792809848011,1.15758457891944,0.797866387340251,0.726343638596759,0.0414006192370284,1.63232787152248,1.22322815076674,2.1791391839794,2.15847010664596,0.773447210145476,2.12427624367567,0.790288280887493,0.591395766708359,0.513676616320738,0.853785425796711,0.72120022914714,1.39813864814773,0.748858380322351,0.461851227563914,0.462144483196805,1.11124854587258,1.57621164291192,1.33208201420413,1.82969733256321,0.480455432130286,0.826347533804653,0.87016212036031,0.698361420263469,0.753145711645146,0.701119774430861,0.715838132306258,1.21685539886967,1.10376418447957,0.771481089051687,T
4AIII,0.295272166965112,-0.565542180942577,-0.048553568569184,-0.515099472361001,0.145563187229742,0.739079723718784,0.382737771759428,0.432912089400008,-0.494770360242887,0.322712078482535,0.87102592254555,0.111236278068201,1.15132241049537,0.350816304441606,0.155882900320906,-0.345271918849522,0.639129602226833,0.449891632762943,0.58611068758451,0.496786462864628,0.193588570855127,0.577872816531611,0.444545779004442,-0.37851000560034,-0.315748411571031,-0.0618074694305162,0.394154615372875,0.343041064534991,0.146898375404196,0.270263719275274,0.282088234319924,0.123698260671185,0.364073945156437,0.454991787917401,0.839318104538003,0.18239910603844,0.571982146767205,1.07526877810048,0.415351607159204,-0.534976299833492,0.434504790753328,0.562100227044839,0.756982151539354,0.973370821233421,0.676558626748476,T
5AIII,0.00339424457642194,0.241408423185607,-0.134442752528656,-0.159429007316812,0.0145448429737647,-0.254717077873753,-0.668562579850891,-0.515512945435046,0.463078976042172,-0.432789218005029,0.308914458576785,0.440788418047724,1.98071163353275,0.144826492173085,-0.579181013174618,-0.452825957286943,0.0251253163220647,-0.273478034967561,-0.0257440439188585,-0.345085585546702,-0.72904255822807,-1.41834529995385,0.65317947643122,-0.608012698142918,-0.0690332588044124,0.212444210373085,-0.410096198832444,0.809215347933206,0.66751905824301,1.38281534437801,0.610974951636698,-0.727441772217651,-0.583236437607624,-1.1583504458817,0.494466987016877,-1.33262926889535,0.6107073266496,0.70270143759774,0.635849497116448,1.39203815402463,-0.506360723791065,0.720770548012368,0.956766702241874,-0.387072275717191,1.07331548666212,T
6AIII,-0.462265665721775,-0.178987778922209,-0.0954235167526057,-1.08908385245678,-0.144048418411312,0.358481228654137,-0.207616193887026,-0.722310758060124,-1.22046193623689,-0.250142312325104,0.9198176995086,-0.356680961340833,0.383963770214083,-0.754047856819015,-0.386140890827841,-0.519335866326449,-0.0387448212298722,-0.575069720755302,0.843726411930202,0.498327029579357,-0.139073045471983,0.701804052443507,-0.102355560224157,-0.560387712959179,-1.99078081859902,-0.326739277262315,-0.165341887582241,-0.233569343564583,-0.021839688089062,0.309416300451594,-0.0475373346968301,-0.180644573991395,-0.517058420524773,0.445175243827144,0.245115984568896,-1.25421452174559,-0.060689451476393,0.460459929905679,0.0666909591641595,-0.431140667196572,0.217692030119379,0.225835832481764,0.303336119121426,-0.0718611553446577,0.325840791129889,T
