RBM22,SRRM4,SFPQ,NOVA1,SRSF6,RBM3,SRRM1,SF3B1,U2AF2,PRPF8,SRSF3,Cancer
1.204321888,0.821167126,-1.310231819,-0.558336757,-0.375830689,-0.846943207,2.486902149,0.239735221,0.35426403,-0.554573741,0.894581417,N
1.352062091,0.703048566,-0.131152102,1.401271251,-0.908545223,0.535028614,0.335930579,-0.060077365,-0.234792548,0.755930159,0.919158107,N
1.190296604,1.338151158,-0.976088263,0.644469281,-0.645072399,-0.304342609,0.76061616,1.354265148,1.669342176,0.537047192,-0.155952195,N
1.141886224,-1.37726596,0.723966921,-0.198640608,-0.220583903,0.588862106,-1.776967623,0.246907337,0.826556414,-0.508649821,-1.087674245,N
0.733691364,0.355502918,-2.007193817,0.982283479,-0.897900713,-0.066614604,-2.251072405,0.919093985,0.886742674,-0.148255124,0.854077907,N
-1.842373206,1.720205692,-3.07929791,0.509976016,-2.120763062,-0.180720079,-0.089189533,1.002742402,1.517430563,0.072810509,0.642739302,N
0.6030248,0.725689433,-1.250746275,-1.086872317,-0.268238586,-0.304342609,-0.223557818,-1.527161344,-0.462904809,-0.050731427,-1.074083696,N
-0.930734808,1.591005589,-0.766889502,-0.02511341,-1.277021469,-0.636063763,0.420878458,0.724538777,-0.704697205,0.370860639,-0.466409583,N
0.330349538,0.936853483,-1.379336176,1.238592089,-1.314385979,0.271068911,-0.218334601,0.467871007,-1.30520081,1.379424753,-1.055078038,N
-0.22591784,0.326173941,-1.390171096,-0.219082041,-0.887515074,-1.345735497,0.091907454,-0.605290096,-1.025230472,0.385020423,0.056295032,N
-0.263539567,0.729950077,-0.941138309,-0.396203187,-0.773589105,-0.81936874,-0.171337834,-0.134456135,0.708129533,1.013042791,-0.053562812,N
1.143336186,0.608306622,-0.98236398,-1.15384784,-0.539519647,-0.669460836,0.661319308,0.651093113,-1.792227461,0.139943094,0.604345869,N
-0.765158128,1.436213605,-1.154782352,0.943695533,-2.252309065,0.030297967,0.611402113,-0.693839516,0.982832717,2.059328901,0.882613229,N
0.730475654,1.341121136,-2.24818676,0.087022394,-1.578339953,0.620174818,1.674713738,0.654813763,-0.506263333,0.755930159,0.545812768,N
-0.428830087,1.385238432,-1.644333327,-0.044884573,-1.57357825,-0.800779071,1.535946024,0.176198731,-0.777656763,0.83786745,0.097557524,N
-0.760837333,0.936853483,-2.395255477,1.582123626,-1.322337264,0.513000917,2.4854139,1.078490328,0.164755355,0.907161859,1.056077552,N
1.12870193,0.368849952,-1.29784846,-0.560479948,0.847119913,-0.304342609,0.304704627,0.531549823,-0.019516392,2.26105526,0.798360457,N
-0.44597997,1.389446387,-2.496681603,2.924648559,-2.440638776,-0.304342609,0.304704627,1.007397609,0.208571184,1.408836231,0.88856577,N
0.352587346,1.150785925,-0.939343945,-0.133985169,-0.30680088,-0.575239111,1.588752843,0.531549823,0.74897879,1.850585575,1.916256607,N
0.697102689,1.352219096,-1.772719195,0.194085042,-0.232062436,0.810871317,-0.343681892,1.067712232,0.887621497,-0.990100014,0.611131153,N
-0.669740482,1.04121943,-1.35788978,0.509976016,-1.089075041,-0.34223407,-0.703814309,1.103945965,-0.441690654,-0.878221666,1.025755858,N
0.786605755,0.560953125,-2.286344951,-0.59334377,0.100774172,-0.467447815,-0.186852928,1.372151222,-1.161018441,0.422550988,1.359562714,N
0.863062568,0.881567895,-1.484611572,-0.133458279,-0.732536168,-0.690869433,1.657438703,0.736649455,-1.954022519,1.00438363,1.077788385,N
0.030685844,0.699354389,-0.191913523,-0.38706568,-1.625921748,-0.048099785,-0.461633443,0.683486086,-1.204385404,-0.498057825,0.02088127,N
0.365778218,1.310072246,-0.7179963,1.028320362,-0.644351825,-0.280087563,-1.08088771,1.177370139,-0.481090493,1.178747681,-1.503266829,N
0.017339651,1.432959278,-1.8484693,-0.69672801,-1.21078463,-0.304342609,-0.154002566,0.79805476,-0.50320625,0.846692316,0.604345869,N
1.926788365,0.908666405,-0.98236398,2.124775307,-1.587989348,-0.124701313,1.932566214,-0.836909753,-1.664294788,0.339084373,0.724481787,N
1.236785732,0.695833799,-0.835519816,-0.035208721,-1.048642887,-0.706310669,0.722126539,0.531549823,-0.919983256,1.061750158,0.739939096,N
-1.019842317,1.19830019,-0.309945079,2.108021055,-1.855929044,-0.584514767,0.626546336,1.244501154,-0.348593649,1.197065593,1.757608342,N
-0.228614895,0.844784285,-0.600804084,1.611399853,-1.798414879,-1.822395921,-1.113177639,-1.094859875,-0.441690654,1.57553301,-0.893731934,N
2.930969092,1.247279631,-0.98236398,-0.868659318,-0.689407285,-1.2938074,2.658838107,0.71554347,-0.415971945,0.139827591,1.457580941,N
1.093842771,0.986771559,-0.98236398,1.401227183,-1.491692384,-0.304342609,1.219033735,0.382999196,-1.709234346,1.043782793,-0.737364608,N
1.658518992,0.852561094,-0.98236398,1.094840746,0.119508052,-1.901139831,1.1587749,0.148805583,-1.680885634,0.614688433,1.509262132,N
-0.136099273,0.410212352,-0.76583748,1.531803494,-1.881179431,-0.114098379,-0.101163861,1.93811004,-0.393820991,-1.193526719,-0.792196048,N
-0.708586882,0.636352116,-0.898602945,1.647720505,-1.804340963,-0.167948245,-1.755374901,0.436091314,-0.749632039,0.337113758,-0.387665476,N
-0.289014281,0.853395462,-0.41317146,1.331363464,-0.275336334,-1.546195048,-0.890792931,-0.822672638,-0.083307291,1.53284164,-0.835412181,N
0.890827459,1.058930039,-1.488705033,0.509976016,-2.268288448,-1.287510361,-0.81736677,-0.778270366,1.752530015,1.785224925,0.059859754,N
0.859683148,1.716885712,-1.640100069,1.780557705,-0.908545223,-1.975769424,2.433742602,-0.223590904,0.750958876,1.365716178,0.354031402,N
0.104475842,0.785985068,-0.688229504,0.906645235,-0.739731775,-0.257409909,-0.365326554,0.614725535,-1.37496886,1.484552112,-1.639306854,N
1.28791007,1.088893861,-2.555964913,1.614755495,-1.994886965,-1.306058905,0.234925858,0.090977677,-1.061424743,0.985791387,-0.533169082,N
0.6030248,1.605759123,-1.516545261,0.265657893,-1.715696018,-1.54798161,0.366921951,0.249539888,-1.357963873,0.381230585,-0.460941182,N
0.242940505,0.698004379,0.004076029,-0.636415726,-0.49583345,-0.742106921,0.429910184,-0.259298333,-1.951852375,1.596814167,1.056565369,N
2.41552755,0.957836378,-0.98236398,-0.916241791,-0.205188295,0.195759938,-0.293863019,-0.804215435,-0.209623708,0.529623311,0.838221087,N
-1.61643894,-1.34430527,1.028362561,-0.117505694,1.284649707,0.166222518,-0.717344489,-0.923814489,1.205980617,0.754049735,-0.967602692,S
0.590255405,0.859121137,0.447296345,0.005356963,1.769012008,0.55420808,0.434665571,0.453020826,-0.12727491,1.260059479,-1.124573809,S
-0.080547653,-1.333019802,1.451453108,1.568316703,1.003838532,0.398596256,0.651829099,-0.716263685,-0.200887201,1.302204076,-0.793386623,S
-0.771489248,0.631623386,0.326482513,1.709902244,0.404550751,0.289364002,-0.392450994,-0.947203258,-1.903890029,0.360928119,-0.579684875,S
0.52873129,-1.37726596,0.135487777,-2.386745933,0.522439583,-1.778257871,0.539048881,-0.751091599,-1.205436243,0.493249649,-0.476990151,S
-0.263245725,0.376976778,1.483797161,-0.19898255,1.321202785,1.565397319,1.326464928,1.09380791,-1.347503907,1.316229552,0.715759691,S
-0.69814552,-1.37726596,-1.211350262,-1.438815328,-0.625006346,-0.923054752,-0.541929959,0.654997397,0.026322005,-1.426867182,-0.008496735,S
-0.154331866,0.492264106,-0.412692251,1.200327426,0.821628107,0.234870943,0.965796586,1.448346066,-1.427629014,1.185590347,-0.316630513,S
-0.060070515,-1.350886929,-0.933804559,1.016377193,-0.153077785,2.235017987,1.24904993,-1.443932691,-0.298755251,0.834902633,-2.199698725,S
2.288283483,0.484446961,-0.856520738,1.028708427,0.893162999,1.820250994,-1.594053556,-0.746079234,0.097554128,0.348588425,-0.361392306,S
0.52715982,-1.37726596,0.70104561,-1.641196783,0.138681409,-0.26179067,-0.668901404,1.353552268,-0.145256177,0.886927081,-0.58478562,S
-0.080547653,1.066564452,0.324566415,0.585655423,0.811038856,-0.265556745,-0.032742883,-0.708145097,-1.50584385,-0.701009752,0.114316409,S
