NOVA1,SRRM4,PRPF8,SFPQ,RBM22,RBM3,SF3B1,SRRM1,SRSF3,SRSF6,U2AF2,Tumor
-0.82466119,-0.28596809,-0.820329676,1.047363121,0.835476472,-1.144076362,-0.263251596,0.425571117,-0.60359659,-0.641489795,-1.61952443,S
1.296335662,2.064361389,0.030461139,0.719545326,-1.740023819,-0.558490234,-1.028922855,-0.843381493,-0.846131347,-1.112689237,-0.654655873,S
-0.11944136,-0.29647335,-1.036443359,1.477430516,-1.448699657,-0.542863112,-0.989545855,-1.393717653,-1.364573028,1.208036897,-0.321195046,S
-0.622722969,-0.838486142,-0.885758899,-0.020707941,0.186888104,0.8035798,0.694356918,-0.600629176,-0.482750578,-0.949315969,0.030046967,S
-0.558678791,-0.527911823,0.23167978,0.959863524,-2.17256253,-1.328189129,-1.474612776,-1.659844064,-2.130120658,1.302032151,0.381059989,S
0.521089137,-0.060585231,0.312156034,-1.249345591,-0.339625195,0.293816574,-2.094978448,0.052975462,-1.02451196,0.116564533,2.614575344,S
0.915539112,-0.060585231,-0.101301884,-0.050647478,1.319382232,1.183456472,0.958331599,1.28843625,1.622958562,-1.349280652,0.121499549,S
0.342318966,-1.464606957,-0.237023162,-0.28727119,0.0137544,1.658958433,-0.556885747,0.052730247,-0.191977445,-0.574584496,-0.347721255,S
-1.406472268,-0.060585231,-1.671470076,-0.792299743,-0.287029805,-0.084081232,-0.960141824,-0.395127524,-0.638646131,0.116564533,2.152958811,S
0.607118231,0.583354102,-0.277927693,-1.055459239,-0.407228057,-2.699012083,-2.388029223,-1.302407633,-1.923967881,1.172820116,1.178165311,S
0.373095358,0.026037359,-0.49103185,0.610210919,0.593917476,-0.764508635,-0.089262237,0.123424263,-0.270710264,0.488891402,0.867313602,S
0.220784242,0.20276371,0.012372706,-0.554416687,-0.249455061,2.174025339,0.749720092,0.008934187,1.649962407,0.384836629,0.531308538,S
-1.673821138,-1.360832504,-2.229648691,1.139766845,-0.053958387,0.580527149,0.12130326,-0.493746427,-0.168662513,0.562833989,-0.978627582,S
-0.81162042,-0.777344735,0.731474422,-1.739700082,0.843022846,0.130981016,-0.356782379,0.664616849,-0.518955936,0.114893779,-0.405288956,S
1.215549033,0.150889089,1.6762635,0.207704026,-0.249455061,1.4188022,-0.611561189,-0.552381077,-0.584758736,1.04092323,1.128010002,S
-1.82215662,-0.060585231,-2.426969502,-0.035529788,0.782609515,-0.558491845,-0.507557804,-0.623229004,-0.764572661,0.771524997,0.475600133,S
0.692499726,0.561787075,-0.765408502,2.08897346,-0.249455061,1.7744235,-0.30651843,-0.097386141,-0.356461677,-2.651740157,0.185507289,S
-0.643286526,-0.810074989,-0.781922789,1.430898623,-2.1204049,0.271208169,-0.788664574,0.91521109,-0.587518273,0.116564533,0.185507289,S
-0.343367003,1.807661454,-0.473943887,0.594176544,0.971465072,0.259921277,0.280676735,0.468071351,-0.070376809,-0.168386023,-0.131833263,S
0.540784268,0.287161961,-1.099931495,-0.256391273,-0.95986769,0.54468296,0.839877107,-0.003459351,-0.01525668,-0.553963155,0.531648051,S
-1.836851471,0.691199135,-0.378711936,1.185844546,-0.645664925,0.507221729,0.081345601,-0.737964534,0.801294528,0.480119951,-0.568378005,S
-0.54391264,-0.706820756,-0.38960432,0.15884586,0.474983667,0.141445163,-0.30651843,-0.536568412,0.343857835,-0.733032231,0.304752279,S
0.105909662,-0.313815331,-0.399117185,-0.294252373,-0.079563376,0.117751379,-0.195185466,-0.774692653,0.593959028,2.057293825,0.619821387,S
-0.070446517,-0.753339406,1.398240665,-0.85869855,0.900816256,1.388410536,-1.821013331,-2.526515892,-1.896651027,2.208224273,0.740803488,S
1.131060485,1.715069316,0.272816094,-0.712020997,-0.444802131,0.492790151,0.381627268,1.256492381,1.491338349,0.275847646,0.403837536,S
-0.020040477,-0.060585231,0.714969479,-0.538678353,-0.717764649,8.49E-05,-0.823606104,0.015783777,-0.203131148,1.067030664,1.044624043,S
-0.01035757,1.624916101,-0.850069824,-2.181296825,0.18677799,0.792188549,-0.80789281,0.61407026,-0.356461677,2.203640044,1.824987046,S
0.613123111,0.078638852,1.454355793,0.411939546,0.410690734,1.757989896,1.820049856,1.32045924,1.289455582,-0.099030714,1.333079091,S
0.445238,-1.337760507,0.057129236,1.197913267,-1.078558605,0.374516317,-0.75858659,0.030587316,0.030135815,0.492984723,0.409685883,S
-0.359006679,-0.609652025,-0.093044914,-0.508687515,-0.920986352,-0.765101053,-0.362085638,-0.019765877,0.421637192,-1.042986703,-0.580017932,S
-1.308850088,-2.837132732,-1.311464942,1.861021897,-0.870836857,-1.055039858,-0.447645981,-1.630577343,-0.725443843,-0.156723314,-0.827632953,S
-0.007590382,0.052407533,-0.748242033,1.306014048,-0.849335733,-0.643072672,-0.003924297,-0.448653532,-0.38987308,-0.450659076,-0.788404452,S
-0.894198128,-0.042764952,0.139223365,0.802488212,-1.581491352,-0.279599205,-0.139525593,-1.545901134,-0.246566521,0.116564533,-0.417763169,S
