NOVA1,SRRM4,PRPF8,SFPQ,RBM22,RBM3,SF3B1,SRRM1,SRSF3,SRSF6,U2AF2,Tumor
2.270965719,0.875863426,0.506858236,-0.19008118,-0.737425137,-0.619892695,1.639555349,0.301621918,1.610039139,-1.247053989,-0.498528021,N
1.613412293,2.524311888,1.499893291,-2.060365677,0.63161741,-0.600063538,1.376193611,1.797905806,1.59995905,-2.154895858,-1.968925434,N
-0.043375912,-0.024387365,1.076398841,-0.993560469,1.210512217,-0.709745122,1.288817,1.715551598,1.345184381,-0.394536812,0.698575824,N
0.24797939,-0.055336817,0.006351267,-0.440726742,-0.193901975,-1.282745027,0.483633446,1.633007101,0.00686143,-0.540683815,-0.589157112,N
-1.456602981,-0.051045244,1.925436821,-0.237676466,2.402663151,-0.619892695,1.596037213,2.194418356,0.838166938,0.001530316,-1.246963141,N
0.987157526,0.988318027,0.647175099,0.044301962,1.614507557,-0.890295106,1.434858463,0.950487164,0.958457024,-0.290382388,0.00542715,N
1.265211862,0.736054921,-0.001966203,-1.352451481,0.640054842,-0.111622645,0.777033605,0.032504316,-0.146927697,-1.565823353,-0.198429965,N
1.894594074,0.626002524,-0.458201647,-1.119095148,1.702989348,-0.619892695,1.950130485,1.310993247,1.241046234,-0.29792385,-2.73805027,N
-0.515200245,0.494698663,-0.309660749,0.570736267,0.182289677,-0.505040073,0.043759159,0.042680628,0.75790074,0.723810311,0.772443049,N
1.252740619,-0.024093779,2.12625927,0.136439805,-0.249455061,0.243013642,1.394079467,1.135932518,1.099154277,-0.508053748,0.363834389,S
-1.83342014,1.025267422,0.060661469,1.606967832,0.729760403,-1.749694316,-0.636846492,-0.296060565,-1.109931562,-0.324315235,-0.08798607,S
-0.725877064,-1.893806186,-1.179145827,-0.360094559,1.538991555,-0.348046792,0.905081933,0.690185499,1.206059559,-0.295132783,0.247267612,S
0.247105085,0.843269485,0.355771021,-0.159487898,1.349652939,0.476433641,0.356696944,0.207166542,0.973382362,-0.814633403,-0.334455747,S
-0.028573041,-1.45336167,0.374526184,-0.876353194,-0.069002733,-1.588167256,-0.695784492,-0.875869675,-0.714823793,0.259796649,0.312089542,S
-1.200680205,-0.060585231,1.605374375,-0.703687556,-0.332112005,0.557308429,-0.226368862,-1.061864895,-0.37076642,0.1491553,-1.421125542,S
0.259050135,-0.060585231,1.374733526,-0.198404381,0.827932409,1.716561464,0.852579941,-0.097386141,1.131242122,0.173114527,-1.210404408,S
-0.643286526,-1.010336222,0.23167849,-0.732413645,-0.407228527,0.158878721,-0.846497321,-1.022177284,-1.402987477,1.535086243,-0.396423553,S
1.265836652,-0.060585231,0.596080941,1.001355876,-0.894861633,0.248645977,0.462451293,0.289489,-0.904939141,-0.223369038,-1.132937012,S
