Index	Var	Imp
4	RNU1	0.999722222222222
3	SRSF1	0.61
2	NOVA1	0.593333333333333
7	RNU4	0.583055555555556
5	RNU12	0.545833333333333
10	RNU6ATAC	0.533055555555556
8	RNU4ATAC	0.515277777777778
1	ESRP1	0.394444444444444
6	RNU2	0.387777777777778
9	RNU6	0.3375
