Index	Var	Imp
11	X4hRNU1	0.974683544303797
9	X4hNOVA1	0.667535368577811
15	X4hRNU4ATAC	0.650409530900968
10	X4hSRSF1	0.632539091586002
14	X4hRNU4	0.578927773641102
6	X0hRNU5	0.561801935964259
12	X4hRNU12	0.507446016381236
4	X0hRNU2	0.498510796723753
3	X0hSRSF5	0.495532390171258
8	X4hESRP1	0.451600893521966
1	X0hESRP1	0.420327624720774
7	X0hRNU6ATAC	0.406180193596426
17	X4hRNU6ATAC	0.403946388682055
13	X4hRNU2	0.383842144452718
5	X0hRNU4	0.381608339538347
16	X4hRNU6	0.381608339538347
2	X0hSRSF1	0.375651526433358
