ESRP1,SRSF1,SRSF5,RNU2,RNU4,RNU5,RNU6ATAC,Clase
115995.2642,16856.93617,140594439.4,259719548.9,2346230504,,1510938.156,N
95406.76034,14838.49264,215621853.6,397408428.3,1352480738,58800241.51,3030399.9,N
56739.1441,8262.872807,224943133.7,168875403.1,268365888.8,25280337.17,2662638.121,N
144980.7665,107785.5877,86793135.9,947266295.8,6934971341,21168505.39,1648952.454,N
89490.67218,29294.58046,139636347,708700079.9,1647163668,9355680.239,2208787.248,N
331118.4415,20205.63037,144481979.8,545550314.9,5614418695,59719199.56,3093127.579,N
321803.8436,72231.28249,282485590.4,2612539741,2843747266,41935525.57,1305750.972,N
239178.9488,,199289056.6,987566127.1,1738806350,22292096.55,879967.5172,N
258520.5869,52720.26744,148286420.1,1427801982,3994666408,43045245.4,2920333.888,N
116227.4162,23286.13733,218603861.9,780299376.9,699964884.8,27445827.48,1437445.716,N
,976384.7542,103018302.4,1296359232,15676051905,18552715.4,859876.7473,N
535628.9231,10973.27613,198101470.9,74661140.03,9895975062,,3780762.675,N
166919.6482,24071.42688,130738639.9,844047240.5,2276639468,22735928.44,1109882.901,N
338758.1867,38168.63231,119574351.5,883567698.8,4036702207,23245673.85,2709889.492,N
234479.745,22326.70639,103037454,189154231.4,1849188625,23321745.44,3401166.911,N
288148.3483,73406.98127,145074761.3,1220732760,3669815515,31895693.92,3354524.952,N
109725.2924,6847.920457,160727933.7,201312307.1,1581608015,20953792.76,1900792.006,N
174867.7751,35926.05625,151397477.7,779297911.9,2322460698,15385362.84,74379.04383,N
91422.43036,29622.50396,188587677.9,320947432,1817224129,26072378.48,192884.7554,N
38373.53454,8214.606673,94837645.13,91452289.7,462247232.1,35142752.35,1008663.541,N
103925.11,18011.54491,105847513.5,215782489,1371057222,19876097.42,1621596.296,N
120197.8086,24891.05493,125124166,302428450,2213470353,25500949.69,1240210.267,N
336788.9015,180583.3922,171469857.9,1156372570,5125332823,38661990.87,397063.269,N
86939.1604,35387.36535,210957371.4,564767935.7,2592586182,74110700.84,2605734.953,N
534163.4709,63612.13379,140519036.7,457609715.5,4826704239,13990146.5,5289629.552,N
156379.5316,49891.51838,65328760.84,240946976.3,2148001358,7219792.325,438448.7616,N
108768.3338,33219.60307,130415731.9,443468313.4,2906786369,23576343.48,1280367.325,N
965182.0772,59625.73266,111789992,901294327.1,5688372519,17366235.95,9020388.276,N
175029.1585,29879.66536,191691055,635113901.3,3854354315,39993642.57,1162208.382,N
279040.884,30898.21864,216164480.8,188882426.9,4494134938,4233369.548,182675.0147,N
352326.512,56560.91509,224535993.1,1600476697,5478942586,33595007.76,284331.9613,N
206814.8081,111766.2491,377519776.9,397792015,6717310289,6245279.89,195994.7774,N
1884057.416,,,1354330285,18289820363,6985364.73,35805.00746,N
221866.707,144835.9755,480445076.7,126098882.8,633797062.7,7021696.561,180941.0428,N
102620.3595,26158.27501,121885402.5,131977597.4,1612079383,19967285.28,,N
141192.6091,13056.72708,92977489.08,224820812.5,1279231066,18430418.67,883879.0098,N
86862.56672,22617.69796,124401770.2,219015645.9,1625305631,17461859.1,1501146.879,N
460345.8646,3180.483001,288444176.8,9750414.047,3203664099,10171892.81,1486115.5,N
,,,945791253.1,,,16946899.8,N
82221.20323,19891.73829,144149870.2,531524220.5,3942003520,32018002.77,3412410.405,N
716847.1331,120361.8064,416339362.4,146118796.7,6829910645,9503747.092,4210026.616,N
171579.6522,11238.32016,171213835,261737456.4,5753068730,23611754.2,1401053.056,N
109021.7354,16342.41107,159735781.9,325111541.8,1390211145,19507184.44,2730314.618,N
345793.1347,33939.86879,113085291.8,457203524.7,2367028953,16967524.49,9614204.142,N
108100.2083,50273.40749,108677339.9,336951248.6,1560919716,16137331.52,2071112.257,N
622969.9233,180366.8141,104575615,4594335071,11969234689,22908569.04,3128882.332,N
68088.65167,17513.50958,118345640.7,533885974.1,1269942580,24906361.07,2892101.575,N
364528.7694,265792.0412,149507448.6,636778749.7,8002903575,22863379.56,3778887.233,N
93450.31623,19189.75486,226451733.6,577886149.2,2561417042,40326678.76,2609276.44,N
147689.3676,92759.19769,142172603.9,742932827.8,2480659931,28101415.34,4949057.371,N
102336.373,35188.39393,230420153.9,473906841.7,3252682786,29295518.86,1548224.773,N
115928.5704,7630.365703,138351260.8,861024052.1,3171905999,22356051.33,3351005.702,N
287685.3873,95629.73024,190451602.8,1220901419,6415838515,22415223.84,1961022.524,N
127526.3823,145762.7743,174857676.2,590755153.4,4749300267,29966885.24,2364348.932,N
139747.9534,37175.69448,122736733.7,671077215.5,1697408519,17814618.38,2807332.467,N
325582.9511,233166.3168,327843941.2,1216302739,5293498877,54520834.36,4712352.899,N
73287.80682,13561.34963,83104230.14,447336783.4,1034932455,32029276.95,2849172.9,N
179748.2037,49731.9578,109952418.5,173955453.4,2139642395,24996331.93,3103895.843,N
636913.1498,211811.9652,161751307.2,1308587164,8026867231,21873298.69,57460.67701,N
180453.409,19616.54282,76141513.44,632231010.5,1057191713,17035656.22,1616004.473,N
138291.0241,50897.87748,116862166.4,765353885.3,2380413648,35625978.39,2052959.95,N
98738.24159,16336.8008,114490703.7,366052237.6,1909183298,30146923.08,2577659.807,N
92424.40093,17052.2892,94135001.6,159238318.6,1081584256,24009281.89,1889500.761,N
141658.5077,62203.56588,151798632,762683648.7,3593497001,24467261.11,1170641.918,N
303777.1671,100772.1795,55490924.39,1768910530,5479672134,11709071.17,1419038.64,N
369942.0457,70749.16771,114949609.6,1019553476,6055273050,19829881.09,61358.75268,N
206911.6091,35683.52355,113017818.1,241682454.6,2869157623,25398034.68,4078501.057,N
158048.2755,78533.72097,138225110.8,845574852.7,3778409843,22470335.68,1656711.069,N
65643.09736,16345.07982,132842624.2,467107185.9,1552991915,43089591.07,3561260.469,N
167401.0271,32878.82325,106596734.7,208698873.5,2659999272,21138696.59,2187309.481,N
161972.7251,96034.53577,208398440.9,2701740506,6954854703,19857807.34,4576980.291,N
77924.74349,45819.74395,153737232.3,394202637.3,3414395905,32338743.82,4687471.432,N
252273.2614,116407.7557,154004535.4,780117511.5,5312246593,20793353.41,99821.95217,N
240742.8125,160402.6893,103835611.9,1588776885,6266426270,16853762.04,1012166.905,N
151981.1279,74485.7794,121815436,763490380.6,3596642317,20691484.13,2340939.06,N
45700.88683,28896.40661,105821060.1,524050154.8,1793705168,20137374.94,1997908.38,N
100979.5709,15407.42963,100206544.1,23904911.78,3010826670,21991537.83,495925.6332,N
108421.9513,19899.99264,70524066.19,193629961,1863749609,13519655.56,681509.1353,N
200095.4723,74154.20231,111114451,526676256.5,4010254445,22348962.91,79540.82247,N
129625.2955,32114.56885,148655995.1,193096933.2,2944870482,30971712.05,42501.79508,N
