ESRP1,NOVA1,SRSF1,RNU12,RNU2,RNU4,RNU4ATAC,RNU6,RNU6ATAC,Clase
237692.7507,349258.0506,95740.29247,284689.8632,1239350511,5458544284,4143157.416,161077206.5,2795520.028,N
141297.5722,652146.9375,47329.60564,,421830710.5,2614999298,,83029809.86,252775.4298,N
466264.4318,11146115.1,97497.28655,66600.7758,152770017.7,2331977887,2591527.597,127719374.8,5943384.068,N
192651.3646,2226491.836,53024.00253,55101.80716,199484086,1722314740,3106969.786,93248911.97,2499573.108,N
55099.82408,1558202.413,22931.12549,66157.11634,168304107.9,1052680803,,114999641.4,121936.7719,N
179108.7818,4882619.328,26753.68803,120790.9573,211976095.1,2002361385,3755839.218,84784683.04,3507137.616,N
86347.96166,856838.4216,41347.30014,300851.2951,233663283.6,1698349213,4782537.425,67333088.42,1689324.465,N
278346.6998,7693673.745,40470.29708,40141.45331,175197267.8,2318799554,1710869.31,104409666.1,4199601.018,N
98613.96543,470047.786,42063.98858,139352.6694,244932073.2,1847991072,4905229.599,73490177.35,1889511.894,N
202473.3093,8113957.642,15116.59685,125808.404,276316267.1,2125503899,2820704.271,99782457.24,1666924.09,N
154618.5919,3203040.707,28332.48799,35266.42947,289598999,2250979740,1322248.734,101339053.3,3021666.43,N
2588573.895,49116526.06,,73463.15718,,,,172877712.1,112485.3945,N
167825.1491,4536971.803,47800.07534,80395.50771,610321022,2577621287,3323771.749,138477133.4,5031727.678,N
61683.93971,113168.9623,55125.54907,,593454172.1,1570475468,3097399.817,48500745.06,1506572.075,N
115994.7344,2046913.78,26658.25465,47684.95924,285681790.4,3360136497,2284822.201,90070479.27,2204442.415,N
192039.0832,7029866.073,29191.74848,28066.62743,457270033.2,4078042761,1933658.283,104543949,3246595.359,N
90801.60426,95013.66636,19840.526,49088.17088,382146882.1,2443351220,1971655.448,93821508.75,2484671.246,N
129440.1056,103843.0123,46979.32589,457377.9384,360895270.3,1881358187,4599693.312,85260633.35,3258002.143,N
83883.74755,440119.5416,28778.46013,189523.8293,307084905.3,2050716215,,177113944.5,151021.8107,N
1024872.264,14636366.31,973941.4622,50452.57451,1867817089,12035022434,3967873.878,287964189.3,5819736.227,N
66120.17106,29040.06145,41772.4,236796.674,478478794,1464650439,1065465.1,44294832.31,1961039.906,N
2980276.448,41027547.22,,110233.6208,393785017.6,6810764316,,,,N
68702.82586,158628.1033,12752.01092,13936.67039,226951702,422911439.4,405915.7185,18712716.69,384236.2832,N
99200.40357,361523.4525,33172.3727,63726.32711,296391408.1,1794394639,817384.8339,31052221.22,858948.0737,N
177276.6879,1074763.422,35601.7684,30934.31211,514142082,2575186485,,38619115.27,40080.78228,N
189853.7419,868617.8222,52712.18506,118111.0496,246549603.6,2507570653,,79009585.3,40753.30983,N
89461.23666,201045.5374,17135.20408,75590.17351,630520525.2,2243556700,1997280.391,67056626.81,1186483.435,N
257722.1912,10199593.28,22829.67896,29349.13375,128236567.1,3404619435,1287604.991,77091105.32,1685231.264,N
92725.31895,714260.3151,2196.691904,109266.9183,151498123.2,2252575869,680320.3717,20458945.09,829424.469,N
284760.6134,8092610.862,31214.42508,71949.44939,291265499.8,1977515828,1079270.402,122480351.7,3714628.949,N
63269.65548,239133.6173,18695.25267,103541.6687,284427818.7,1744159671,4128055.703,61587718.05,1581246.321,N
233103.4685,2386833.494,80311.43067,75661.39854,943430381,3914588574,3723931.362,136389095.7,2711782.546,N
521845.4494,3226379.084,212423.4906,145171.01,1005029870,5702672400,3464390.379,205822920.8,3657543.054,N
,,,126513.1101,3114203481,,,220605948.7,166315.0374,N
173952.8982,725759.6311,50950.75265,62711.32889,334518098.7,3053503842,,96970657.76,94583.05979,N
126207.4405,88624.50134,28659.12473,44217.07999,571236308.6,2992821445,391436.4323,66693456.7,2259993.818,N
42528.62096,577377.1017,12242.74651,447626.5093,280391037.8,830003365.7,9090405.989,127019216,2108740.05,N
64313.29204,877865.6891,20022.47596,69931.61359,401591375,1905919429,2614329.56,62056748.34,1983710.436,N
406353.4708,1313790.398,99881.10536,36170.39301,711941630.7,6322876751,,56437849.92,105268.6506,N
80109.44817,1223804.897,15579.1551,81550.64389,407778745,2016271802,2536652.914,80378010.19,2732672.027,N
1314657.205,5090798.744,562682.215,159772.7079,3657981526,22563241168,,70126072.26,100591.1653,N
80379.73274,29547426.19,3720.269552,65720.13321,217464695,14220789.93,2227684.289,226337292.2,7252933.883,N
109798.1852,1291690.445,19450.34256,75332.19453,463757150.9,2140047191,2888709.074,62660777.91,2844357.198,N
