class,N,T
N,0.668,0.332
N,0.986,0.014
N,0.928,0.072
N,0.926,0.074
N,0.718,0.282
N,0.982,0.018
N,0.968,0.032
N,0.776,0.224
N,0.978,0.022
N,0.918,0.082
N,0.856,0.144
N,0.85,0.15
N,0.966,0.034
N,0.988,0.012
N,0.988,0.012
N,0.976,0.024
N,0.902,0.098
N,0.948,0.052
N,0.718,0.282
T,0.028,0.972
T,0.106,0.894
T,0.21,0.79
T,0.098,0.902
T,0.306,0.694
T,0.172,0.828
T,0.074,0.926
T,0.194,0.806
T,0.13,0.87
T,0.044,0.956
T,0.234,0.766
T,0.034,0.966
T,0.084,0.916
T,0.052,0.948
T,0.042,0.958
T,0.156,0.844
T,0.088,0.912
T,0.016,0.984
T,0.02,0.98
