pred,obs,N,T,rowIndex,mtry
T,N,0.142,0.858,1,22
N,N,0.968,0.032,2,22
N,N,0.778,0.222,3,22
N,N,0.782,0.218,4,22
T,N,0.234,0.766,5,22
N,N,0.93,0.07,6,22
N,N,0.886,0.114,7,22
T,N,0.368,0.632,8,22
N,N,0.908,0.092,9,22
N,N,0.736,0.264,10,22
N,N,0.58,0.42,11,22
N,N,0.526,0.474,12,22
N,N,0.89,0.11,13,22
N,N,0.94,0.06,14,22
N,N,0.948,0.052,15,22
N,N,0.946,0.054,16,22
N,N,0.77,0.23,17,22
N,N,0.872,0.128,18,22
T,N,0.198,0.802,19,22
T,T,0.046,0.954,20,22
T,T,0.304,0.696,21,22
N,T,0.544,0.456,22,22
T,T,0.278,0.722,23,22
N,T,0.858,0.142,24,22
T,T,0.446,0.554,25,22
T,T,0.182,0.818,26,22
T,T,0.462,0.538,27,22
T,T,0.366,0.634,28,22
T,T,0.124,0.876,29,22
N,T,0.736,0.264,30,22
T,T,0.084,0.916,31,22
T,T,0.198,0.802,32,22
T,T,0.12,0.88,33,22
T,T,0.104,0.896,34,22
T,T,0.432,0.568,35,22
T,T,0.198,0.802,36,22
T,T,0.044,0.956,37,22
T,T,0.034,0.966,38,22
