class,N,S
0,0.712,0.288
0,0.364,0.636
0,0.514,0.486
0,0.946,0.054
0,0.594,0.406
0,0.984,0.016
0,0.412,0.588
0,0.526,0.474
0,0.796,0.204
0,0.796,0.204
0,0.644,0.356
0,0.946,0.054
0,0.594,0.406
0,0.712,0.288
0,0.412,0.588
0,0.712,0.288
0,0.796,0.204
0,0.364,0.636
0,0.954,0.046
0,0.412,0.588
0,0.644,0.356
0,0.796,0.204
0,0.412,0.588
0,0.946,0.054
0,0.984,0.016
0,0.644,0.356
0,0.364,0.636
0,0.104,0.896
0,0.946,0.054
0,0.514,0.486
0,0.364,0.636
0,0.054,0.946
0,0.574,0.426
0,0.702,0.298
0,0.946,0.054
0,0.364,0.636
0,0.716,0.284
0,0.984,0.016
0,0.702,0.298
0,0.526,0.474
0,0.946,0.054
0,0.716,0.284
0,0.594,0.406
0,0.9,0.1
0,0.514,0.486
0,0.574,0.426
0,0.412,0.588
0,0.412,0.588
0,0.796,0.204
0,0.364,0.636
0,0.054,0.946
0,0.594,0.406
0,0.514,0.486
0,0.594,0.406
0,0.574,0.426
0,0.954,0.046
0,0.954,0.046
0,0.644,0.356
0,0.414,0.586
0,0.99,0.01
0,0.984,0.016
0,0.644,0.356
0,0.644,0.356
0,0.414,0.586
0,0.104,0.896
0,0.364,0.636
0,0.054,0.946
0,0.412,0.588
0,0.594,0.406
0,0.984,0.016
0,0.526,0.474
0,0.946,0.054
0,0.412,0.588
0,0.212,0.788
0,0.514,0.486
0,0.574,0.426
0,0.514,0.486
0,0.364,0.636
0,0.674,0.326
0,0.364,0.636
0,0.412,0.588
0,0.984,0.016
0,0.796,0.204
0,0.644,0.356
0,0.946,0.054
0,0.954,0.046
0,0.414,0.586
0,0.594,0.406
0,0.984,0.016
0,0.104,0.896
0,0.17,0.83
0,0.364,0.636
0,0.946,0.054
0,0.594,0.406
0,0.796,0.204
0,0.946,0.054
0,0.414,0.586
0,0.716,0.284
0,0.514,0.486
0,0.984,0.016
0,0.594,0.406
0,0.054,0.946
0,0.594,0.406
0,0.796,0.204
0,0.796,0.204
0,0.364,0.636
1,0.414,0.586
1,0.17,0.83
1,0.796,0.204
1,0.104,0.896
1,0.054,0.946
1,0.946,0.054
1,0.364,0.636
1,0.054,0.946
1,0.954,0.046
1,0.514,0.486
1,0.712,0.288
1,0.644,0.356
1,0.946,0.054
1,0.412,0.588
1,0.526,0.474
1,0.594,0.406
1,0.716,0.284
1,0.364,0.636
1,0.364,0.636
1,0.594,0.406
1,0.946,0.054
1,0.644,0.356
1,0.594,0.406
1,0.514,0.486
1,0.412,0.588
1,0.104,0.896
1,0.104,0.896
1,0.364,0.636
1,0.412,0.588
1,0.17,0.83
1,0.212,0.788
1,0.514,0.486
1,0.412,0.588
1,0.644,0.356
1,0.716,0.284
1,0.526,0.474
1,0.574,0.426
1,0.594,0.406
1,0.212,0.788
1,0.364,0.636
1,0.526,0.474
1,0.054,0.946
1,0.412,0.588
1,0.414,0.586
1,0.594,0.406
1,0.364,0.636
1,0.514,0.486
1,0.054,0.946
1,0.712,0.288
1,0.104,0.896
1,0.412,0.588
1,0.594,0.406
1,0.054,0.946
1,0.574,0.426
1,0.34,0.66
1,0.364,0.636
1,0.594,0.406
1,0.054,0.946
1,0.796,0.204
1,0.796,0.204
1,0.054,0.946
1,0.364,0.636
1,0.364,0.636
1,0.364,0.636
1,0.364,0.636
1,0.414,0.586
1,0.514,0.486
1,0.212,0.788
1,0.644,0.356
1,0.574,0.426
1,0.984,0.016
1,0.412,0.588
1,0.054,0.946
1,0.594,0.406
1,0.104,0.896
1,0.364,0.636
1,0.796,0.204
1,0.412,0.588
1,0.364,0.636
1,0.104,0.896
1,0.054,0.946
1,0.414,0.586
1,0.17,0.83
1,0.796,0.204
1,0.574,0.426
1,0.514,0.486
1,0.414,0.586
1,0.644,0.356
1,0.514,0.486
1,0.946,0.054
1,0.594,0.406
1,0.984,0.016
1,0.796,0.204
1,0.104,0.896
1,0.054,0.946
1,0.412,0.588
1,0.412,0.588
1,0.702,0.298
1,0.644,0.356
