mtry,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.860107744107744,0.84,0.767037037037037,0.0691989126799164,0.11204465176768,0.111855108086541
2,0.864988215488215,0.837272727272727,0.777037037037037,0.0662248252081965,0.116526874139377,0.112895002901579
3,0.865496632996633,0.824242424242424,0.787037037037037,0.064785503458914,0.114428793987012,0.130038581344161
4,0.86256734006734,0.824242424242424,0.777037037037037,0.0669741598253733,0.116892736496884,0.121713792141191
5,0.864388888888889,0.817878787878788,0.777037037037037,0.0666770140556041,0.122584575891154,0.10661130960325
7,0.863691919191919,0.833636363636364,0.777037037037037,0.0646982311213494,0.116937017974202,0.10661130960325
8,0.866323232323232,0.824242424242424,0.78037037037037,0.0660664101849704,0.116892736496884,0.108892928744096
9,0.861606060606061,0.827575757575758,0.777037037037037,0.0657661296797383,0.115152477584935,0.124514667287845
