nprune,degree,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,1,0.836784511784512,0.868484848484849,0.73962962962963,0.114456793231703,0.118283855958505,0.159172063212717
3,1,0.838016835016835,0.843333333333333,0.757037037037037,0.105369240668657,0.106545094346416,0.164435469707808
4,1,0.846122895622896,0.824242424242424,0.767407407407407,0.0899679296513077,0.105568345615939,0.158186113807093
7,1,0.822700336700337,0.827575757575758,0.777777777777778,0.0897116184694677,0.0985932206568719,0.1486422157444
8,1,0.819218855218855,0.821515151515152,0.797777777777778,0.0934574286234885,0.0989970604252054,0.14086033770436
10,1,0.817710437710438,0.79969696969697,0.777777777777778,0.0925711920214641,0.101610943746465,0.155446047935116
14,1,0.81613468013468,0.806060606060606,0.774444444444444,0.0917908778382027,0.0988486969098872,0.158218853552326
2,2,0.834814814814815,0.868484848484849,0.742962962962963,0.117757363787213,0.118283855958505,0.154972452085362
6,2,0.85590404040404,0.857878787878788,0.737037037037037,0.0933115466236416,0.0768236381484267,0.150925436224515
7,2,0.855385521885522,0.854242424242424,0.756666666666667,0.0881567391216388,0.0900107125549823,0.149223903985411
