nIter,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
12,0.792823232323232,0.822532467532468,0.753214285714286,0.0911272222902365,0.167054123530378,0.139872013091327
18,0.780530303030303,0.787710437710438,0.766415343915344,0.110706429341602,0.188798850738266,0.134115019859591
23,0.779900673400673,0.755151515151515,0.712962962962963,0.11395766989458,0.164503680825186,0.133654891094334
27,0.776289562289562,0.743333333333333,0.70962962962963,0.119061238964699,0.155082660890697,0.146179771561377
33,0.776760942760943,0.742121212121212,0.69962962962963,0.114361741292062,0.188777219508845,0.127639716629449
36,0.777227272727273,0.759959114959115,0.741415343915344,0.116937188981343,0.181663919275548,0.173967547416021
39,0.772072390572391,0.726969696969697,0.703333333333333,0.12087511673787,0.179252800391461,0.144757985667957
44,0.780902356902357,0.77953342953343,0.733253968253968,0.12280535815982,0.173110056680558,0.154585264020439
48,0.786277777777778,0.788983886483887,0.730066137566138,0.11256656865058,0.156695861647262,0.119916854126892
53,0.789978114478115,0.745454545454545,0.713703703703704,0.109631273480283,0.136666330712481,0.129006530185198
83,0.79702861952862,0.730909090909091,0.754074074074074,0.104662966147483,0.179857769715055,0.131330206357979
87,0.801181818181818,0.729393939393939,0.747037037037037,0.113060707336104,0.171637933241145,0.102030610576124
97,0.81043771043771,0.739393939393939,0.753333333333333,0.111550888912556,0.16475295344904,0.0933461038517393
98,0.80770202020202,0.749978354978355,0.782248677248677,0.114372485326369,0.164719480698105,0.114501879155012
