mstop,prune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
61,yes,0.836835016835017,0.837272727272727,0.775925925925926,0.104073242640019,0.0960713020096036,0.172010952687533
79,yes,0.835962962962963,0.833939393939394,0.778888888888889,0.102906262139289,0.0978810362362314,0.16965017972974
216,yes,0.835653198653199,0.83,0.789259259259259,0.104409828224215,0.0963023996591377,0.152361385428025
221,no,0.838141414141414,0.826969696969697,0.789259259259259,0.104498959368015,0.100963817330732,0.152361385428025
381,yes,0.834750841750842,0.826666666666667,0.78962962962963,0.103156350196831,0.0990675631332767,0.150490423862077
512,yes,0.835087542087542,0.823636363636364,0.793333333333333,0.102500891846837,0.106221403708813,0.145825989597982
538,no,0.831417508417508,0.805454545454545,0.776666666666667,0.100522436472719,0.105575544030295,0.165226214629675
550,no,0.831754208754209,0.808484848484848,0.776666666666667,0.0999669559811803,0.107244917848324,0.165226214629675
562,no,0.830845117845118,0.808484848484848,0.776666666666667,0.0994189320866248,0.107244917848324,0.165226214629675
595,yes,0.835087542087542,0.823636363636364,0.793333333333333,0.102500891846837,0.106221403708813,0.145825989597982
701,no,0.827121212121212,0.808484848484848,0.77,0.0970946989431246,0.097735352391333,0.161994539218097
810,yes,0.835087542087542,0.823636363636364,0.793333333333333,0.102500891846837,0.106221403708813,0.145825989597982
842,yes,0.835087542087542,0.823636363636364,0.793333333333333,0.102500891846837,0.106221403708813,0.145825989597982
858,yes,0.835087542087542,0.823636363636364,0.793333333333333,0.102500891846837,0.106221403708813,0.145825989597982
871,yes,0.835087542087542,0.823636363636364,0.793333333333333,0.102500891846837,0.106221403708813,0.145825989597982
