shrinkage,interaction.depth,n.minobsinnode,n.trees,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.275357590077911,8,5,499,0.855516835016835,0.794848484848485,0.798518518518519,0.0936974405717155,0.122682177558173,0.10186566723904
0.548945411737077,7,19,673,0.837351851851852,0.767878787878788,0.774814814814815,0.0845526510822893,0.147124685322528,0.117332830216809
0.0814312412079889,10,7,1067,0.851535353535354,0.783030303030303,0.761851851851852,0.0913323842376193,0.11794607143553,0.118515126068944
0.348193003396038,2,5,1569,0.828452861952862,0.788787878787879,0.797777777777778,0.0799326959215779,0.115503367194168,0.11234563223068
0.0427738712783903,9,10,2019,0.84849494949495,0.78969696969697,0.741481481481482,0.0795406719299998,0.118740740865845,0.130719374952369
0.025615080893971,1,11,2131,0.818265993265993,0.787878787878788,0.760740740740741,0.0861037623952595,0.113629048876383,0.123443336857453
0.118979919383302,8,22,2283,0.840154882154882,0.780909090909091,0.781481481481481,0.0858324001018827,0.124221141485741,0.10634743631212
0.264329318219563,2,20,2483,0.834993265993266,0.792424242424242,0.794814814814815,0.081396623232422,0.0967138408819742,0.101278894655428
0.0781731477328576,4,21,2675,0.842760942760943,0.786060606060606,0.791481481481481,0.0848328688642351,0.111742419814746,0.109244213956426
0.388330837435089,6,23,3019,0.820927609427609,0.735757575757576,0.764074074074074,0.079052728585711,0.123636670968946,0.103398337125579
0.00995278730033897,10,21,3080,0.850441077441077,0.825454545454545,0.741481481481482,0.080182428549594,0.119807958806773,0.119703526674376
0.511260379343294,5,8,3746,0.827501683501684,0.464242424242424,0.898888888888889,0.0937230289702202,0.152418207458467,0.0840822034878973
0.388661574700382,1,20,4239,0.816058922558923,0.761818181818182,0.774074074074074,0.0750642680184734,0.131618592818384,0.126865251783606
0.0232033826767001,3,24,4510,0.842878787878788,0.795151515151515,0.761111111111111,0.0832438612810725,0.107053421578763,0.103524521355688
0.506304157447768,2,23,4954,0.816050505050505,0.629090909090909,0.828148148148148,0.0938730682735761,0.143430271575486,0.110563144325823
