N,S
ESRP1,9.22824899890788,9.22824899890788
NOVA1,17.6192209683291,17.6192209683291
SRSF1,7.29887149617766,7.29887149617766
RNU1,100,100
RNU12,4.95085547870404,4.95085547870404
RNU2,0,0
RNU4,2.38441936658171,2.38441936658171
RNU4ATAC,23.5347651983983,23.5347651983983
RNU6,13.1052056789224,13.1052056789224
RNU6ATAC,24.9362941390608,24.9362941390608
