maxdepth,mfinal,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
17,21,0.855750841750842,0.796363636363636,0.773703703703704,0.0907649518461476,0.128356336432248,0.121767993752628
23,75,0.866148148148148,0.814242424242424,0.794444444444445,0.0876567986661289,0.121515164544229,0.12250924153462
6,87,0.864713804713805,0.827575757575758,0.784074074074074,0.0847622915328919,0.129723017140458,0.105234775064078
7,118,0.871156565656566,0.817575757575758,0.804444444444444,0.0823770654247906,0.11722383207888,0.0992350478468063
25,158,0.870553872053872,0.820909090909091,0.791111111111111,0.086293684645714,0.133611730824243,0.131804775845632
29,174,0.866456228956229,0.804848484848485,0.791111111111111,0.0843989425206491,0.115972435413009,0.120887874685852
14,236,0.870131313131313,0.813939393939394,0.797777777777778,0.0833678802819218,0.129067800778049,0.124016780199158
15,284,0.870993265993266,0.814545454545455,0.797777777777778,0.0843295230158542,0.13338651926777,0.11832519353941
8,421,0.868649831649832,0.814545454545455,0.794444444444445,0.0838680069755956,0.120760391272608,0.133293416758079
16,522,0.869823232323232,0.821212121212121,0.801111111111111,0.0858428435892934,0.128904305355577,0.119789442063857
27,648,0.869274410774411,0.816969696969697,0.801111111111111,0.0859626436070806,0.11726758350201,0.110817620046312
14,713,0.868525252525252,0.816969696969697,0.797777777777778,0.0842135117904524,0.125780171957436,0.121204400079174
25,807,0.868383838383838,0.807878787878788,0.797777777777778,0.0845592838873846,0.124206993444333,0.129458379859297
18,846,0.870289562289562,0.814242424242424,0.801111111111111,0.0850380101757251,0.116216681631292,0.119789442063857
22,936,0.867646464646465,0.814242424242424,0.797777777777778,0.0825275446506322,0.11466141648075,0.126766781703174
