mincriterion,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.0289881054777652,0.813883838383838,0.77969696969697,0.766666666666667,0.0957929535747744,0.168622794464323,0.114470294294468
0.0684682573191822,0.812686868686869,0.785757575757576,0.763333333333333,0.0982590346726249,0.169935922970499,0.120773369980935
0.105278017232195,0.810944444444444,0.785757575757576,0.763333333333333,0.0950820755506614,0.169935922970499,0.120773369980935
0.151707400102168,0.807883838383838,0.785757575757576,0.763333333333333,0.0938753553685602,0.169935922970499,0.120773369980935
0.152875625994056,0.805762626262626,0.785757575757576,0.763333333333333,0.0947743028945125,0.169935922970499,0.120773369980935
0.188735366100445,0.801262626262626,0.785757575757576,0.763333333333333,0.0967509542279984,0.169935922970499,0.120773369980935
0.360671755624935,0.800309764309764,0.798787878787879,0.756666666666667,0.0975045584318132,0.161033519595648,0.112495210626022
0.414360675029457,0.800850168350168,0.820909090909091,0.752962962962963,0.096704929670704,0.157805374861372,0.117287468298842
0.450683035887778,0.801734006734007,0.820909090909091,0.752962962962963,0.0925828858258153,0.157805374861372,0.117287468298842
0.488653955049813,0.805841750841751,0.827272727272727,0.752962962962963,0.0854444221611767,0.150632749212667,0.117287468298842
0.587104062782601,0.804599326599327,0.827272727272727,0.74962962962963,0.0868224382704334,0.150632749212667,0.117325573488515
0.793114802101627,0.800099326599327,0.843030303030303,0.746296296296296,0.0823682242097401,0.13360710944452,0.117265688345394
0.816988813923672,0.806159932659933,0.846060606060606,0.746296296296296,0.0869992978186345,0.136163559245981,0.117265688345394
0.826993017457426,0.807372053872054,0.849090909090909,0.746296296296296,0.0873596281246779,0.138604369605966,0.117265688345394
0.844612933695316,0.807372053872054,0.849090909090909,0.746296296296296,0.0873596281246779,0.138604369605966,0.117265688345394
