mtry,coefReg,coefImp,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.187268505338579,0.508816540241241,0.84373063973064,0.804242424242424,0.747777777777778,0.0723301370747516,0.125983920892148,0.123698847420374
2,0.933402299648151,0.658059071749449,0.851461279461279,0.783030303030303,0.766666666666667,0.0607029034892742,0.143317636401042,0.133747759517008
4,0.465348219498992,0.166039100149646,0.831727272727273,0.76969696969697,0.718888888888889,0.103293512011737,0.135374328424662,0.152072387594
4,0.802133489167318,0.765816149068996,0.843819865319865,0.766666666666667,0.767037037037037,0.0722358141740013,0.151186686808305,0.11785955858512
5,0.0532491072081029,0.634258435340598,0.844180134680135,0.805151515151515,0.76,0.0773319136486519,0.133644431405828,0.13771843982386
5,0.593560901237652,0.685683222254738,0.842855218855219,0.78969696969697,0.763703703703704,0.0666681611314784,0.116438390303981,0.134507389505935
5,0.750435241963714,0.256725775776431,0.842703703703704,0.822424242424242,0.754444444444444,0.062773279047144,0.12064548853271,0.120815661278731
8,0.761508874827996,0.168546031694859,0.860308080808081,0.832727272727273,0.791111111111111,0.0659377420440355,0.117507116742087,0.127570212889561
8,0.843344640685245,0.119938280899078,0.865355218855219,0.82969696969697,0.794074074074074,0.0582381306132127,0.122292468680155,0.115533940408893
9,0.57613883796148,0.366786765865982,0.865786195286195,0.798181818181818,0.764444444444444,0.0626367527580952,0.13007221178746,0.131610840615013
9,0.674588416470215,0.0928558472078294,0.85060101010101,0.817878787878788,0.763703703703704,0.0683369603150028,0.125365997857584,0.102706388516435
9,0.883604854578152,0.610038240207359,0.857099326599327,0.792424242424242,0.757407407407407,0.0605393887359068,0.126533530347771,0.133016332402009
10,0.0511768555734307,0.327278699027374,0.862333333333333,0.795454545454545,0.757407407407407,0.0606672241583931,0.13045178746006,0.133016332402009
10,0.395315043861046,0.0498968458268791,0.860518518518518,0.795454545454545,0.757407407407407,0.0616044091968052,0.13045178746006,0.133016332402009
10,0.702433010796085,0.895687216194347,0.861094276094276,0.795454545454545,0.757407407407407,0.0608628056673607,0.13045178746006,0.133016332402009
