degree,nprune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,2,0.83449494949495,0.84,0.781111111111111,0.103891331014279,0.117531366513636,0.10517272784326
2,3,0.845462962962963,0.84,0.764444444444444,0.0967421682672146,0.117531366513636,0.108842745716098
1,4,0.867383838383838,0.837272727272727,0.764444444444444,0.0880224920712632,0.131747359636388,0.105627118310618
2,6,0.86889898989899,0.827272727272727,0.791111111111111,0.0938032006746825,0.122643068756655,0.114336332523244
1,8,0.85706734006734,0.824545454545455,0.791851851851852,0.102080998549757,0.13260547509895,0.122376542538828
1,10,0.856356902356902,0.836969696969697,0.798148148148148,0.103327175348191,0.121145227100397,0.117265688345394
1,11,0.856952861952862,0.855757575757576,0.801851851851852,0.101884833453519,0.110408277093716,0.1153993688559
2,11,0.872632996632997,0.848787878787879,0.822592592592593,0.0836857895193513,0.113482236124582,0.116039486729682
1,12,0.854861952861953,0.856060606060606,0.808518518518519,0.102055236520193,0.107937563972643,0.115089072186208
2,13,0.874861952861953,0.858484848484849,0.832592592592593,0.0812904738270343,0.101391946320994,0.120906654843598
