nprune,degree,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,1,0.8323367003367,0.85030303030303,0.77037037037037,0.120482067093394,0.117813419726597,0.151060513666368
4,1,0.852934343434343,0.829090909090909,0.758333333333333,0.111358794497444,0.119364709543053,0.15612788176199
8,1,0.848420875420875,0.818484848484848,0.78,0.108599193962424,0.13331991478028,0.154715850725548
9,1,0.856195286195286,0.824848484848485,0.783703703703704,0.106188439766315,0.125830007719126,0.150428176546598
14,1,0.859592592592593,0.831212121212121,0.79037037037037,0.101332941008538,0.122263336119139,0.155520886485084
4,2,0.854878787878788,0.833636363636364,0.763518518518518,0.113379251904008,0.119440963314968,0.153811743996346
7,2,0.865350168350168,0.84030303030303,0.786666666666667,0.107169987039557,0.122076723099815,0.159831754880027
8,2,0.867983164983165,0.846666666666667,0.783703703703704,0.0986224225842643,0.118042679930487,0.156639174059388
11,2,0.870902356902357,0.85,0.804074074074074,0.0945028547869108,0.11809135674572,0.149370278377052
13,2,0.870572390572391,0.856666666666667,0.802407407407407,0.0976396573748437,0.116135739210738,0.148707082785825
14,2,0.881289562289562,0.837575757575758,0.80037037037037,0.0951487333705164,0.121610109422628,0.14497348837456
