Var	rf	J48	PART	LMT	Total
1	nSR100	22	14	17	22	75
2	SND1	40	19	15	20	94
3	U2AF1	59	15	29	24	127
4	CELF4	76	62	55	10	206
5	U6	34	13	1	1	49
6	SRSF3	33	15	24	2	78
7	RBM3	47	18	14	18	103
8	SRSF1	72	28	28	9	138
9	U4atac	68	55	14	15	152
10	TRA2B	81	31	26	11	149
11	CUGBP	38	5	1	13	57
12	TIA1	47	16	4	13	84
13	U6atac	61	6	6	5	78
14	SRM160	64	30	10	10	114
15	RBM17	40	12	18	3	77
16	SC35	32	4	19	9	66
17	CA150	12	11	4	2	29
18	SF3BTV2	11	7	5	3	26
19	SKIP	20	7	8	4	41
20	NOVA1	18	6	6	3	33
21	PRP8	16	6	7	4	35
22	SRSF6	12	6	6	3	29
