Var	rf	J48	PART	LMT	Total
1	SND1	0	0	2	4	6
2	PRP8	0	0	4	1	5
3	TRA2B	0	5	4	0	9
4	SKIP	0	5	7	0	12
5	TIA1	0	3	5	1	9
6	RBM3	0	10	0	0	10
7	SRSF3	1	7	0	3	11
8	RBM22	2	9	0	0	11
9	NOVA1	3	15	5	3	26
10	TRA2A	2	5	1	0	8
11	SRSF5	0	5	3	0	8
12	MAGOH	2	1	1	0	4
13	SF3BTV2	0	3	2	0	5
14	RBM17	0	0	0	0	0
15	SC35	3	7	2	0	12
16	SRSF6	0	1	1	0	2
17	RBM45	3	11	2	0	16
18	U2	0	1	4	0	5
19	SAM68TV1	1	9	3	4	17
20	U6	0	1	0	2	3
21	SRSF9	0	4	3	1	8
