class,L,N,T
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0,1,0
N,0.7,0.1,0.2
T,0,0,1
T,0.7,0.1,0.2
T,0,0,1
T,0,0,1
L,0.7,0.1,0.2
L,0.7,0.1,0.2
T,0,0,1
T,0,0,1
L,0.7,0.1,0.2
T,0.7,0.1,0.2
L,0.7,0.1,0.2
T,0,0,1
T,0,0,1
L,0.7,0.1,0.2
T,0,0,1
T,0,0,1
L,0.7,0.1,0.2
T,0,0,1
L,0.7,0.1,0.2
