CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
228847.67920213300,0.00000000000,22061.59294996950,236385.40439852600,12742.34241271630,10930.14579481010,24289.55542168620,521785.43643420900,11470.20848369550,17137.36008979280,11.69492660914,22760.67012543820,5338.83067422069,29877.17402828970,33655.58469265550,45174.58901264950,10676.92138277050,141198.82025598300,3424.35328279884,1138.36569031218,37471.40131284700,136.99967118976,46332.74613143980,121961.86608877200,218936.89753767000,68390.80387457810,79604.87607506950,1984.78269166312,1367278.54568035000,3819.34493905122,473629.53261110500,859.21424197987,262908.74627060100,14026.36900704000,625560813.56409800,24617987.09523260,17738.4905717114,11674694.0421933,28425.1592977850,1157.92984223425,57421625.710642100,18991.71103950610,330625943.7571500,5074529.01728164,57684.3341410767,T
582367.21373988500,0.00000000000,44724.84623740230,430228.45110695500,0.00000000000,0.00000000000,3023.22911053229,84727.61870558660,11820.78279654210,13431.90448387790,0.00000000000,0.00000000000,312.95105801765,22704.25604136100,60081.57378663030,12829.25733429790,0.00000000000,14859.02037846520,0.00000000000,0.00000000000,16720.39618632180,0.00000000000,48022.69398408610,71678.70463361850,73003.09241296270,7197.90214836941,14714.23385559120,0.00000000000,216490.77365255200,381.08163735785,171449.43315853300,2563.00445352250,80012.09183205040,0.00000000000,233499971.57104500,16687502.39959220,16905.6055216158,5044202.5130364,79371.5768082143,0.00000000000,22741187.123575100,3546.58866652645,473639900.9672970,3439360.32381284,11037.4100260152,T
69668.14475619860,0.00000000000,2924.75661346099,71917.44909066810,6471.82016671840,7895.35455581959,9903.54447250456,229897.63968062500,2858.64278094010,11312.55698193220,0.00000000000,15243.30487930990,474.76114044569,31177.64323780700,9521.36905021177,24093.33183910150,8408.91844002398,83965.46700668910,901.65758694388,8.04504375778,23086.60426165850,2.24457935993,37015.62234470130,33392.60985367580,140457.87378799700,50504.46003348210,52133.64704169200,551.61548943660,441307.31236236400,50.83126955775,315217.44297446600,3512.97222044675,105658.34021411000,21894.84392253490,194745537.56372200,19335384.17296790,1813.5596377456,6024821.8046342,11026.2964430629,1535.02954857325,229177499.317839000,13414.99193258260,286668843.7994110,6525620.64902939,29127.8435407787,T
38579.30264407620,39.05337270462,7684.85260256930,32963.72896056880,0.00000000000,0.00000000000,2308.01031613900,103406.94794032000,470.31315731523,0.00000000000,0.00000000000,543.24316510532,0.00000000000,40380.77453641220,2360.10544138968,15021.05503859990,851.32492174656,140.70499918458,5.76147446906,0.00000000000,0.00000000000,1.60166169367,2186.50458020176,2719.10574403067,45404.83776910300,23362.76332842810,52819.70829186460,0.00000000000,1865.98290377113,57.34751914645,89969.57423618270,2333.02409160962,26784.92136218320,0.00000000000,17820661.79468330,457288.63503697,6.5873905134,168642.5716242,14427.3699653217,0.00000000000,712255.877890764,4808.93669824492,5066770.3866180,1852264.38746332,43354.0548911441,T
118063.46614335700,0.00000000000,2817.00344810596,97005.15841453990,23000.47676591080,5038.29027537846,7222.51793514836,312273.91721935400,2360.58443597546,29681.16727991580,0.00000000000,11379.11628757790,1001.27187929462,25987.15106205800,24983.37950961990,21574.69333901810,6124.03143515490,161118.83574595200,1261.34150815705,6.54758598134,37350.96884687080,8.53722589648,22211.70181623890,57735.41123513320,181371.77839798500,47185.96078898680,58140.78714176750,1010.74216623820,579940.05236394300,915.14444658053,403452.39166267100,4959.26282430701,157054.73917993900,5767.75477019273,514578032.86101900,40994240.58956940,11564.1590972712,26963294.9243521,8294.0022574165,422.17240494813,197396357.834793000,3879.79832839044,318920871.0557880,5048550.77282788,12537.8617563282,T
62948.51741233230,792.11947659448,5262.07543242367,33159.90093428200,1834.39811805093,7358.74038886479,5252.79949477031,219092.27505023300,8025.24266110470,25894.70322953810,0.27039752749,7495.78552353104,1702.31312516908,20620.78029495970,10233.22191122860,25011.50191752840,15494.54917277300,117161.08305526400,1232.74111487296,37.44182417801,21113.10197222780,22.57947752491,37113.28252942260,41396.52651007040,153957.92460186200,107490.74042391700,61443.01567526150,4253.49350585319,584976.30547168100,849.70145609635,260176.42413076600,23354.64569144560,235858.64086678900,14768.85306416860,96351247.18342240,15650188.57987610,1934.7083982255,4055877.2982694,11858.2569250216,1347.03948155249,43437899.255064700,3745.51929902362,41712015.1243595,2145785.44717427,13575.8094335055,T
166024.97146890600,437.38119231120,2371.23576240445,129236.22594581800,21957.73581457220,0.00000000000,10355.51866829780,364433.97295655500,5148.16916463108,12020.65692356020,0.00000000000,2465.54002793173,45.28772843483,52002.51851153790,0.00000000000,35961.85212534640,2009.46187840664,107371.33777262700,1299.93741385145,39.92460137882,47802.90150115870,0.00000000000,64800.58067788990,34910.09926749850,178667.12326658300,78339.75755706500,85758.64408518320,3696.13748504443,607449.10329489200,665.27150108601,466121.86394664100,6231.37840319599,202593.37533457300,6974.49509364081,464616183.53879800,51415352.94258370,14814.8488519902,22868810.7983204,21012.6309692046,1519.34672671768,181738772.617459000,6949.96987574841,392287302.4150180,8022340.09400344,29700.7888063642,T
194708.99698744400,0.00000000000,3986.23817436205,318688.87380440900,2206.95299168356,2378.00036853030,9408.79488781301,311299.01676264100,5774.99361929476,16312.40166026780,0.00000000000,9375.08070949666,896.83437937690,68747.23784786430,2144.16695183287,51521.41024435600,1324.38791138480,71865.71973568070,932.96213901396,44.48754012170,24151.29493993790,13.84685201210,40124.91120676930,49924.69111779450,133005.71730727700,64135.96089235290,35421.11289074550,1288.08129557415,582221.88559883600,5372.66297520255,472074.41257696800,7976.58423170243,190351.66884808800,21590.89265984330,411014498.42760800,28108566.50549040,21047.8695125453,9491004.3828029,38723.2662918344,367.80998929350,77213313.061244200,6371.46204716488,183481880.8570670,3854520.69778930,30784.1199684121,T
57745.30062710500,0.00000000000,3283.82277210107,36505.90384824230,2094.99985915045,4144.16976978513,4633.80308650132,135963.20693820400,4942.37523976488,6822.11592196070,0.00000000000,2391.67792648090,286.12515881558,44196.71020898660,5004.78203252713,21829.04535526320,5445.24674393458,43222.23967665060,209.16789379092,106.78748062438,15197.87176273590,14.99986210516,13207.93641915170,12136.88063920810,75981.28561762410,42232.59921888000,62251.38701617950,446.73090022930,256836.53991582700,1500.55247261113,307911.71581111400,2719.11807708912,101758.66513727500,1289.61762829380,133850511.31591800,12878478.51001570,11376.1396466516,7283726.2972627,13465.7003904616,610.47753793174,41236090.611930100,4990.77857826246,123461133.4918290,2755598.61929175,29519.3206082919,T
2259905.02269102000,0.00000000000,17891.65042399660,1847732.20874344000,0.00000000000,0.00000000000,0.00000000000,120627.87639105000,65483.43694518600,0.00000000000,0.00000000000,0.00000000000,0.00000000000,17649.71323049200,0.00000000000,0.00000000000,54183.84504999230,41511.04914362720,413.35243877020,0.00000000000,3511.21547973173,0.00000000000,0.00000000000,288873.95576051100,66016.83357746780,0.00000000000,21907.80201086580,0.00000000000,508423.41460391200,297.76252669534,222543.27017423100,0.00000000000,141505.70657264500,0.00000000000,392080687.83038200,48193682.54684310,23101.0244224646,1599731.8940255,119459.5101599640,0.00000000000,74920637.615898200,2971.18313238633,998016948.3885860,5342328.16076664,2130.3890611846,T
