"Ca150","Celf4","CUGBP","ESRP1","ESRP2","FBP11","Magoh","Nova1","nSR100","PRP8","PSF","PTB","Raver1","RBM17","RBM22","RBM3","RBM45","Sam68tv1","Sc35","Sf3btv1","SF3btv2","SKIP","SND1","SRM160","SRSF1","SRSF3","SRSF4","SRSF5","SRSF6","SRSF9","SRSF10","Tia1","Tra2A","Tra2B","U1","U2","U4","U5","U6","U11","U12","U2af2","U6atac"
1,0.250168072659103,0.507889340612931,1,0.763429058084599,0.102160272660261,0.39688700956353,0.392677476168389,0.0362982093784256,0.243232988087744,0.197235513024987,0.151530469112629,0.165525984979532,0.154491735278605,0.0647945296421696,0.331432561505285,0.172636192861616,0.142686943580695,0.219904111742012,0.24157161767751,0.566241474421802,0.117544806090032,0.13909143582476,0.567916754767824,1,0.225131996842754,0.134308162580095,0.751433624669194,0.711996882990111,0.114795663702187,0.297669445454604,1,0.52188309265024,0.0449668598471785,0.164794598138627,0.492990856021184,1,0.139474299122137,0.691055941519615,0.633067421458918,0.608915005665813,0.296953683301165,0.455816046847347
0.0513173800889041,0.155216716765248,0.212573758507988,0.037446686499816,0.290353250395539,1,0.442920563567707,0.855307499943239,0.0392897624348073,0.812784751176949,0.880133938830271,0.61033190343329,0.836056106497051,0.756420915243025,0.599221049370422,0.627605864803819,0.726802613390674,0.666595189794126,0.795188519504671,0.986877616055494,0.682594520346597,0.648264700593418,0.591853440044758,0.845495461004964,0.0235323878450786,0.818836768353658,0.940336789778558,0.535883456313634,0.588483979567501,0.661971266918244,0.570431586574096,0.115215978834871,0.62364520528996,0.532709044212244,0.924566607846062,0.335801294662907,0.194124908740042,0.954250467411567,0.344699945648535,0.325010048697652,0.155063738913615,0.960772145462101,1
0.676622517473199,1,0.389252416497482,0.512594276204075,0.369271051513415,0.741268116779547,1,1,0.859542623223911,1,0.246677299308878,0.318115286328557,0.826149903838922,0.496530515550549,1,0.895918660430335,1,0.536524340689822,0.53001442178906,0.804932928527762,1,0.348978001558473,0.976908139494013,0.804630807563891,0.688055219045544,0.505801511957276,0.369531248072557,0.723486713725163,0.919302998874105,0.542556993003425,0.695985285286119,0.889128315203258,1,0.60110448381146,1,1,0.953538689915288,0.393604568005664,0.885965823207322,0.714279064433526,1,0.886700147080533,0.678753044834784
0.500602054123,0.0326093280325802,0.925321365755699,0.534488378414313,0.404778773406555,0.0168024060675641,0.317363350247938,0.827861658271409,0.199719949628211,0.0487136412499597,0.199362041467305,0.0238907223120515,0.121962733553232,0.0943528193937655,0.0959614065369891,0.342359166204456,0.0864072967001808,0.0751341342837199,0.11546788771367,0.0319445488675469,0.122228516388426,0.0308098063897381,0.0647852660254657,0.110926955301278,0.692193842711804,0.933256638802671,0.0162070072244213,0.152987460413422,0.0775370075595809,0.128975732465539,0.136419934726706,0.283658617294248,0.237080997063172,0.035019645396136,0.0284412614501297,0.175696399411548,0.221282950486542,0.0238936152254923,0.495381290621366,0.158657724257047,0.487980509126537,0.0459298606288923,0.292590413229351
0.822711610234098,0.0237653123888943,0.0876333335029419,0.722149506461622,0.694977846138033,0.108649309488402,0.579769619233761,0.319434722956514,0.106457584134517,0.247344870152098,0.0217969165337586,0.016849901301192,0.156584750679574,0.0386157820866969,0.257089114607537,0.398289254608868,0.131231908885765,0.106713264811066,0.119839564598379,0.0482290783349931,0.291045858456704,0.0481328298267698,0.199249778147542,0.262363255881586,0.995919089448856,0.116391706312616,0.123268889727712,0.409396482349691,0.15297890749358,0.119953442971335,0.124549939066538,0.924497944113046,0.302036314425493,0.040545823438588,0.0736851195561418,0.521576994439506,0.632543275049846,0.0602932384223827,0.676343833333437,0.555265634148679,0.918433690959312,0.202973869967686,0.243599232823023
0.322556932297359,0,0.795267243674874,0.369356463962526,0.120405413838547,0.0646579290045692,0.284251566790035,0.179066456055451,0.0911200500456072,0.163467717235291,0.0861244019138756,0.0349462129751952,0.0451822762777605,0.100424634144161,0.125464161632256,0.228593988743547,0.239602556680569,0.110643895738614,0.104915961859524,0.063121089782778,0.199155295435226,0.0591020799616376,0.130832617982206,0.180299714868361,0.454386142811373,0.122431671161558,0.104369349577796,0.377936213060868,0.0928516758087864,0.0781906104908864,0.0976772182879964,0.153823981939434,0.336447633378204,0.0850378764741095,0.123682095979682,0.358370169181515,0.322782335655416,0.0538960447522987,0.379356642066199,0.380758536496691,0.618181256086439,0.151595468388621,0.150246294685849
0.32695605935133,0.0235713823976211,0.106196986734917,0.310506052553073,0.358132688234409,0.184707036617533,0.686451310586013,0.596108449639809,0.25331977349004,0.641065152980139,0.310473152578416,0.247503149690642,0.599928953617053,0.238013248585298,0.71505454867335,0.693231970112702,0.346456209165771,0.326122869255665,0.353137785252081,0.239889253650769,0.464371586760745,0.248516453875202,0.62229170599739,0.539771402961463,0.45883544642443,0.297310713136482,0.271568579295824,1,0.405857427302123,0.34361740651965,0.396797823976785,0.29011572063125,0.65209128720874,0.178400025561099,0.394658175210574,0.637486453236216,0.498612426582893,0.275205841004289,0.681294442754748,0.0785184660386661,0.360034197018106,0.675396269950189,0.57992391725893
0.349169758062074,0,0,0.348234500569005,0.082742013046367,0.00443689337843426,0,0.00823200101197175,0,0,0.00637958532695375,0.0130409944351215,0.000611079475250609,0.0664074163470736,0.019610967270796,0.00429868420985861,0.0179936437423944,0.00178658063512404,0.000530149842289483,0,0.0139485515866177,0,0,0.011549411929166,0.529904563003843,0.0324115559826784,0,0.0118094118965925,0,0,0.000438378549940913,0.188387680619753,0,0,0.0158863337290407,0,0,0,0,0,0.107016690665617,0,0
0.660189663273703,0.0231625133326869,0.278789775319585,0.573145676922405,0.245274638141351,0.0314756169914396,0.379267151013304,0.0959271380335962,0.0633433401249043,0.00241422591629482,0,0.00565781352811258,0,0.0307488758369762,0,0.0696213291058625,0.0902080551978356,0.0237467835407357,0.110536077372223,0.0503252813877358,0.136660295178329,0.012527722831625,0.00921217646592024,0.13017091741579,0.790850907066782,0.0369046433740399,0.00911356792124571,0.135263583551201,0.0247461189899113,0.0130604853084585,0.136971204428294,0.465270526060692,0.0332051246664019,0.0103708050900418,0.00957442494872898,0.0978117181543859,0.266405267254291,0.00445710209313906,0.139912976848359,0.22542674343035,0.302119240103257,0.0192516936132055,0.123644103089562
0.377569492578488,0.558544232198843,0.0740027442659597,0.450604455828618,0.17994368844365,0.592866554171193,0.741521989830952,0.524465390241608,0.309580308870863,0.472552511597511,0.800106326422116,0.308846575635931,0.572981020274408,0.149565979206336,0.622443515014716,0.686790794492853,0.528294798029324,0.488433029070446,0.655971632205829,1,0.622350461342149,1,0.551805855455469,0.616524850146078,0.530626786005163,0.432202900683829,0.433610391719245,0.692424199960764,0.364240908258967,0.704738392973089,0.564098578034158,0.480773854045311,0.697935604860963,0.26249933043077,0.234222087092752,0.825699400858113,0.461143301648312,0.413284883702302,1,0.917969655433506,0.932850896958297,0.595118457240026,0.739964728783267
