"Ca150","Celf4","CUGBP","ESRP1","ESRP2","FBP11","Magoh","Nova1","nSR100","PRP8","PSF","PTB","Raver1","RBM17","RBM22","RBM3","RBM45","Sam68tv1","Sc35","Sf3btv1","SF3btv2","SKIP","SND1","SRM160","SRSF1","SRSF3","SRSF4","SRSF5","SRSF6","SRSF9","SRSF10","Tia1","Tra2A","Tra2B","U1","U2","U4","U5","U6","U11","U12","U2af2","U6atac"
5.770451,0.309598,0.639182,310.786919,0.400918,0.083274,0.620061,0.612675,0.047988,0.988729,0.000376,1.555679,0.253674,0.10499,0.019958,0.813126,0.155225,0.626514,0.710217,15.94471,1.030444,0.002008,0.46245,4.997975,2.205067,0.669048,0.797735,9.412221,0.521354,5.302171,1.698693,10.811397,3.766408,0.208509,2.420582,5932.434778,127.755997,53.211491,80.416601,102.392882,0.713994,0.217243,0.840956
1.385158,0.19209,0.29095,46.875324,0.272046,0.78242,0.665447,1.32584,0.050556,3.07516,0.00166053193893974,6.053103,1.252206,0.441652,0.140709,1.396766,0.624277,2.67396,2.4562,64.320197,1.209346,0.010862,1.711945,6.973715,0.394698,2.314819,4.391516,7.258711,0.432276,28.624434,2.877775,5.316698,4.404217,2.284568,13.25086,4139.344698,34.196381,353.281909,42.367537,64.076921,0.332301,0.702874,1.715138
4.275636,1.23756,0.499287,177.150662,0.293544234955924,0.580946,1.21469,1.54889,0.754675,3.760983,0.000469,3.188635,1.237454,0.296294,0.231263,1.925504,0.855514,2.16564,1.651399,52.510735,1.697382,0.005869,2.774587,6.68285,1.626722,1.447074,1.846507,9.13301012001681,0.670864,23.53464,3.420512,10.12286,6.763076,2.575691,14.326136,11715.980827,122.361982,146.804037,101.828497,112.493929467455,1.0429,0.648685,1.199084
3.46198,0.040356,1.131412,183.153558,0.303217,0.016806,0.541656,1.283531,0.188272,0.276149,0.00038,0.304484,0.188801,0.07135400365103,0.027,0.834658,0.08224,0.362516,0.393254,2.338471,0.347739,0.000561,0.257386,1.745229,1.634395,2.631995,0.271166,3.433289,0.063779,5.906568,1.001652,6.362763,1.981369,0.166169,0.476914,2312.998871,37.349346,10.644777,58.920691,43.386135,0.612287,0.033601,0.578748873125348
4.950934,0.029411,0.143622,234.606238,0.382271,0.088327,0.800371,0.499768,0.108214,1.003792,4.6e-05,0.235466,0.240359,0.04018,0.063406,0.944874,0.12018,0.485928,0.406522,3.395449,0.607309,0.00085,0.62847,2.823117,2.197501,0.367616,0.748515,5.99501,0.118188,5.522011,0.950341,10.342513,2.388486,0.189691,1.121849,6258.522088,85.095403,24.050238,78.800397,92.71595,0.974302,0.14849,0.500049
2.638965,0,0.978054,137.877908,0.22575,0.054071,0.50901,0.283384,0.095048,0.696526,0.000167,0.412856,0.074462,0.07475,0.033666,0.610472,0.211906,0.501289,0.361229,4.362043,0.46602,0.001033,0.439658,2.239008,1.1935,0.384359,0.664249,5.680698,0.074824,3.741954,0.834177,5.556462,2.604164,0.37907,1.834538,4396.791978,49.133112,21.694243,46.174761,71.010879,0.721787,0.110903,0.350086
2.6593,0.029171,0.165512,121.74238,0.29051,0.147553,0.905552,0.926273,0.234283,2.446102,0.000589,2.496456,0.900573,0.151704,0.166881,1.526089,0.302348,1.343386,1.11458,15.835513,0.873811,0.004193,1.795946,4.797643,1.201749,0.86913,1.409728,11.895588,0.300565,15.055239,2.1272,6.402863,4.582507,0.776463,5.697205,7580.722487,69.546444,103.199478,79.344248,33.41847,0.504683,0.494101,1.040324
2.761983,0,0.040286,132.086716,0.21549,0.007177,0.228757,0.020035,0.016829,0.097697,1.7e-05,0.198129,0.008088,0.055724,0.009749,0.168475,0.024334,0.075872,0.044419,0.26505,0.18125,4.7e-05,0.078597,1.037883,1.333511,0.13482,0.198905,2.022813,0.007859,0.409236,0.413838,5.77111,0.495429,0.017109,0.297948,308.797904,11.659077,1.8451,4.500399,23.652398,0.291893,0,0.108729
4.199675,0.028665,0.369031,193.752565,0.259766,0.028232,0.602689,0.155221,0.071204,0.106541,5e-06,0.125755,0.007178,0.03578,0.005318,0.2972,0.085457,0.161693,0.378286,3.531507,0.369929,0.000256,0.10402,1.882203,1.817305,0.147275,0.239539,3.256214,0.025706,0.965913,1.004035,7.490612,0.703547,0.061252,0.207974,1424.554065,42.587908,3.486587,19.87059,51.690819,0.455976,0.014084,0.307352
2.893261,0.691232,0.127549,160.154375,0.241969,0.465386,0.959848,0.815832,0.282578,1.828792,0.00151,3.097778,0.860443,0.102235,0.145956,1.513396,0.456258,1.977698,2.033678,65.17193,1.116716,0.01673,1.601425,5.343956,1.33485,1.243056,2.132212,8.822672,0.270551,30.447297,2.850399,7.586891,4.869843,1.134429,3.410246,9727.702009,65.196394,154.052016,114.355763,137.828823,0.986427,0.435372,1.297415
