N,S
MAGOH,0.997883565276054,0.128855835756358
RBM22,33.0510197532511,4.26784939756696
SRRM4,75.10432628469,9.69815624697199
PSF,100,12.9129129129129
NOVA1,37.1624429417405,4.79875389337791
SRSF6,84.7941877284203,10.9493996165828
RBM3,37.3137771178124,4.81829554374155
RBM45,66.768198423413,8.62171931593621
SRSF1,98.0917762899216,12.666505647047
SNRNP200,0,0
SRRM1,22.4766919639527,2.90239565900891
SF3B1,25.0280461164657,3.2318497988229
U2AF1,49.7354670556124,6.42229754772173
U2AF2,25.8730744886867,3.34096757661719
TCERG1,0.214748141859491,0.0277302405404157
PRPF8,52.864519723115,6.82634939367553
CELF1,59.4841972596726,7.68114258908687
ESRP1,28.7850177047013,3.71698426817464
ESRP2,24.6005480237968,3.1766473424122
RBM17,17.4839295436271,2.25768459572361
SNW1,0,0
SND1,15.3428017576713,1.98120262936897
TIA1,10.3027295240251,1.33038249109033
SRSF2,9.75551840809201,1.2597215962401
SRSF4,40.7464277797575,5.26155073432303
SRSF5,14.1930307416187,1.83273369936817
SRSF9,2.56540960136226,0.331269107683418
TRA2A,17.5547040379484,2.26682364453989
TRA2B,24.4999327164869,3.16365497540221
KHRSB1,15.0737217654566,1.9464565643082
RAVER1,4.94432428424301,0.638456288956305
PTBP1,6.03469371126062,0.77925474349611
SRSF3,18.6021940641409,2.40208511939358
