pred,obs,N,S,rowIndex,C,M,Resample
N,N,0.852941176470588,0.147058823529412,1,0.255,1,Fold01.Rep1
N,N,0.852941176470588,0.147058823529412,9,0.255,1,Fold01.Rep1
N,N,0.573770491803279,0.426229508196721,23,0.255,1,Fold01.Rep1
N,N,0.573770491803279,0.426229508196721,43,0.255,1,Fold01.Rep1
S,N,0.222222222222222,0.777777777777778,50,0.255,1,Fold01.Rep1
N,N,0.852941176470588,0.147058823529412,51,0.255,1,Fold01.Rep1
N,N,0.852941176470588,0.147058823529412,53,0.255,1,Fold01.Rep1
N,N,0.852941176470588,0.147058823529412,71,0.255,1,Fold01.Rep1
N,N,0.573770491803279,0.426229508196721,78,0.255,1,Fold01.Rep1
N,N,0.573770491803279,0.426229508196721,85,0.255,1,Fold01.Rep1
N,N,0.852941176470588,0.147058823529412,98,0.255,1,Fold01.Rep1
N,N,0.573770491803279,0.426229508196721,119,0.255,1,Fold01.Rep1
N,N,0.573770491803279,0.426229508196721,126,0.255,1,Fold01.Rep1
N,N,0.852941176470588,0.147058823529412,134,0.255,1,Fold01.Rep1
N,S,0.852941176470588,0.147058823529412,145,0.255,1,Fold01.Rep1
N,S,0.852941176470588,0.147058823529412,147,0.255,1,Fold01.Rep1
N,S,0.852941176470588,0.147058823529412,153,0.255,1,Fold01.Rep1
N,S,0.852941176470588,0.147058823529412,164,0.255,1,Fold01.Rep1
N,S,0.852941176470588,0.147058823529412,165,0.255,1,Fold01.Rep1
N,S,0.573770491803279,0.426229508196721,182,0.255,1,Fold01.Rep1
S,N,0.222222222222222,0.777777777777778,18,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,27,0.255,1,Fold02.Rep1
N,N,0.637931034482759,0.362068965517241,29,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,30,0.255,1,Fold02.Rep1
N,N,0.637931034482759,0.362068965517241,45,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,49,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,60,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,61,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,72,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,82,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,84,0.255,1,Fold02.Rep1
N,N,0.637931034482759,0.362068965517241,90,0.255,1,Fold02.Rep1
N,N,0.637931034482759,0.362068965517241,100,0.255,1,Fold02.Rep1
N,N,0.80952380952381,0.19047619047619,115,0.255,1,Fold02.Rep1
N,S,0.637931034482759,0.362068965517241,169,0.255,1,Fold02.Rep1
N,S,0.637931034482759,0.362068965517241,176,0.255,1,Fold02.Rep1
