Index	Var	Importance
5	SF3BTV1Mono	0.939191017316017
1	CA150Mono	0.935741341991342
22	NOVA1Mono	0.877502705627706
8	U11Mono	0.857616341991342
35	SRSF1Mono	0.760349025974026
19	ESRP2Mono	0.666937229437229
11	U2AF1Mono	0.631155303030303
29	RBM45Mono	0.612012987012987
37	SRSF3Mono	0.607481060606061
27	RBM17Mono	0.565949675324675
21	MAGOHMono	0.559929653679654
7	U1Mono	0.555330086580087
16	U6Mono	0.541734307359307
2	FBP11Mono	0.539163961038961
25	PTBMono	0.530032467532468
36	SRSF10Mono	0.524756493506494
23	nSR100Mono	0.518262987012987
4	RBM22Mono	0.513866341991342
26	RAVER1Mono	0.507440476190476
41	SRFSF9Mono	0.505749458874459
43	TRA2AMono	0.503449675324675
28	RBM3Mono	0.500338203463203
15	U5Mono	0.500135281385281
38	SRSF4Mono	0.48735119047619
17	U6atacMono	0.479775432900433
18	CUGBPMon	0.466720779220779
42	TIA1Mono	0.453327922077922
30	SAM68TV1Mono	0.434997294372294
14	U4ataMono	0.430330086580087
40	SRSF6Mono	0.430262445887446
13	U4Mono	0.406994047619048
34	SRM160Mono	0.405911796536797
33	SND1Mono	0.400500541125541
3	PRP8Mono	0.399080086580087
24	PSFMono	0.389136904761905
32	SKIPMono	0.386093073593074
6	SF3BTV2Mono	0.383319805194805
12	UA2F2Mono	0.379937770562771
20	ESRP1Mono	0.350784632034632
9	U12Mono	0.344223484848485
39	SRSF5Mono	0.33495670995671
44	TRA2BMono	0.331709956709957
31	SC35Mono	0.289705086580087
10	U2Mono	0.26075487012987
