,N.PDAC_02,N.PDAC_04,N.PDAC_06,N.PDAC_09,N.PDAC_10,N.PDAC_13,N.PDAC_14,N.PDAC_15,N.PDAC_16,N.PDAC_17,N.PDAC_18,N.PDAC_19,N.PDAC_21,N.PDAC_22,N.PDAC_24,N.PDAC_25,N.PDAC_28,N.PDAC_29,N.PDAC_30,T.PDAC_02,T.PDAC_04,T.PDAC_06,T.PDAC_09,T.PDAC_10,T.PDAC_13,T.PDAC_14,T.PDAC_15,T.PDAC_16,T.PDAC_17,T.PDAC_18,T.PDAC_19,T.PDAC_21,T.PDAC_22,T.PDAC_24,T.PDAC_25,T.PDAC_28,T.PDAC_29,T.PDAC_30
PSF,9264.74002487901,7341.92101328731,506.015713607296,3959.50364757015,7593.66441284963,7023.37613979452,1396.57031129056,3749.90694174874,4318.91328567566,7373.60359307101,6837.65775911094,7209.0945204781,1322.86352732091,6650.40490199731,15336.382276349,24267.7122996949,724.086884361281,7023.37613979452,18882.922063834,1713.07047664445,16698.0168222615,3723.96048078989,8735.5113027453,74482.2125666184,6597.31081162562,1061.27042729374,4318.77728318187,11041.7360332496,2353.50578097248,14869.4073545835,3723.96048078989,1261.53430065313,3945.7848217345,665.509212271311,2568.04174420377,6153.52336866045,3226.29371015895,3159.23767097529
PTB,412816.270810275,1054672.40098667,466552.152528878,659740.974514705,232818.448470632,947933.505818957,597392.066853326,648593.330862141,413588.540799154,1361784.13066296,762982.657399857,740946.436054957,844539.454066117,193767.894249299,631306.247729352,1084639.16124327,740946.436054957,786630.686628013,1017718.95253327,484375.451416769,972434.616478464,284760.477510989,706620.99773988,164586.057361897,1045032.05758721,605513.729362929,831700.740668609,911975.581049575,251504.941088092,902426.680426329,700189.31546519,331484.342744008,708582.813070082,492486.456350456,1028564.77889759,871351.842553339,462991.785556808,848212.130490439
RAVER1,281188.961194936,247928.787993696,169260.763660923,187652.464305264,84837.1812470031,267867.376086326,980731.152266596,364446.310348486,173712.03410632,453455.743756568,454294.48609939,212292.799552548,455276.242865367,180582.120775178,40093.6228659692,76929.0342829401,267867.376086326,420447.973187274,408446.275186421,228037.133162575,465871.014985576,119685.488065272,473224.859307174,90220.4784625297,204888.08346535,514881.019201276,487065.782710318,318039.747555394,133797.284731536,400092.558967478,231688.320261644,105098.404001698,285685.673288206,49901.2121279428,595947.083954923,434079.528541021,285122.467632898,290240.705499756
RBM17,753705.622135394,1629118.73142116,1572395.26162831,1625882.79617541,3133567.3895031,7684859.70629893,1876708.84348964,674999.329938029,1656105.04648524,1477468.68706685,920448.866980404,936769.016560091,1499398.75938604,2045247.19744338,3463681.40803214,2395463.44627498,604840.463445725,1424552.88419398,662116.383786167,851644.784744298,1176029.75351016,367366.51863303,799573.757817461,3678432.6852985,1674619.17098518,632748.002798756,1004031.91538702,876632.721540657,351368.149320037,1005167.41518779,735983.757714564,397525.348379192,646250.77415699,772564.441948893,953032.886614973,998534.430042868,417700.161138848,377809.906926745
RBM22,554898.025586857,1475769.99861264,1239132.41878269,1815417.70064851,439289.264137463,902931.785612298,1570294.94459555,951124.312533136,1172700.90599693,1805144.20587574,1211257.65586863,876421.245953437,833385.953636586,1329515.45265865,2693798.08126851,2080875.15911419,1239132.41878269,1441483.46428635,953826.283632783,847086.571937908,1300245.47361199,535907.627739231,422186.078019924,476385.058949003,1315354.20549619,790964.196536339,1255629.36420011,1551135.25346096,372078.349452665,1238037.63386558,577365.044105931,309747.803733735,832749.513526894,838255.962853027,1261092.70302258,1312562.95893965,709228.945867566,1047885.2201474
RBM3,1075709.99374474,2533757.81102753,1615874.09895284,2471911.77636612,2046957.72389452,5513614.19757701,2043934.90055427,1334466.09111473,2108740.3622061,1124958.49665824,1331418.71692036,1259757.18817518,2476273.20658234,2095693.88148919,5650888.7042346,4282055.74244142,227098.683180646,2460778.13598376,1585608.57555154,1172262.64122247,1599253.385205,1084928.38824488,863427.402666973,1852420.6323437,2438298.9603471,1417109.95705895,1429717.91362084,1589883.90417107,368463.919556846,1093918.6240435,761949.467597813,432772.01241021,947128.015469569,1069122.60850171,1093069.35740573,963017.366217867,856810.626790184,897159.820997239
RBM45,47486.9349646163,133714.454366247,171159.792725751,210520.639486969,59749.9906246257,527273.711885644,16144.4298101686,74682.9159514714,301953.208324069,220166.116952689,133321.53996248,118970.562498623,61490.0499429437,427909.17814944,211133.270776262,262901.626408629,210520.639486969,345497.278727451,244419.160623462,128692.606179522,206908.458126588,59105.826723083,96669.3007184146,156595.878609063,181044.846843885,59896.3807375063,83592.9086567936,224437.824433189,87339.9948101573,152764.457548072,92400.3073197982,34824.3075491341,146438.612234303,106638.551044273,113536.36278152,163230.915952366,139652.230093323,83063.3149366909
SAM68TV1,1184514.92926352,2735801.80240549,2121876.39766856,2544940.9606244,852033.132648668,2860638.58349411,2550380.30320747,1858079.85056611,3353262.19384597,2602352.80847823,2103857.38095984,1964053.70145844,2257719.55103828,890803.306325451,2757377.51971965,2678369.85642799,146141.594065023,2413934.48904799,2761202.1096554,1580675.40374956,2682010.88893348,790550.02767757,1019063.97889836,978658.301276976,3094738.47967248,1747005.0488929,2884072.24038454,3467604.09270091,980650.195436274,1717480.85788113,1152272.77901221,794120.339979164,2281456.55768672,1094126.42327528,2182702.62936442,2961325.25799431,1741342.10400119,1824291.70806882
SC35,338522.417902997,475760.706805799,303915.79293779,257430.527493436,78689.9772400033,507374.646270685,299094.400911328,351633.764588836,522131.99269808,491917.986388425,327533.365006917,344568.023701641,474536.05281397,490308.781050858,1155594.92829727,499785.193039655,469738.084525665,469738.084525665,742776.185388377,448721.081443723,401971.483423909,298676.911103522,212373.057258242,143857.550603603,455076.056323062,248310.814164831,487683.177742695,372333.444806994,141210.233834307,446737.533961835,222444.270091485,134737.556897366,271663.187365102,224483.953480643,384250.74663429,200290.792774452,344312.32647912,311015.364709188
SF3BTV1,125250.954878028,642817.829711998,544595.841963793,577668.69892531,75143.2204506323,364200.390283661,409763.17871908,513047.3326254,842275.986106971,1414314.26499078,543588.299530799,695964.015583844,392150.801843065,522850.641043818,508032.95116246,554530.363988984,543588.299530799,595242.119308976,621485.835829298,534946.325509324,884760.645503831,235516.805475073,45271.0186333058,260079.291200036,1162608.93492587,903664.549915357,361284.948941259,966631.536373303,237670.069078503,603736.491359811,487040.816837094,278117.88281925,343342.538993741,465736.47292974,707742.927106919,390630.281652773,722872.141865334,585771.795917255
SF3BTV2,889789.499881041,3266728.79912601,3356576.94665872,4508741.98831236,878502.028885823,13523734.9848788,2694412.21764437,2302574.57806264,6004000.49446877,3434271.09814525,2711582.30691809,2944243.83083612,2868012.17129127,23918810.8885395,10705846.3997297,16797687.3757754,222190.340141851,4777614.32439848,1583647.49278793,2022873.92214214,2901326.75016191,713253.658596093,718416.958777369,1773415.14043601,4034025.88515294,1246494.86634095,1851380.12628979,2800282.48717118,724740.918600935,2695320.3663416,1467111.89935163,1141718.51247584,1380378.37155331,2697049.5671543,2589852.19284236,2883923.22189386,1335347.69608944,1436832.74943012
SKIP,117325.704620761,1221381.19366047,1094464.27656673,873661.139171866,109534.88589333,1144815.10412838,987429.550839775,296132.392699927,431274.566323364,901405.885216856,435912.858481934,669250.973914056,713383.22757382,490896.185839861,1217757.45176244,851315.050938799,1101934.75149772,514696.297401057,316956.695051788,544796.161044282,768062.972346075,262045.449814224,103125.486744707,500255.438066938,1022343.43000705,353166.033451139,160596.74051938,405265.759388657,224185.69175852,448121.210724359,210082.617833389,181414.693189831,267895.046359368,279920.791594019,587297.854947012,507782.832206684,286905.99549112,275995.684691231
SND1,519164.706848265,2295896.26067747,1248281.41696498,995355.539316481,789326.92187564,4961120.75162735,1325951.70223668,696159.070326676,1629797.90957619,739078.861449639,839228.360066246,801051.203525233,1593596.71165549,1473614.9721512,1846114.10124578,2283565.96131617,3573363.67446094,3097770.60008698,1103160.13127691,326025.29954817,770871.920284854,600099.297299189,667632.342726303,937600.659395602,844166.18582306,441001.687316873,1084603.98672292,861893.721024993,278242.313944872,655842.196854937,422498.435772207,191845.517185609,715385.416157286,576970.847189421,655563.430931666,1236004.88599818,595288.817899385,539267.242960262
SRM160,323792.309195017,3193839.16805592,2150816.77441041,2568273.03225367,785927.287560312,15039964.3519491,4414105.25999148,776985.775857616,2218717.68930385,1644222.94276015,1722890.78777755,1074643.80030491,3920734.09622062,6404711.22008783,7926443.33841177,7115204.30645507,58025303.9129348,1872296.36831621,714730.989083516,1055759.82093886,1490373.93124255,1906462.33442538,419607.644503422,1074893.45542886,2736268.02158051,2347542.98957554,1071437.64500556,1180457.09555735,195542.259570413,1160685.09160373,577570.031297947,470994.161497856,517658.728017753,1799880.527366,1417438.0516676,1454086.78793938,459199.894682533,645702.956139394
SRSF1,718.581053022774,2224.19821661163,1240.82112881342,508.307124390589,13579.6113797793,6606.27213387411,2033.8789287374,27.9879558145124,4137.85337961148,123.90220580748,101.29202219505,214.509753194534,4330.03667373697,3968.70531796276,4961.64822520992,2025.87115165835,51740.3266999756,1755.03547925378,30.2430361178162,104.514048121484,37.4812080958309,85.1718223153567,85.1718223153567,23242.2530622068,213.840776409697,500.401244899752,235.217033431102,48.2995296615257,37.2674669983849,433.046373577704,44.7006523882403,8.43549111828018,85.1718223153567,262.75549266307,77.0237825193404,122.024937229375,16.8478189385218,6.97116094127339
SRSF10,1245059.15800517,2312998.54333446,2028040.7631185,2362167.01161473,2089608.30010806,1307496.57376708,722727.45613901,1287529.73164973,2497464.70683873,3261104.58474346,2383555.61582607,1764644.96455343,1709836.92100693,2440317.74050898,1990173.65210878,3133235.168778,905185.739724204,3750409.29992367,1364269.32644908,2679679.43546858,2484690.65285565,1231117.49367677,1576884.59124263,3215897.28829945,2496762.01889493,910076.577144727,1544167.17574411,1932136.83501456,1102344.28126148,1664227.79365384,1405839.29570038,761483.175157245,1668205.82501874,2033354.52378545,1951881.36506813,1434293.74783456,1670743.80046946,1211152.93199275
SRSF3,1140495.81762271,3222143.35260663,2600876.85935116,3806721.51622517,5778075.59878895,14416160.7033071,4013430.21430742,3061490.7842226,4721559.58374372,5627516.21072348,3389363.4742082,2377010.3750537,3872813.2058101,4261035.57585149,7832071.80223342,8357073.73506736,3077074.46926901,4691617.11159435,2708545.36474181,1948306.25154415,3291466.68733497,1155392.62912889,854062.182080302,7596471.75483211,2852304.70427417,2023767.19723781,3468012.46421975,3410373.29600669,1060587.58357353,2351578.37247806,1672604.33893231,870685.051502577,1950037.18422425,1860866.53593384,2830065.1166309,2564189.07333019,1811990.44014523,2171209.19252692
SRSF4,487606.977378906,1050911.24851108,1095768.491335,1016853.47223019,270590.132213934,9469254.77179047,1992507.55929382,626980.027386546,1824914.80471417,1955780.21656503,979347.891767301,774174.223439372,874665.352944509,802128.71445638,1628559.9033036,2941525.51056328,106178.529062168,1468621.80780094,1069367.67459772,680488.999085101,1070374.03868989,570762.921016414,495937.907424851,384273.229637951,1536541.43094045,475769.945250392,925490.648075373,1533977.85937726,354364.862339698,941941.592281549,487048.379506772,356728.519647943,546351.150171418,419209.882776449,847276.859673592,1128388.8772219,536464.549444635,486874.993960161
SRSF5,2676657.05730677,5416899.04846574,6459126.09644031,6573023.9861677,1664917.15903562,27325711.8599789,7745605.74390349,3062519.60066348,12516143.1244667,4873390.32337614,5094277.40529674,2019134.22737949,7408020.06027995,11524062.4240152,13973214.3844812,21735564.4903365,853125.288705343,7021083.99038004,3516901.64545836,4215770.79699091,6814665.78250667,1974583.04715679,1868949.81510019,2443155.90392084,10690784.6726955,3942233.23395677,4674810.09190622,4203362.9624977,1931157.7344641,4708587.0926457,2494878.35399333,900326.820201466,2332002.0461016,3053857.85487222,3565579.17019983,5724031.26734324,1446800.01018056,1087929.76567999
SRSF6,316194.724240083,198933.745631141,177514.325961545,359649.238778839,120305.462161706,271479.404556577,266108.447174513,151737.451853659,459631.123625083,132010.910393503,392308.250306236,158149.88592277,305148.634722455,221911.303399131,318529.065722484,887577.14114009,271479.404556577,469386.804472821,352404.75932924,106913.092087879,175359.630421595,109579.039764402,453070.63649523,126431.742464258,157704.203157126,101540.729615665,221031.219209558,315691.335483807,67856.8680898157,440742.283133742,131500.462922972,85777.202442942,294143.688577477,72635.9287718682,254797.793098647,253544.417337036,229988.400743247,128243.442003295
SRSF9,865240.314957131,2652598.48079207,1561047.88664202,1732429.11542911,855618.742608776,1532560.01890277,1469232.36895553,1436343.44582692,1985279.4858008,1605385.56686557,1643498.40012907,1672801.6823202,1748299.8267393,4572948.40310602,2324893.98472227,6523218.72451492,575151.972537213,4466359.76149496,1847156.36470734,1335937.49680541,1620857.23378912,674639.420551846,977040.710572745,1681995.65307085,1595832.7754712,747670.120128336,2048402.39137005,1880513.49089476,1228134.74857199,1126816.64229691,1304554.64292019,834910.719634132,1457598.80147485,1877759.91911967,1624696.38433334,2297707.91591938,980484.526169877,838549.80326001
TIA1,55779.4034178427,571670.25011123,709428.557241877,498174.908674132,290710.931281292,1626987.6120361,535715.549160489,449898.361023002,925235.74831331,576143.157038303,564352.631563445,382203.188530637,502028.21405998,914828.108414894,1110818.01226435,1568120.39235678,1903197.94359349,983400.868438138,579500.834787186,210479.482051811,755853.125434799,229593.309009718,80505.9208497817,277517.188040371,471565.371893706,295378.773963952,473697.196992072,910437.024073916,162685.808864949,611581.897128344,234240.379899051,179335.005270483,381703.707391145,192352.783235709,473268.639743794,848269.431778155,393555.822583596,243095.532656913
TRA2A,796075.674851794,4795755.75355587,3940501.52817311,4397532.64303679,1153211.11520901,14485184.0755415,2982899.15515389,1559617.2229507,7881318.24563157,2145122.69931922,2261229.13580233,1444632.37880191,4710841.21620269,7073530.63277511,11205128.6798866,10976758.2024166,1013773.64539434,3700770.62938471,1076291.57758478,2829430.42230029,3868026.23538773,619102.379100656,709457.22095178,2055909.38541399,5970922.75854222,1506561.80980272,1670186.32444447,1578412.96762635,645137.108704989,1732887.32120554,1135143.24099269,614995.293462813,1218507.75612243,2711246.28617588,2107514.1168298,2375529.8247163,833849.837149239,497366.440359458
TRA2B,462172.188873536,2440118.07020644,1902185.36853151,1334359.03025703,753951.590787906,3705208.02352393,1492703.67487327,1452240.97297075,2663694.53143568,2939017.44358122,2226723.28600417,1557215.43440454,1466740.45028815,2121336.77612056,2777216.87670894,2858072.16697562,2122440.45175227,2319866.39614113,2122440.45175227,1370232.83486169,2829690.07236825,330797.577496423,316151.244700109,996252.953850203,2373924.45317216,892305.164571452,1230985.26279123,1360663.85210565,678634.504669176,2011629.34825442,1282762.0973284,579632.394688197,1226129.44697249,1079019.06229822,1642796.49041385,1203402.01937075,1364230.28306302,740575.290162311
U1,113556141.318268,575086155.087509,437571010.320567,591495812.058845,436050257.32509,2320379754.27389,2717439584.17398,435233875.64604,4203575535.68184,249825161.461625,192442010.995855,158259607.837876,3237517417.53879,9978746662.69897,2806255218.09057,19782038347.0012,34907878.0515537,3193269305.23814,48246611.0581923,209618713.3682,165436279.602887,8642565348.38134,33452968.7531597,896770359.226181,1810132289.95841,215614685.946736,1230793537.30368,392916745.379609,218011505.274111,125492290.031064,35904284.8288433,179758677.279199,109727854.894332,412707838.626992,149493410.516594,330035544.978792,39855744.0493675,28929684.1043085
U11,816037.154580988,6768192.81408568,3295136.88579935,3337987.82566234,15212329.3042089,76474679.527553,8647214.78955899,5339661.57681235,15795901.9972406,8879056.81105494,2113107.7418954,1668960.02144853,7440277.8952043,22078547.8927199,32348171.2231457,46725548.856393,1494575.23512063,8150848.14917982,1319792.70826132,5007749.1678825,2938006.67299021,205540109.77497,197342.531742854,17644012.0921948,5400887.89119573,4379096.09355194,6499604.62643715,4160041.22367454,2153235.09710835,2729484.15655518,651388.633860912,1998170.99058586,657702.757204125,14741256.9223656,994263.373020197,1176866.87996305,698221.950085159,1826108.12433231
U12,1290.66201323827,6371.63416501193,8519.32016381235,1810.14852217734,9101.6811481526,354.15358095744,1591.34338876942,614.762379857735,52643.6929170409,9307.30321010235,110.344679110527,21.717916274641,35401.346862539,28131.6639970212,731.152948976227,13498.1537258194,378342.547426363,8484.39978950388,957.341146560092,11492.8835179654,1167.7795369743,123.966914899485,36.3941149644788,18873.9366948555,5581.84246146467,26.5022909859299,120.727843555096,3259.45353229794,185.858900718803,1125.71439745847,1.93513463895362,3686.40527723453,150.824993258792,4873.81913134633,190.861372942777,738.926867178061,195.301115671529,91.1244169565982
U2,2971963.30251501,17145024.8248937,8036145.41817331,9839449.69432727,18813062.2074797,18382851.8748478,41539287.4466838,47807512.3988366,118384895.650639,33966320.2127881,10717946.1090074,12814398.8137188,67830964.2290294,146140439.533018,45133252.4360583,252669320.697969,10372853.9660529,150831374.800858,9288944.94833562,6405607.85619189,9820823.20950007,3556265.30266345,960223.702723157,50582208.2443561,31571475.0144667,3717508.70843057,71578523.0380029,48263975.5130649,13382456.6945396,12882180.3140155,3632886.22727525,9159742.18469354,5432284.82310535,13309055.9397017,7186948.18330026,21688834.5320831,8764109.11921094,5519998.31313831
U2AF1,572350.388878333,1904232.3533913,1301651.46191122,1511741.2194653,3988013.63382209,6746293.74458375,1284317.50497751,550377.785231364,1797799.87684464,681356.522011433,743001.743904523,748826.73789019,1475379.58303841,4146784.71633401,4353370.01981148,4073725.98326013,23753366.4478229,1471380.50880636,968367.636162513,505015.08008788,732584.104723482,1202368.93619286,469098.392220286,3296685.27962668,1217641.70476463,670135.769881725,962348.890121506,584781.990067296,163026.580172413,473127.1438093,404969.078415449,230815.405508396,425855.771678974,675438.626418244,897064.703821324,723204.152935568,268004.961902557,198884.810757237
U2AF2,458715.519212467,346368.122758339,167760.757601092,234171.771420623,72937.4081993382,1081393.03544418,546932.88761804,447810.216564075,489693.641927952,369252.228847873,236074.485115742,170950.421020003,345013.212915578,315322.496004144,289081.428696542,933808.79554397,74429.8540826179,364210.685561041,598226.402126941,174196.21859439,399930.537131304,256933.299815732,627988.693506085,97405.6902619337,267593.810455849,548291.349183053,778054.361655472,525578.340530691,172195.615130583,250660.069351839,231129.692753374,144382.603734028,387077.844426027,163156.218142394,628503.761224952,868792.042961957,325345.635248391,393503.589639832
U4,311468.876040993,1045096.16722392,703172.486626123,1180526.80791087,4712830.63259984,4768836.60018927,18498702.42546,68132219.5291219,1037010947.467,8595178.08283599,3853792.52506731,4113629.53138433,67451120.9936977,262685881.064825,3395876.59761059,1098763333.25809,380916.881012923,100689547.495052,68167683.5463844,1563742.43457989,1158153.74829817,2954522.30732897,5243.70176415966,6934490.43957958,2513737.03854239,5362865.00356808,445182632.514148,144999810.590176,39561006.1715247,1724276.85830112,1414690.05933809,451563.049641258,1655387.7506295,803303.984430932,8076329.96839273,18548383.3334759,4217976.60777547,6538545.96889547
U4atac,25063.1027590936,45544.3784295506,6523.14235016501,7500.16452253907,1187390.6100947,33634.7442593649,10445.8813910864,27903.4022716738,172502.234462851,255680.867575829,12005.7757167219,13529.4617759255,29128.8914563638,30478.9039922398,50404.1963235609,84231.3266990788,174526.801860837,176886.514580903,28448.1945561504,2818.63377526065,50067.6848258994,6411.55877452398,6753.58600044617,1005799.84177866,31176.9195690555,4251.79070287313,11480.2554574262,57872.1370340165,5595.6448066482,13508.1412761337,5391.42333274731,5067.27630062927,7294.37060491572,6411.55877452398,4375.7754016494,13410.6626938637,5171.17996058849,2528.677160546
U5,30561668.7623402,30113698.0151661,18208213.3412062,18038707.0833646,29331465.6053111,72307621.6120315,37884747.2138566,83149836.7312889,334969355.891983,32878739.3218513,7769740.64314271,19783848.7556203,48439591.2962506,1101458319.01514,142979780.59841,547754723.686812,2549804.36332969,374043375.481591,13639533.314038,103886760.094882,9472802.71214171,803331547.005509,3256214.48411801,70212959.0534481,32048762.784451,4028542.18302484,120009063.73952,53305882.7225898,18195001.9440611,13158118.0187869,4878204.19016965,9967150.20540462,7626800.26621202,80196663.6622141,5695608.81539753,6130984.99662208,5427262.52579507,5332420.23709354
U6,6198902.20716315,23787867.8141061,9712173.20548033,13366251.9863406,103402849.575561,18582146.6482963,9799790.81119882,10648204.8012463,31647411.410823,12727882.9653707,5882132.09214172,9639084.10701783,11634463.2946255,52638241.8932348,61580286.2083145,107367751.253085,33852726.4652122,63339183.246171,3897293.49769412,5254620.76778198,7061060.26311593,6160901.39128184,1673147.13687394,147348927.573432,9686877.08863956,2258398.89383143,10944456.1278498,10080630.8662461,4256717.74382511,10771067.7970072,3380139.92346502,5166756.78833742,3475388.19648194,7441519.17721023,4788086.18795771,4365471.35946161,4035070.46283815,2667337.68435196
U6atac,33036.5189800893,174555.902670332,49565.3761270929,36161.853159369,7722137.62512796,215936.706562746,36559.3233923294,66967.744327208,455906.372805492,120887.269536388,51202.8704648838,191381.339030765,112815.106876479,767559.17197882,735092.577370199,250727.037907774,1617301.61121454,469606.621397563,36342.573414717,49816.9973949701,54328.0861636511,51764.9351014029,9653.09873381096,8407807.39549508,85339.3052249859,39697.1737078952,55156.1388298716,82962.3553786976,24499.2433350617,52333.188589265,20602.3366335127,23681.5142156571,21567.0067577968,66181.2746957922,28046.0579455838,45697.6057208365,28213.9820550575,21437.8601424807
