,N.PDAC_02,N.PDAC_04,N.PDAC_06,N.PDAC_09,N.PDAC_10,N.PDAC_13,N.PDAC_14,N.PDAC_15,N.PDAC_16,N.PDAC_17,N.PDAC_18,N.PDAC_19,N.PDAC_21,N.PDAC_22,N.PDAC_24,N.PDAC_25,N.PDAC_28,N.PDAC_29,N.PDAC_30,T.PDAC_02,T.PDAC_04,T.PDAC_06,T.PDAC_09,T.PDAC_10,T.PDAC_13,T.PDAC_14,T.PDAC_15,T.PDAC_16,T.PDAC_17,T.PDAC_18,T.PDAC_19,T.PDAC_21,T.PDAC_22,T.PDAC_24,T.PDAC_25,T.PDAC_28,T.PDAC_29,T.PDAC_30
CA150,528706.231378622,5763856.49902914,3171140.5516297,3220130.8014817,961608.83527782,31176634.0208248,6450178.79807234,901552.589871777,4889112.7767484,1424683.34816576,1439574.69043099,1174348.44548176,7457191.86601784,13229023.4205783,15570193.485565,13723997.2204034,114266485.182791,3792899.61412796,944612.935035939,1941245.87755869,1907231.58903385,3845909.78452099,537362.764157311,1921616.53277139,4122481.81152908,2392846.44165341,1244023.9876928,883597.854525103,470021.138003823,982514.737580181,1005465.79141416,488794.123655953,643842.297268507,2612376.55519477,1213362.84892388,1861988.88423872,609139.319384888,629610.119250145
CELF4,273.678762572649,11822.2563665368,11822.2563665368,11822.2563665368,472.370160529661,11822.2563665368,15079.9421136003,2636.39394136162,11822.2563665368,11822.2563665368,23195.9339064432,3501.04863668342,11822.2563665368,11822.2563665368,22732.4556109285,11822.2563665368,11822.2563665368,16372.9482933961,6593.33628588646,1944.20053226715,694.603258338112,1944.20053226715,1944.20053226715,4.71747101142821,1944.20053226715,1944.20053226715,2385.97065121557,1944.20053226715,1944.20053226715,31136.2182323167,2651.30075585429,354.402613178802,2594.56618058714,1944.20053226715,8740.31782597301,1944.20053226715,1944.20053226715,1365.85333675675
CUGBP,268336.62564717,810230.620563134,655831.237399113,440485.263400632,430183.688793029,6162960.69943456,645073.594213759,343485.218350251,1136468.85087441,598246.182438632,298954.466534625,253709.876922339,113510.363477362,473008.428903382,880464.28118616,543093.439397841,1551685.17742175,1912071.71096042,430341.868477723,204196.551657325,382229.097144362,734322.946323201,211772.762386625,185391.813146963,517509.827492769,167980.09976308,525580.252515884,421244.260045554,101341.088890722,388859.237140399,238211.394837418,92072.9803408641,269508.237693656,371808.816137622,367680.919981676,382808.009837204,234994.969309067,263313.717896184
ESRP1,85726.9677854689,2487916.65345746,1783756.15975517,2771862.44458319,1133289.81402259,14953381.6034258,3209726.91217348,357268.483105187,2398952.97271546,183912.499824336,615271.535192012,562286.097821141,3702339.1412763,9759924.02042865,7602086.57334984,11034982.7538381,55527823.3055762,2552968.45963524,173181.923496809,702430.065827156,674680.155752686,3028918.84053391,514268.577423977,1689400.76315991,1555844.85509202,1327303.23344704,668424.71854786,179785.591278299,245843.395172172,259367.840520808,570721.138410696,483033.792716926,250469.163626638,1539496.47118751,680376.606373544,284115.953317462,616482.631718272,332359.844429562
ESRP2,2735.34039300903,564234.322756692,603647.101670897,499998.584654662,132104.613853746,1696420.40990063,874211.806227797,246389.02907741,477026.40250426,22800.4254289984,144957.931188667,274289.53709487,343674.894271506,271374.496130895,672328.926536654,376234.241487733,376234.241487733,667067.390178275,183942.841871932,159626.756943807,376751.685453458,84582.2468962137,350580.395542242,171916.42001291,408047.704764517,1421932.23416674,505063.817684057,125845.755406662,149774.755821337,81946.2641645492,400176.371927454,194048.251673625,146487.651711359,259692.438235051,551864.561126404,164202.551970104,204918.443988901,182429.863795981
FBP11,489962.947448242,3028766.14920232,1535389.42754358,1903520.68870412,478808.830186786,6492717.75499104,910552.087937542,1262408.29838999,1736403.54853833,2535852.26418469,1703392.68280662,1669986.81613802,1012131.44305227,749937.654225659,3328646.66928013,1847139.72730074,1669986.81613802,1389302.87595549,1382154.77265363,1209904.91789143,2117930.03993416,324930.613121874,734263.21165324,801181.599695951,2498538.58817819,1799424.52662153,1124609.6423638,1394196.46980224,516752.646794721,1424990.61752373,1228854.85128218,828438.028188456,938104.64458568,1669669.99125305,1774258.08500702,1319776.02708665,1107434.78783443,1083212.65822646
MAGOH,72965.7259704736,539656.226184323,450528.751877538,632848.569628495,326629.594092482,58352.4015525928,187472.952925262,68693.2795759553,196061.430239375,339118.445856356,363333.645153888,362803.832913637,139561.855409951,130584.126564313,663998.265701238,384834.472716816,274727.506383294,231083.704790119,274727.506383294,215998.334557189,363533.326169654,121090.372550982,94287.1942432892,297660.353265436,430128.676948948,141646.61212893,104892.704183854,181379.063545174,78732.2130664123,201984.095570012,97395.333400149,66347.8276508806,160506.598159991,85112.9662992626,133289.407693643,113821.239833161,278168.424400215,88952.6386559108
NOVA1,173507.856587482,976084.320417793,211757.384281242,437096.961245871,4053641.5416566,3417857.29396414,819881.119534743,317922.287151676,972104.391657435,3056739.25756554,1266229.77213698,221193.097194836,1220797.39854373,1117453.66229402,995540.67701095,1489409.26934826,4078870.29642151,1092983.27265615,331176.482796165,143813.25255574,489888.05563524,129644.434349545,138237.58191306,4903738.13673537,999538.00298876,113123.361166498,419402.377831069,559527.567191917,275224.021323428,1880654.49724979,197924.052958576,96622.9474597938,430287.55302805,101465.153434223,476489.784216518,1256317.28554439,9926.63149149963,68482.234110513
nSR100,3214.6028708218,13813.4907558678,13813.4907558678,13813.4907558678,6609.99529945218,36552.7639978205,13813.4907558678,13813.4907558678,13813.4907558678,13813.4907558678,15329.9446497353,13813.4907558678,13813.4907558678,13813.4907558678,66934.1182328218,13813.4907558678,94571.6908534201,12010.1267922777,406.788430412727,854.065276254195,2478.30755408836,11779.8098403939,2478.30755408836,30374.8395637327,2478.30755408836,2478.30755408836,3938.40315436493,1018.2119538118,2478.30755408836,7817.67627697544,347.63724624664,2478.30755408836,2478.30755408836,2478.30755408836,4376.85952307422,2478.30755408836,81.208511580785,91.1224725909523
PRP8,1391799.35989899,4034626.46667708,1916648.54695629,2276017.16534687,983490.960233093,5005970.06744429,3583739.31014187,1989167.68755407,1836059.04407113,4577778.11638031,3556789.81556752,1808170.17691794,1955658.38862937,2611229.06359806,3967989.61427113,2703807.20906291,2576692.6152112,1700653.38946127,2576692.6152112,760592.10465235,3117714.79713097,283913.965526784,1241892.71299729,881242.862644612,3099338.48538761,1399120.29565568,1812099.03664582,2401911.12135642,437193.335557628,3126398.78949842,1515722.84643228,815712.072262246,1839113.36744685,963555.361969746,2722299.08151977,2907524.56538262,743308.916004079,1171461.22832659
