Sample,CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
N-PDAC_10,961608.83527782,472.370160529661,430183.688793029,1133289.81402259,132104.613853746,478808.830186786,326629.594092482,974094.356037614,6609.99529945218,983490.960233093,7593.66441284963,232818.448470632,84837.1812470031,3133567.3895031,439289.264137463,2046957.72389452,59749.9906246257,852033.132648668,78689.9772400033,75143.2204506323,878502.028885823,109534.88589333,789326.92187564,785927.287560312,1497.9283040336,2089608.30010806,5778075.59878895,270590.132213934,1664917.15903562,120305.462161706,855618.742608776,290710.931281292,1153211.11520901,753951.590787906,436050257.32509,15212329.3042089,9101.6811481526,18813062.2074797,3988013.63382209,72937.4081993382,4712830.63259984,30478.9039922398,29331465.6053111,103402849.575561,120887.269536388,N
N-PDAC_13,3195635.6765557,11822.2563665368,508050.934150612,2091354.56623531,359954.567879619,1602688.1218408,58352.4015525928,3417857.29396414,36552.7639978205,5005970.06744429,7023.37613979452,947933.505818957,267867.376086326,1572395.26162831,902931.785612298,2045446.31222439,527273.711885644,2860638.58349411,507374.646270685,364200.390283661,2933763.22934416,1144815.10412838,1325951.70223668,2184767.23185713,6606.27213387411,1307496.57376708,3806721.51622517,1050911.24851108,5926786.70082941,271479.404556577,1532560.01890277,1626987.6120361,3700770.62938471,3705208.02352393,2320379754.27389,4893521.28290914,354.15358095744,18382851.8748478,1473380.04592238,1081393.03544418,4768836.60018927,33634.7442593649,72307621.6120315,18582146.6482963,215936.706562746,N
N-PDAC_16,4889112.7767484,11822.2563665368,1136468.85087441,2398952.97271546,477026.40250426,1736403.54853833,196061.430239375,972104.391657435,13813.4907558678,1836059.04407113,4318.91328567566,413588.540799154,173712.03410632,1656105.04648524,1172700.90599693,2108740.3622061,301953.208324069,3353262.19384597,522131.99269808,842275.986106971,6004000.49446877,431274.566323364,1629797.90957619,2218717.68930385,4137.85337961148,2497464.70683873,4721559.58374372,1824914.80471417,12516143.1244667,459631.123625083,1985279.4858008,925235.74831331,7881318.24563157,2663694.53143568,4203575535.68184,15795901.9972406,52643.6929170409,118384895.650639,1797799.87684464,489693.641927952,1037010947.467,172502.234462851,334969355.891983,31647411.410823,455906.372805492,N
N-PDAC_18,1439574.69043099,23195.9339064432,298954.466534625,615271.535192012,144957.931188667,1703392.68280662,363333.645153888,1266229.77213698,15329.9446497353,3556789.81556752,6837.65775911094,762982.657399857,454294.48609939,920448.866980404,1211257.65586863,1331418.71692036,133321.53996248,2103857.38095984,327533.365006917,543588.299530799,2711582.30691809,435912.858481934,839228.360066246,1722890.78777755,101.29202219505,2383555.61582607,3389363.4742082,979347.891767301,5094277.40529674,392308.250306236,1643498.40012907,564352.631563445,2261229.13580233,2226723.28600417,192442010.995855,2113107.7418954,110.344679110527,10717946.1090074,743001.743904523,236074.485115742,3853792.52506731,12005.7757167219,7769740.64314271,5882132.09214172,51202.8704648838,N
N-PDAC_22,3195635.6765557,11822.2563665368,473008.428903382,2091354.56623531,271374.496130895,749937.654225659,130584.126564313,1117453.66229402,13813.4907558678,2611229.06359806,6650.40490199731,193767.894249299,180582.120775178,2045247.19744338,1329515.45265865,2095693.88148919,427909.17814944,890803.306325451,490308.781050858,522850.641043818,2933763.22934416,490896.185839861,1473614.9721512,6404711.22008783,3968.70531796276,2440317.74050898,4261035.57585149,802128.71445638,11524062.4240152,221911.303399131,4572948.40310602,914828.108414894,7073530.63277511,2121336.77612056,555419539.854324,4893521.28290914,28131.6639970212,146140439.533018,4146784.71633401,315322.496004144,262685881.064825,30478.9039922398,1101458319.01514,52638241.8932348,767559.17197882,N
N-PDAC_28,114266485.182791,11822.2563665368,1551685.17742175,2091354.56623531,359954.567879619,1602688.1218408,274727.506383294,974094.356037614,94571.6908534201,2576692.6152112,724.086884361281,740946.436054957,267867.376086326,604840.463445725,1239132.41878269,227098.683180646,210520.639486969,2413934.48904799,437030.014073049,533219.470287308,222190.340141851,1101934.75149772,3573363.67446094,2184767.23185713,1497.9283040336,905185.739724204,3077074.46926901,106178.529062168,853125.288705343,268793.925865545,575151.972537213,1903197.94359349,1013773.64539434,2122440.45175227,555419539.854324,1494575.23512063,6371.63416501193,10372853.9660529,1473380.04592238,74429.8540826179,380916.881012923,174526.801860837,2549804.36332969,33852726.4652122,1617301.61121454,N
N-PDAC_30,944612.935035939,6593.33628588646,430341.868477723,173181.923496809,183942.841871932,1382154.77265363,274727.506383294,331176.482796165,406.788430412727,2576692.6152112,18882.922063834,1017718.95253327,408446.275186421,662116.383786167,953826.283632783,1585608.57555154,244419.160623462,2761202.1096554,742776.185388377,621485.835829298,1583647.49278793,316956.695051788,1103160.13127691,714730.989083516,30.2430361178162,1364269.32644908,2708545.36474181,1069367.67459772,3516901.64545836,352404.75932924,1847156.36470734,579500.834787186,1076291.57758478,2122440.45175227,48246611.0581923,1319792.70826132,957.341146560092,9288944.94833562,968367.636162513,598226.402126941,68167683.5463844,28448.1945561504,13639533.314038,3897293.49769412,36342.573414717,N
T-PDAC_10,1921616.53277139,4.71747101142821,185391.813146963,542494.857917336,171916.42001291,801181.599695951,297660.353265436,197924.052958576,30374.8395637327,881242.862644612,3192.76569056712,164586.057361897,90220.4784625297,799573.757817461,476385.058949003,1852420.6323437,156595.878609063,978658.301276976,143857.550603603,260079.291200036,1773415.14043601,500255.438066938,937600.659395602,1074893.45542886,81.0978024173486,3215897.28829945,1950037.18422425,384273.229637951,2443155.90392084,126431.742464258,1681995.65307085,277517.188040371,2055909.38541399,996252.953850203,172597478.441043,1998170.99058586,18873.9366948555,50582208.2443561,505015.08008788,97405.6902619337,6934490.43957958,6003.60179058609,70212959.0534481,4788086.18795771,39697.1737078952,T
T-PDAC_13,4122481.81152908,1944.20053226715,517509.827492769,1555844.85509202,408047.704764517,2498538.58817819,430128.676948948,999538.00298876,2478.30755408836,3099338.48538761,6597.31081162562,1045032.05758721,204888.08346535,1674619.17098518,1315354.20549619,2438298.9603471,181044.846843885,3094738.47967248,455076.056323062,1162608.93492587,4034025.88515294,1022343.43000705,844166.18582306,2736268.02158051,213.840776409697,2496762.01889493,2852304.70427417,1536541.43094045,2494878.35399333,157704.203157126,1595832.7754712,471565.371893706,1506561.80980272,2373924.45317216,172597478.441043,5400887.89119573,5581.84246146467,31571475.0144667,1217641.70476463,267593.810455849,2513737.03854239,31176.9195690555,32048762.784451,9686877.08863956,85339.3052249859,T
T-PDAC_16,883597.854525103,1944.20053226715,421244.260045554,179785.591278299,125845.755406662,1394196.46980224,181379.063545174,559527.567191917,1018.2119538118,2401911.12135642,11041.7360332496,911975.581049575,318039.747555394,876632.721540657,1551135.25346096,1589883.90417107,224437.824433189,3467604.09270091,372333.444806994,966631.536373303,2800282.48717118,405265.759388657,861893.721024993,1180457.09555735,48.2995296615257,1932136.83501456,3410373.29600669,1533977.85937726,4203362.9624977,315691.335483807,1880513.49089476,910437.024073916,1578412.96762635,1360663.85210565,392916745.379609,4160041.22367454,3259.45353229794,48263975.5130649,584781.990067296,525578.340530691,144999810.590176,57872.1370340165,53305882.7225898,10080630.8662461,82962.3553786976,T
