RBM45,U4,PTB,U6ATAC,SRM160,Clase-enfermo-sano
0.228088,0.260718,0.292833,0.653696,0.134856,S
0.478143,0.171137,0.21959,0.123778,0.409628,S
0.525052,0.18504,0.161519,0.600082,0,S
0.252247,0.313964,0.233843,0.159005,0.16733,S
0.023301,0.285846,0.165471,0.383985,0.121798,S
0.253611,0.308688,0.237849,0.144759,0.446384,S
0,0.273282,0.241424,1,0.499183,S
0.000845,0.241343,0,0.22062,0.24486,S
0.469792,0.374286,0.126153,0.107488,0.459086,S
0.155872,0.38358,0.276595,0.499794,0.348184,E
0.003198,0.44669,0.022657,0.558258,0.359202,E
0.180469,0.00875,0.825421,0.005816,0.58624,E
0.085119,0.086122,0.48369,0.092047,0.37764,E
0.180469,0.111695,0.65865,0.021544,0.889021,E
0.189989,0.060951,0.331286,0.004562,0.390026,E
0.204756,0.044387,0.460086,0.030564,0.644013,E
0.289795,0.206366,0.220711,0.072741,0.417886,E
0.173696,0.042371,0.412343,0.00689,0.665284,E
0.259453,0.091871,0.224283,0.029622,0.699719,E
0.13034,0.063214,0.204047,0.012915,0.319191,E
0.203196,0.172006,0.422487,0.07917,0.478475,E
0.847982,0.137409,1,0.023847,0.579231,E
0.444204,0.219826,0.386934,0.101823,0.319019,E
0.552634,0.069186,0.46284,0,0.649241,E
0.522499,0.322128,0.31491,0.149264,0.442398,E
0.099841,0.31087,0.060156,0.044977,0.512119,E
0.194751,0.331517,0.303704,0.183923,0.273793,E
0.095982,0.313973,0.758089,0.091188,0.461229,E
0.681073,0.489396,0.295418,0.081706,0.719215,E
0.414528,1,0.025972,0.196817,0.329246,E
0.213492,0.412902,0.430928,0.087081,0.424898,E
0.588814,0.270857,0.284149,0.074051,1,E
0.318448,0.092683,0.355567,0.07592,0.367832,E
0.118815,0.206605,0.413873,0.522269,0.345979,E
0.112312,0.0602,0.191959,0.030489,0.282963,E
0.831498,0.423324,0.31129,0.154136,0.488133,E
0.554484,0,0.498181,0.049448,0.691604,E
0.076153,0.034173,0.363626,0.03447,0.474231,E
1,0.206605,0.43136,0.114051,0.803718,E
0.90149,0.296797,0.330792,0.261974,0.443379,E
0.575666,0.048474,0.451037,0.35466,0.476874,E
