NPDAC02	NPDAC04	NPDAC06	NPDAC09	NPDAC10	NPDAC13	NPDAC14	NPDAC15	NPDAC16	NPDAC17	NPDAC18	NPDAC19	NPDAC21	NPDAC22	NPDAC24	NPDAC25	NPDAC28	NPDAC29	NPDAC30	TPDAC02	TPDAC04	TPDAC06	TPDAC09	TPDAC10	TPDAC13	TPDAC14	TPDAC15	TPDAC16	TPDAC17	TPDAC18	TPDAC19	TPDAC21	TPDAC22	TPDAC24	TPDAC25	TPDAC28	TPDAC29	TPDAC30
CA150	   528706.2	  5763856.5	  3171140.6	  3220130.8	   961608.8	 31176634.0	  6450178.8	   901552.6	  4889112.8	  1424683.3	  1439574.7	  1174348.4	  7457191.9	 13229023.4	 15570193.5	 13723997.2	114266485.2	  3792899.6	   944612.9	  1941245.9	  1907231.6	  3845909.8	   537362.8	  1921616.5	  4122481.8	  2392846.4	  1244024.0	   883597.9	   470021.1	   982514.7	  1005465.8	   488794.1	   643842.3	  2612376.6	  1213362.8	  1861988.9	   609139.3	   629610.1
CELF4	  273.678763	11822.256367	11822.256367	11822.256367	  472.370161	11822.256367	15079.942114	 2636.393941	11822.256367	11822.256367	23195.933906	 3501.048637	11822.256367	11822.256367	22732.455611	11822.256367	11822.256367	16372.948293	 6593.336286	 1944.200532	  694.603258	 1944.200532	 1944.200532	    4.717471	 1944.200532	 1944.200532	 2385.970651	 1944.200532	 1944.200532	31136.218232	 2651.300756	  354.402613	 2594.566181	 1944.200532	 8740.317826	 1944.200532	 1944.200532	 1365.853337
CUGBP	 268336.63	 810230.62	 655831.24	 440485.26	 430183.69	6162960.70	 645073.59	 343485.22	1136468.85	 598246.18	 298954.47	 253709.88	 113510.36	 473008.43	 880464.28	 543093.44	1551685.18	1912071.71	 430341.87	 204196.55	 382229.10	 734322.95	 211772.76	 185391.81	 517509.83	 167980.10	 525580.25	 421244.26	 101341.09	 388859.24	 238211.39	  92072.98	 269508.24	 371808.82	 367680.92	 382808.01	 234994.97	 263313.72
ESRP1	   85726.97	 2487916.65	 1783756.16	 2771862.44	 1133289.81	14953381.60	 3209726.91	  357268.48	 2398952.97	  183912.50	  615271.54	  562286.10	 3702339.14	 9759924.02	 7602086.57	11034982.75	55527823.31	 2552968.46	  173181.92	  702430.07	  674680.16	 3028918.84	  514268.58	 1689400.76	 1555844.86	 1327303.23	  668424.72	  179785.59	  245843.40	  259367.84	  570721.14	  483033.79	  250469.16	 1539496.47	  680376.61	  284115.95	  616482.63	  332359.84
ESRP2	   2735.34	 564234.32	 603647.10	 499998.58	 132104.61	1696420.41	 874211.81	 246389.03	 477026.40	  22800.43	 144957.93	 274289.54	 343674.89	 271374.50	 672328.93	 376234.24	 376234.24	 667067.39	 183942.84	 159626.76	 376751.69	  84582.25	 350580.40	 171916.42	 408047.70	1421932.23	 505063.82	 125845.76	 149774.76	  81946.26	 400176.37	 194048.25	 146487.65	 259692.44	 551864.56	 164202.55	 204918.44	 182429.86
FBP11	 489962.9	3028766.1	1535389.4	1903520.7	 478808.8	6492717.8	 910552.1	1262408.3	1736403.5	2535852.3	1703392.7	1669986.8	1012131.4	 749937.7	3328646.7	1847139.7	1669986.8	1389302.9	1382154.8	1209904.9	2117930.0	 324930.6	 734263.2	 801181.6	2498538.6	1799424.5	1124609.6	1394196.5	 516752.6	1424990.6	1228854.9	 828438.0	 938104.6	1669670.0	1774258.1	1319776.0	1107434.8	1083212.7
MAGOH	 72965.73	539656.23	450528.75	632848.57	326629.59	 58352.40	187472.95	 68693.28	196061.43	339118.45	363333.65	362803.83	139561.86	130584.13	663998.27	384834.47	274727.51	231083.70	274727.51	215998.33	363533.33	121090.37	 94287.19	297660.35	430128.68	141646.61	104892.70	181379.06	 78732.21	201984.10	 97395.33	 66347.83	160506.60	 85112.97	133289.41	113821.24	278168.42	 88952.64
NOVA1	 173507.857	 976084.320	 211757.384	 437096.961	4053641.542	3417857.294	 819881.120	 317922.287	 972104.392	3056739.258	1266229.772	 221193.097	1220797.399	1117453.662	 995540.677	1489409.269	4078870.296	1092983.273	 331176.483	 143813.253	 489888.056	 129644.434	 138237.582	4903738.137	 999538.003	 113123.361	 419402.378	 559527.567	 275224.021	1880654.497	 197924.053	  96622.947	 430287.553	 101465.153	 476489.784	1256317.286	   9926.631	  68482.234
nSR100	 3214.60287	13813.49076	13813.49076	13813.49076	 6609.99530	36552.76400	13813.49076	13813.49076	13813.49076	13813.49076	15329.94465	13813.49076	13813.49076	13813.49076	66934.11823	13813.49076	94571.69085	12010.12679	  406.78843	  854.06528	 2478.30755	11779.80984	 2478.30755	30374.83956	 2478.30755	 2478.30755	 3938.40315	 1018.21195	 2478.30755	 7817.67628	  347.63725	 2478.30755	 2478.30755	 2478.30755	 4376.85952	 2478.30755	   81.20851	   91.12247
PRP8	1391799.4	4034626.5	1916648.5	2276017.2	 983491.0	5005970.1	3583739.3	1989167.7	1836059.0	4577778.1	3556789.8	1808170.2	1955658.4	2611229.1	3967989.6	2703807.2	2576692.6	1700653.4	2576692.6	 760592.1	3117714.8	 283914.0	1241892.7	 881242.9	3099338.5	1399120.3	1812099.0	2401911.1	 437193.3	3126398.8	1515722.8	 815712.1	1839113.4	 963555.4	2722299.1	2907524.6	 743308.9	1171461.2
