NPDAC02	NPDAC04	NPDAC06	NPDAC09	NPDAC10	NPDAC13	NPDAC14	NPDAC15	NPDAC16	NPDAC17	NPDAC18	NPDAC19	NPDAC21	NPDAC22	NPDAC24	NPDAC25	NPDAC28	NPDAC29	NPDAC30	TPDAC02	TPDAC04	TPDAC06	TPDAC09	TPDAC10	TPDAC13	TPDAC14	TPDAC15	TPDAC16	TPDAC17	TPDAC18	TPDAC19	TPDAC21	TPDAC22	TPDAC24	TPDAC25	TPDAC28	TPDAC29	TPDAC30
CA150	   528706.2314	  5763856.4990	  3171140.5516	  3220130.8015	   961608.8353	 31176634.0208	  6450178.7981	   901552.5899	  4889112.7767	  1424683.3482	  1439574.6904	  1174348.4455	  7457191.8660	 13229023.4206	 15570193.4856	 13723997.2204	114266485.1828	  3792899.6141	   944612.9350	  1941245.8776	  1907231.5890	  3845909.7845	   537362.7642	  1921616.5328	  4122481.8115	  2392846.4417	  1244023.9877	   883597.8545	   470021.1380	   982514.7376	  1005465.7914	   488794.1237	   643842.2973	  2612376.5552	  1213362.8489	  1861988.8842	   609139.3194	   629610.1193
CELF4	  273.678762573	11822.256366537	11822.256366537	11822.256366537	  472.370160530	11822.256366537	15079.942113600	 2636.393941362	11822.256366537	11822.256366537	23195.933906443	 3501.048636683	11822.256366537	11822.256366537	22732.455610929	11822.256366537	11822.256366537	16372.948293396	 6593.336285886	 1944.200532267	  694.603258338	 1944.200532267	 1944.200532267	    4.717471011	 1944.200532267	 1944.200532267	 2385.970651216	 1944.200532267	 1944.200532267	31136.218232317	 2651.300755854	  354.402613179	 2594.566180587	 1944.200532267	 8740.317825973	 1944.200532267	 1944.200532267	 1365.853336757
CUGBP	 268336.62565	 810230.62056	 655831.23740	 440485.26340	 430183.68879	6162960.69943	 645073.59421	 343485.21835	1136468.85087	 598246.18244	 298954.46653	 253709.87692	 113510.36348	 473008.42890	 880464.28119	 543093.43940	1551685.17742	1912071.71096	 430341.86848	 204196.55166	 382229.09714	 734322.94632	 211772.76239	 185391.81315	 517509.82749	 167980.09976	 525580.25252	 421244.26005	 101341.08889	 388859.23714	 238211.39484	  92072.98034	 269508.23769	 371808.81614	 367680.91998	 382808.00984	 234994.96931	 263313.71790
ESRP1	   85726.96779	 2487916.65346	 1783756.15976	 2771862.44458	 1133289.81402	14953381.60343	 3209726.91217	  357268.48311	 2398952.97272	  183912.49982	  615271.53519	  562286.09782	 3702339.14128	 9759924.02043	 7602086.57335	11034982.75384	55527823.30558	 2552968.45964	  173181.92350	  702430.06583	  674680.15575	 3028918.84053	  514268.57742	 1689400.76316	 1555844.85509	 1327303.23345	  668424.71855	  179785.59128	  245843.39517	  259367.84052	  570721.13841	  483033.79272	  250469.16363	 1539496.47119	  680376.60637	  284115.95332	  616482.63172	  332359.84443
ESRP2	   2735.340393	 564234.322757	 603647.101671	 499998.584655	 132104.613854	1696420.409901	 874211.806228	 246389.029077	 477026.402504	  22800.425429	 144957.931189	 274289.537095	 343674.894272	 271374.496131	 672328.926537	 376234.241488	 376234.241488	 667067.390178	 183942.841872	 159626.756944	 376751.685453	  84582.246896	 350580.395542	 171916.420013	 408047.704765	1421932.234167	 505063.817684	 125845.755407	 149774.755821	  81946.264165	 400176.371927	 194048.251674	 146487.651711	 259692.438235	 551864.561126	 164202.551970	 204918.443989	 182429.863796
FBP11	 489962.9474	3028766.1492	1535389.4275	1903520.6887	 478808.8302	6492717.7550	 910552.0879	1262408.2984	1736403.5485	2535852.2642	1703392.6828	1669986.8161	1012131.4431	 749937.6542	3328646.6693	1847139.7273	1669986.8161	1389302.8760	1382154.7727	1209904.9179	2117930.0399	 324930.6131	 734263.2117	 801181.5997	2498538.5882	1799424.5266	1124609.6424	1394196.4698	 516752.6468	1424990.6175	1228854.8513	 828438.0282	 938104.6446	1669669.9913	1774258.0850	1319776.0271	1107434.7878	1083212.6582
MAGOH	 72965.72597	539656.22618	450528.75188	632848.56963	326629.59409	 58352.40155	187472.95293	 68693.27958	196061.43024	339118.44586	363333.64515	362803.83291	139561.85541	130584.12656	663998.26570	384834.47272	274727.50638	231083.70479	274727.50638	215998.33456	363533.32617	121090.37255	 94287.19424	297660.35327	430128.67695	141646.61213	104892.70418	181379.06355	 78732.21307	201984.09557	 97395.33340	 66347.82765	160506.59816	 85112.96630	133289.40769	113821.23983	278168.42440	 88952.63866
NOVA1	 173507.856587	 976084.320418	 211757.384281	 437096.961246	4053641.541657	3417857.293964	 819881.119535	 317922.287152	 972104.391657	3056739.257566	1266229.772137	 221193.097195	1220797.398544	1117453.662294	 995540.677011	1489409.269348	4078870.296422	1092983.272656	 331176.482796	 143813.252556	 489888.055635	 129644.434350	 138237.581913	4903738.136735	 999538.002989	 113123.361166	 419402.377831	 559527.567192	 275224.021323	1880654.497250	 197924.052959	  96622.947460	 430287.553028	 101465.153434	 476489.784217	1256317.285544	   9926.631491	  68482.234111
nSR100	 3214.60287082	13813.49075587	13813.49075587	13813.49075587	 6609.99529945	36552.76399782	13813.49075587	13813.49075587	13813.49075587	13813.49075587	15329.94464974	13813.49075587	13813.49075587	13813.49075587	66934.11823282	13813.49075587	94571.69085342	12010.12679228	  406.78843041	  854.06527625	 2478.30755409	11779.80984039	 2478.30755409	30374.83956373	 2478.30755409	 2478.30755409	 3938.40315436	 1018.21195381	 2478.30755409	 7817.67627698	  347.63724625	 2478.30755409	 2478.30755409	 2478.30755409	 4376.85952307	 2478.30755409	   81.20851158	   91.12247259
PRP8	1391799.3599	4034626.4667	1916648.5470	2276017.1653	 983490.9602	5005970.0674	3583739.3101	1989167.6876	1836059.0441	4577778.1164	3556789.8156	1808170.1769	1955658.3886	2611229.0636	3967989.6143	2703807.2091	2576692.6152	1700653.3895	2576692.6152	 760592.1047	3117714.7971	 283913.9655	1241892.7130	 881242.8626	3099338.4854	1399120.2957	1812099.0366	2401911.1214	 437193.3356	3126398.7895	1515722.8464	 815712.0723	1839113.3674	 963555.3620	2722299.0815	2907524.5654	 743308.9160	1171461.2283
