mtry,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.791936026936027,0.901212121212121,0.508518518518518,0.119433620426273,0.086466143862137,0.160795260042237
2,0.809057239057239,0.891515151515151,0.620740740740741,0.120002214547553,0.105260153047161,0.172299039433309
3,0.828030303030303,0.884848484848485,0.686666666666667,0.112822343148281,0.10448296710528,0.150163810085901
4,0.837185185185185,0.871515151515152,0.708518518518519,0.108509430899706,0.104902167326485,0.136322912332624
5,0.833653198653199,0.871818181818182,0.715925925925926,0.108524615045219,0.104428856883049,0.139959348635994
7,0.840319865319865,0.852121212121212,0.737407407407407,0.108716112114613,0.102461395696406,0.130606970664472
10,0.845680134680135,0.861515151515152,0.741111111111111,0.105523630080216,0.103230336274511,0.112563307006729
11,0.842868686868687,0.864848484848485,0.744814814814815,0.110404665322006,0.102789071580784,0.107982123827369
13,0.846979797979798,0.855454545454545,0.748518518518518,0.109033685179872,0.105649749069668,0.107111275390302
15,0.845020202020202,0.865151515151515,0.755925925925926,0.11097966370558,0.101739875097515,0.108924199972169
16,0.846912457912458,0.861818181818182,0.752222222222222,0.11064162769423,0.105516142425411,0.106099626266601
