degree,nprune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,3,0.851353535353535,0.851212121212121,0.767777777777778,0.0918011214392185,0.10314195806204,0.119504796300682
2,4,0.862185185185185,0.851212121212121,0.764074074074074,0.0879510085831858,0.10314195806204,0.124369275783469
1,5,0.864276094276094,0.844545454545455,0.757037037037037,0.080069888153382,0.11259649609064,0.122404369092234
2,5,0.864599326599327,0.844545454545455,0.76037037037037,0.0892569827507218,0.11259649609064,0.114978049002924
1,6,0.866750841750842,0.834545454545455,0.764074074074074,0.0781771337726736,0.111631850255429,0.120897852007892
2,7,0.863454545454545,0.840909090909091,0.789259259259259,0.0957088821812396,0.116267348485028,0.123469199035806
2,10,0.864969696969697,0.834242424242424,0.802962962962963,0.0826197747655319,0.115528037561083,0.120730476179504
2,11,0.869037037037037,0.827575757575758,0.817777777777778,0.0795893985901267,0.117358679913827,0.132936830624807
2,12,0.875484848484849,0.827878787878788,0.802962962962963,0.0787237284498856,0.104608358704904,0.128220400570516
1,16,0.856417508417508,0.834242424242424,0.775555555555556,0.0787864441515436,0.109395690581884,0.129227985692261
1,17,0.861077441077441,0.827575757575758,0.771851851851852,0.0782975405926835,0.123094963731031,0.130745425912528
1,18,0.860858585858586,0.831212121212121,0.775185185185185,0.0822308856733711,0.117654558905764,0.126809871771987
2,19,0.871484848484849,0.827575757575758,0.81037037037037,0.0755816703863329,0.10818546221131,0.133043533506373
