shrinkage,interaction.depth,n.minobsinnode,n.trees,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.596601437933044,8,16,62,0.835558922558923,0.782424242424242,0.747037037037037,0.0948765124231187,0.144035660488481,0.117505045799228
0.548397881123237,10,13,858,0.853616161616162,0.723636363636364,0.82,0.0919315863511238,0.162089519260819,0.101180768393605
0.167886235456914,3,19,1035,0.84896632996633,0.802424242424242,0.714074074074074,0.0928369472998857,0.164399705680668,0.137728743385857
0.252396435391158,10,13,1170,0.856055555555556,0.792121212121212,0.754814814814815,0.0892714511786316,0.159807759499344,0.121223131200111
0.384509143288014,10,11,1202,0.852481481481482,0.693030303030303,0.834074074074074,0.0889938255363627,0.159431937812718,0.103202584166981
0.228705326912459,4,23,1253,0.832289562289562,0.769090909090909,0.747407407407407,0.102582053757139,0.169716374468981,0.131789702229485
0.530471071776003,9,7,1639,0.813565656565657,0.472424242424242,0.873703703703704,0.110930419398795,0.178024422411159,0.10494310458908
0.462275247100275,3,24,2104,0.833003367003367,0.742424242424242,0.750740740740741,0.114224863948191,0.147155674163423,0.129796098183775
0.174649544632761,8,6,2599,0.836043771043771,0.571212121212121,0.837407407407407,0.09656705957474,0.184171035363688,0.100296849030058
0.582780795786763,8,10,3286,0.811324915824916,0.492424242424242,0.877407407407407,0.104034592232439,0.178130043871565,0.106673185198864
0.0390066441488452,4,5,3916,0.844856902356902,0.792727272727273,0.733703703703704,0.0912840327963654,0.155792497782616,0.158039374450885
0.565848360230448,5,25,4005,0.796525252525253,0.647575757575758,0.811851851851852,0.132295653345982,0.174437717098068,0.11281956017186
0.544149713580264,9,11,4869,0.806599326599327,0.476060606060606,0.87037037037037,0.105287371723958,0.180819882123247,0.105664728110034
0.0257702690989245,1,10,4916,0.837760942760943,0.799393939393939,0.75037037037037,0.0972060681602601,0.144490009936351,0.129994378282787
0.200323942429852,9,21,4917,0.847412457912458,0.693636363636364,0.808888888888889,0.115144140569473,0.189104020524452,0.118576773677873
