mtry,coefReg,coefImp,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.279187383363023,0.252958995755762,0.484649831649832,0.496060606060606,0.462962962962963,0.160882173803473,0.18743188497092,0.192191841625789
2,0.535394105827436,0.307134360773489,0.851750841750842,0.781818181818182,0.74,0.0801276564149271,0.126981305409989,0.18692009798595
4,0.235221391310915,0.571637878427282,0.860373737373737,0.831212121212121,0.73037037037037,0.0805060770754415,0.111101722158015,0.160987092796635
5,0.0863708492834121,0.859761996660382,0.861956228956229,0.801515151515152,0.74962962962963,0.0629119993219018,0.123039387941772,0.150314933568103
5,0.685456566978246,0.922581458697096,0.861234006734007,0.811818181818182,0.743703703703704,0.0794974839828174,0.10285605155324,0.176695299574513
7,0.948056970024481,0.588136384030804,0.862449494949495,0.814545454545455,0.733333333333333,0.0687925544187206,0.101333373330726,0.170642239631224
8,0.821752239251509,0.191204896429554,0.873712121212121,0.851818181818182,0.767037037037037,0.0634933828393978,0.113020903853641,0.196813338672844
10,0.424502477515489,0.493055942468345,0.86510101010101,0.812424242424242,0.767407407407407,0.0740677423330613,0.126272002438351,0.157241366862594
11,0.255879227537662,0.394310895353556,0.829309764309764,0.782121212121212,0.726666666666667,0.134173342755994,0.164945707853751,0.172789203894647
11,0.729667838662863,0.689867672743276,0.857794612794613,0.815151515151515,0.755925925925926,0.0688854252724656,0.113050737589356,0.159139965419526
12,0.142062805360183,0.637147726258263,0.861476430976431,0.805757575757576,0.744814814814815,0.0734389435346713,0.115374996249905,0.163780458535153
14,0.339928204892203,0.757441432680935,0.864757575757576,0.805454545454545,0.743703703703704,0.0786343881731587,0.11562461248231,0.169790227756924
16,0.731048845453188,0.534981959266588,0.859038720538721,0.805454545454545,0.734074074074074,0.0706911156344752,0.11562461248231,0.148554360083491
17,0.183301896322519,0.0698069958016276,0.861757575757576,0.805454545454545,0.73037037037037,0.0727053589900407,0.11562461248231,0.159845959621868
17,0.264562871074304,0.987710286630318,0.864245791245791,0.805454545454545,0.73037037037037,0.070208909566421,0.11562461248231,0.159845959621868
