maxdepth,mfinal,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
18,32,0.840345117845118,0.783030303030303,0.735925925925926,0.0671152043228216,0.134135045779681,0.125017949612338
5,61,0.854021885521886,0.798787878787879,0.753703703703704,0.0729790241996746,0.12484777469845,0.119708861148585
12,89,0.843156565656566,0.79969696969697,0.747037037037037,0.077204734373247,0.134744479868878,0.110020832166975
10,121,0.851318181818182,0.789393939393939,0.742962962962963,0.0718196274032346,0.118701133746292,0.121986304297712
23,226,0.84816835016835,0.789393939393939,0.75037037037037,0.0705451982659872,0.124375518079253,0.116852919502969
24,238,0.847715488215488,0.808787878787879,0.746666666666667,0.0766657002972626,0.120308412767263,0.117711974677795
1,338,0.868191919191919,0.874242424242424,0.760740740740741,0.0541077331981984,0.094115350764627,0.107794695252954
3,509,0.861436026936027,0.822121212121212,0.746666666666667,0.0692387875690334,0.109447779223406,0.113326571806415
25,527,0.847328282828283,0.789090909090909,0.750740740740741,0.0700940138638634,0.123231866430568,0.118191398818388
6,583,0.853094276094276,0.808787878787879,0.754074074074074,0.0723179903654292,0.111378403047165,0.11213069874086
27,687,0.852035353535354,0.795757575757576,0.754074074074074,0.0726313577025221,0.120834311929555,0.11213069874086
19,881,0.848683501683502,0.795454545454545,0.754074074074074,0.0718773799542804,0.126142541292987,0.11213069874086
30,895,0.850946127946128,0.795757575757576,0.754074074074074,0.0707242427440301,0.127244361669614,0.108267573452678
25,970,0.84749494949495,0.792424242424242,0.754074074074074,0.0711084462864739,0.124878586423023,0.11213069874086
10,978,0.850237373737374,0.798787878787879,0.754074074074074,0.0720987112894235,0.116266939969682,0.11213069874086
