nIter,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
2,0.729872053872054,0.832936507936508,0.797222222222222,0.0825095458563078,0.173758436981604,0.16997316339317
5,0.804878787878788,0.771818181818182,0.747777777777778,0.0874364295313686,0.161539155722617,0.14097362596738
7,0.800946127946128,0.788787878787879,0.732962962962963,0.110015510513257,0.145605003165751,0.142932950349906
16,0.80093771043771,0.785965608465608,0.769933862433862,0.0927390129411962,0.157857978847708,0.169597112693907
17,0.792936026936027,0.741818181818182,0.747037037037037,0.0982194521149744,0.149600017677994,0.157207520895414
21,0.809809764309764,0.735151515151515,0.722222222222222,0.0944716745812625,0.141959043727209,0.16384586096637
23,0.802703703703704,0.741818181818182,0.714444444444444,0.0856789007691786,0.132486146756405,0.167295111467692
37,0.796074074074074,0.761818181818182,0.714444444444444,0.111388994154579,0.140661629202475,0.156269570932697
49,0.80737037037037,0.768484848484849,0.711111111111111,0.10523003385643,0.137864950446455,0.157648751948945
52,0.812925925925926,0.773778258778259,0.739920634920635,0.110736114716636,0.139842811092746,0.170975830831816
56,0.8163367003367,0.779188311688312,0.745634920634921,0.108361634738315,0.116571816359836,0.177858792090748
59,0.811856902356902,0.758484848484849,0.717777777777778,0.114517517698655,0.123076441256337,0.163341022051679
81,0.809031986531986,0.781818181818182,0.725185185185185,0.106817013022182,0.126981305409989,0.152066322083181
88,0.803900673400673,0.789907407407407,0.770039682539683,0.0998333146361761,0.107021190389008,0.163140652449228
