nprune,degree,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
4,1,0.871178451178451,0.851212121212121,0.768888888888889,0.0899840913631975,0.113783186236475,0.127269520562456
9,1,0.87396632996633,0.841414141414141,0.788271604938272,0.0821162887136339,0.112750262171179,0.121936575878035
16,1,0.870191919191919,0.831515151515152,0.815555555555556,0.0866263715951295,0.105498135335766,0.119584921403119
18,1,0.875594276094276,0.837727272727273,0.800925925925926,0.08107981211374,0.104229441326706,0.120789265798875
21,1,0.867565656565657,0.834545454545455,0.804814814814815,0.080700125337125,0.115718233670739,0.119836817291212
7,2,0.877919191919192,0.840909090909091,0.772592592592593,0.0846349696130754,0.107558463295564,0.115901829149862
8,2,0.876833333333333,0.846212121212121,0.785,0.0819660501366887,0.10815328528783,0.108997313327521
10,2,0.876131313131313,0.841212121212121,0.79037037037037,0.0793210715743874,0.11592327857931,0.106922320280403
18,2,0.877929292929293,0.851212121212121,0.819259259259259,0.0743493627241913,0.110169261038209,0.0987763936020198
19,2,0.877092592592593,0.839848484848485,0.812222222222222,0.075031148467968,0.0991360871080804,0.117012759009784
