nprune,degree,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
5,1,0.850356902356902,0.832121212121212,0.760740740740741,0.0936530421125709,0.133261118469829,0.143178458408303
6,1,0.853875420875421,0.825454545454545,0.771481481481481,0.100875561683834,0.121273756534291,0.140989730682052
9,1,0.872542087542088,0.839393939393939,0.793333333333333,0.0908463039625937,0.105999385226857,0.144063748246952
13,1,0.858037037037037,0.819090909090909,0.782592592592593,0.090442989040712,0.106669842975412,0.159465991931381
14,1,0.855074074074074,0.815757575757576,0.778888888888889,0.0888627011047467,0.105611528742485,0.155483015379558
17,1,0.855074074074074,0.815757575757576,0.778888888888889,0.0888627011047467,0.105611528742485,0.155483015379558
21,1,0.855074074074074,0.815757575757576,0.778888888888889,0.0888627011047467,0.105611528742485,0.155483015379558
5,2,0.841191919191919,0.838484848484848,0.752962962962963,0.0909069512887265,0.136847278867529,0.157532141998819
14,2,0.848363636363636,0.845151515151515,0.772222222222222,0.0962224174017933,0.115941714834306,0.160452478545626
15,2,0.84443771043771,0.838484848484848,0.768518518518518,0.0999325806786455,0.1184030563227,0.158941885793072
17,2,0.840363636363636,0.838484848484848,0.765185185185185,0.106097360071108,0.1184030563227,0.15712761550723
18,2,0.84069696969697,0.838484848484848,0.765185185185185,0.105361813167948,0.1184030563227,0.15712761550723
