mincriterion,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.0469014164991677,0.821912457912458,0.77969696969697,0.771111111111111,0.0796537631917129,0.14155596958089,0.133703190724367
0.073157143779099,0.820616161616162,0.78969696969697,0.771111111111111,0.0857198926922244,0.143873328071104,0.133703190724367
0.17479434912093,0.828449494949495,0.861515151515152,0.763703703703704,0.0936861445076462,0.125279586631806,0.136268251876289
0.178904467495158,0.82829797979798,0.861515151515152,0.763703703703704,0.0935928815384862,0.125279586631806,0.136268251876289
0.209306399105117,0.830907407407407,0.887878787878788,0.76,0.0932849318740289,0.1074944134447,0.134243382158934
0.333754162536934,0.826563973063973,0.881515151515152,0.76,0.0951749765337071,0.10328001578472,0.134243382158934
0.348087762016803,0.826580808080808,0.890606060606061,0.76,0.0946346449032222,0.0923856061217644,0.134243382158934
0.44732528924942,0.827321548821549,0.890606060606061,0.76,0.0915779849192264,0.0923856061217644,0.134243382158934
0.47419393225573,0.826525252525253,0.890606060606061,0.76,0.0918758700411321,0.0923856061217644,0.134243382158934
0.514950805576518,0.827284511784512,0.890606060606061,0.76,0.0917174878846619,0.0923856061217644,0.134243382158934
0.541448595467955,0.827284511784512,0.890606060606061,0.76,0.0917174878846619,0.0923856061217644,0.134243382158934
0.634186524432153,0.82630303030303,0.890606060606061,0.76,0.089530962921116,0.0923856061217644,0.134243382158934
0.737246923148632,0.825747474747475,0.890606060606061,0.763703703703704,0.0893590694476859,0.0923856061217644,0.136268251876289
0.885597240645438,0.826043771043771,0.890606060606061,0.763703703703704,0.0907894916804446,0.0923856061217644,0.136268251876289
0.928150182357058,0.826043771043771,0.890606060606061,0.763703703703704,0.0907894916804446,0.0923856061217644,0.136268251876289
