mtry,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.797531986531987,0.795454545454545,0.706296296296296,0.0955262500076676,0.12802620670736,0.101234749607869
2,0.824223905723906,0.816060606060606,0.728518518518518,0.0869060599412487,0.116657234755598,0.0972452992133827
3,0.835700336700337,0.813030303030303,0.732592592592593,0.0821116166649511,0.125779039097006,0.0986038482386456
4,0.84202861952862,0.823333333333333,0.753333333333333,0.0861547069228539,0.129397475474088,0.114038076289296
5,0.85097138047138,0.819393939393939,0.753703703703704,0.0783028756965736,0.13007951474306,0.109997613400842
6,0.849535353535354,0.819393939393939,0.771851851851852,0.0692865243451904,0.124665030425385,0.10704169915649
9,0.855117845117845,0.80969696969697,0.775555555555556,0.0684685629379885,0.127807504633783,0.109155198621604
10,0.851639730639731,0.805757575757576,0.775555555555556,0.0732415465592278,0.120213625119958,0.109155198621604
12,0.854594276094276,0.796666666666667,0.772222222222222,0.069784933919068,0.125206773028296,0.11300116599571
15,0.855340067340067,0.802424242424242,0.765185185185185,0.0712924121218893,0.115039818235315,0.11209272652017
16,0.848127946127946,0.786363636363636,0.758148148148148,0.0716351674911788,0.134029128746411,0.112356368112231
17,0.850824915824916,0.792424242424242,0.758148148148148,0.0711645897597999,0.116300025063501,0.112356368112231
