N,S
X0hESRP1,0,8.19984273980525
X0hSRSF1,2.30229184905081,10.7273587914807
X0hSRSF5,47.3208270488023,60.149881130338
X0hRNU2,52.4945987930154,65.8297827190939
X0hRNU4,2.26444137578442,10.6858055545251
X0hRNU5,33.5669337365659,45.0504982549482
X0hRNU6ATAC,16.576383977906,26.3978294981587
X4hESRP1,52.7201187218342,66.0773643800797
X4hNOVA1,66.1911231061708,80.8661844107101
X4hSRSF1,20.2905590959094,30.4753478342277
X4hRNU1,83.6199452271079,100
X4hRNU12,42.0911418057609,54.4085962439556
X4hRNU2,28.8332005219124,39.8536824432091
X4hRNU4,22.3466169500924,32.7325417828415
X4hRNU4ATAC,77.8516952762796,93.6674647278946
X4hRNU6,44.3354410491608,56.8724465002969
X4hRNU6ATAC,80.2280227314361,96.2762589993167
