N,S
ESRP1,0,10.4890393654807
SRSF1,5.58295412353292,16.4877453918301
SRSF5,73.7960053227489,89.780491893115
RNU2,83.3072306895525,100
RNU4,4.56513550595444,15.3941317708148
RNU5,48.4077094227334,62.5015782133112
RNU6ATAC,27.380875379891,39.9089161034488
