maxdepth,mfinal,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
3,120,0.590069023569024,0.586060606060606,0.564074074074074,0.106050567174575,0.204978410937148,0.177050315580621
7,433,0.56043265993266,0.530909090909091,0.49,0.0977963157236699,0.178505878943319,0.208898467213349
6,445,0.570498316498317,0.576666666666667,0.485925925925926,0.097246395808944,0.184674790346213,0.196390011124343
21,594,0.570154882154882,0.57,0.503703703703704,0.105968191259229,0.182118091207479,0.189851801523691
27,595,0.571045454545455,0.553939393939394,0.507777777777778,0.0998744177221614,0.170392290965192,0.219778711417501
10,619,0.565774410774411,0.540606060606061,0.525185185185185,0.0991913856697774,0.170171377471797,0.181684407099702
20,634,0.563079124579125,0.566969696969697,0.521851851851852,0.101264258344205,0.175947272687644,0.210484719700003
26,669,0.570819865319865,0.56,0.518888888888889,0.104588522354453,0.186699368819151,0.212310567156587
8,677,0.563043771043771,0.56,0.478888888888889,0.103314904022721,0.177224091069472,0.203112226159569
19,706,0.562260942760943,0.533939393939394,0.514814814814815,0.0973898812507958,0.171675287370433,0.199815439179856
10,733,0.567700336700337,0.543939393939394,0.521481481481481,0.0987118531028163,0.17032788746033,0.186790994295441
1,865,0.581614478114478,0.486060606060606,0.615185185185185,0.114001235872331,0.201274555659579,0.179576232007549
12,874,0.563806397306397,0.566969696969697,0.508148148148148,0.100407198000486,0.180156724357026,0.20072099359499
22,989,0.563274410774411,0.56030303030303,0.50037037037037,0.0999804347086966,0.174858707498674,0.208370665024746
