alphas,nsteps,scale,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.107435283879749,3,3.43007465742994,0.409653198653199,0.328458498023715,0.736714975845411,0.240844615131952,0.129534343378101,0.139842575536771
0.266800932539627,6,2.8842141762143,0.462683501683502,0.338811188811189,0.744017094017094,0.200640042895533,0.140355103186397,0.142377719481485
0.309432806470431,6,2.76367535820464,0.470710437710438,0.346503496503496,0.743589743589744,0.205218076085311,0.149053807425193,0.133182250584848
0.461353584821336,3,1.62337226769887,0.51696632996633,0.353571428571429,0.757539682539683,0.170378981629835,0.14753020859126,0.139600762363858
0.46199847839307,8,3.41988406877499,0.51696632996633,0.353571428571429,0.757539682539683,0.170378981629835,0.14753020859126,0.139600762363858
0.515339801041409,5,1.57654640503461,0.539558922558923,0.355172413793103,0.75823754789272,0.142045925342048,0.145128104354229,0.137136731045644
0.520106436405331,4,0.925398914609104,0.5553367003367,0.372413793103448,0.759003831417625,0.141459250613352,0.145889826753956,0.144325453072384
0.552499782503583,3,1.53900931420503,0.570299663299663,0.35,0.758888888888889,0.125231912786166,0.152339970180766,0.14097362596738
0.56217207275331,9,0.858676207193639,0.587929292929293,0.37,0.763333333333333,0.116823491816745,0.148674201658575,0.149588622783991
0.613587374449708,4,1.55636599438731,0.575151515151515,0.356666666666667,0.759259259259259,0.117341911489939,0.145232654681862,0.14319629712046
0.622330398927443,5,2.84634344198275,0.566262626262626,0.36,0.751851851851852,0.112516434979108,0.147393038824725,0.153526263579323
0.654655587370507,9,2.0322388780769,0.570707070707071,0.353333333333333,0.762962962962963,0.119739580938445,0.145351321784708,0.142151962210998
0.870546008227393,6,1.3418523138389,0.578855218855219,0.356666666666667,0.762962962962963,0.112930717733277,0.145232654681862,0.14802037913072
0.879193837544881,8,3.69122673239326,0.566262626262626,0.36,0.751851851851852,0.112516434979108,0.147393038824725,0.153526263579323
0.922983835684136,8,1.09822404722217,0.573632996632997,0.353333333333333,0.758888888888889,0.120518228901504,0.150021055486852,0.138505985596208
