degree,nprune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,2,0.61040404040404,0.622727272727273,0.526296296296296,0.107648412236996,0.186869487040188,0.164480769865222
1,3,0.606835016835017,0.59,0.54,0.125987379076134,0.166336997027788,0.170332607286894
1,4,0.602434343434343,0.563333333333333,0.55,0.109294050673775,0.166613176559391,0.194403389207098
2,4,0.610582491582492,0.563636363636364,0.526296296296296,0.106215788293423,0.174279447250177,0.194835039182534
2,5,0.60776430976431,0.603636363636364,0.53,0.106031701401523,0.170202635170827,0.163068437943657
1,6,0.590158249158249,0.583636363636364,0.557407407407407,0.109939872572203,0.173450063360925,0.170119616678965
1,7,0.584158249158249,0.59030303030303,0.521851851851852,0.118289632440127,0.155105629317069,0.153169531401628
1,8,0.565902356902357,0.537272727272727,0.534074074074074,0.104916519876819,0.175588413530299,0.181637538136792
2,8,0.59389898989899,0.56030303030303,0.558888888888889,0.122976739602231,0.191475251455182,0.171019779576474
1,10,0.560717171717172,0.540606060606061,0.498888888888889,0.121091418916974,0.150438389179488,0.158519920978267
2,11,0.589717171717172,0.56030303030303,0.557777777777778,0.120885535886312,0.166424922047288,0.140830112109586
1,12,0.574589225589226,0.56030303030303,0.51962962962963,0.126122850346186,0.160088379219744,0.160450709733578
1,13,0.566478114478114,0.543636363636364,0.525925925925926,0.131354594459479,0.170717560925745,0.169925567391263
2,15,0.584915824915825,0.554242424242424,0.532592592592593,0.1194851911955,0.185180252828987,0.141990152295653
