coeflearn,maxdepth,mfinal,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
Zhu,26,22,0.524959595959596,0.52969696969697,0.517777777777778,0.115904281921109,0.165660303582808,0.108301645822523
Zhu,9,97,0.548673400673401,0.502424242424242,0.548888888888889,0.108500390763209,0.162849612220131,0.112353210606501
Zhu,26,147,0.547814814814815,0.522424242424242,0.554444444444444,0.107215425956059,0.135277457473954,0.134362249659917
Breiman,2,174,0.541117845117845,0.509090909090909,0.512222222222222,0.120852010448123,0.140227393394013,0.143671672905874
Freund,23,226,0.552707070707071,0.536060606060606,0.561851851851852,0.126800086057118,0.150887624211252,0.134657642090204
Zhu,24,238,0.54010101010101,0.525454545454545,0.543703703703704,0.106759051033818,0.154617353734324,0.118200403214178
Zhu,30,319,0.542414141414141,0.525757575757576,0.536666666666667,0.104891298021364,0.15305538968981,0.116977327672683
Zhu,12,331,0.535845117845118,0.505454545454545,0.543333333333333,0.127319076590606,0.167314973539358,0.111545129338297
Freund,2,375,0.513094276094276,0.532121212121212,0.518148148148148,0.129564901066599,0.170723125220175,0.139709707347884
Breiman,10,584,0.551808080808081,0.529090909090909,0.553703703703704,0.107197106539087,0.184516034531271,0.130691690117461
Freund,11,630,0.545053872053872,0.519090909090909,0.54,0.113733468270186,0.166952637724264,0.119549316876352
Zhu,27,687,0.544488215488215,0.522424242424242,0.529259259259259,0.10993725478188,0.161263416859419,0.117062213371127
Breiman,28,802,0.55023569023569,0.552121212121212,0.546296296296296,0.110596962271722,0.17726160777494,0.138072954517246
Zhu,24,823,0.547481481481481,0.548484848484848,0.529259259259259,0.102077150213031,0.153765936222545,0.126870285131413
Freund,11,994,0.543912457912458,0.539090909090909,0.543333333333333,0.117512748324434,0.167477556205095,0.124767983907848
