nprune,degree,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
6,1,0.578737373737374,0.588484848484848,0.525185185185185,0.121323847701495,0.163774468599423,0.140967082901494
7,1,0.568572390572391,0.59469696969697,0.527037037037037,0.131513307272565,0.168788035545106,0.166991105018598
8,1,0.565757575757576,0.574848484848485,0.547037037037037,0.131758762102087,0.148339019512042,0.157180438874226
11,1,0.556515151515152,0.588787878787879,0.51037037037037,0.133846157512983,0.153828010782502,0.169137076496151
12,1,0.558681818181818,0.57,0.506296296296296,0.12753632711799,0.163381928540061,0.158188196825309
14,1,0.556262626262626,0.600606060606061,0.528148148148148,0.135041770949087,0.168728389719936,0.167029829965183
2,2,0.32126936026936,0.60427807486631,0.509803921568627,0.302611461016846,0.183349169186874,0.210777600338954
3,2,0.542410774410774,0.6,0.54238683127572,0.217089947155729,0.182307035119429,0.180219267025974
6,2,0.576346801346801,0.594848484848485,0.533333333333333,0.131458765216988,0.189036695467586,0.186290443707596
11,2,0.570208754208754,0.567878787878788,0.538148148148148,0.127444461086537,0.179510961860125,0.1891857782489
13,2,0.566523569023569,0.58,0.514444444444444,0.129120166167639,0.172786462974867,0.183035482526121
14,2,0.561653198653199,0.559393939393939,0.519259259259259,0.13656098181436,0.178444137616885,0.180650480990519
