nIter,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
8,0.534563973063973,0.501150793650794,0.620110544217687,0.126737280922501,0.28885054867321,0.334152643148431
16,0.520286195286195,0.512354497354497,0.505515873015873,0.131579757267606,0.20346666001458,0.29846277685841
31,0.517164983164983,0.510606060606061,0.503703703703704,0.131141477934418,0.154519329035244,0.183674553778389
35,0.516345117845118,0.526666666666667,0.471111111111111,0.117566657818721,0.178127644079343,0.157664953454763
40,0.512695286195286,0.510119047619048,0.503306878306878,0.139763689692004,0.183874895555817,0.217733951163066
53,0.515244107744108,0.538484848484848,0.504814814814815,0.119537643848515,0.125711048788855,0.184584338152784
55,0.527299663299663,0.521212121212121,0.53,0.117617358781003,0.123553663409859,0.199641014562677
66,0.51160101010101,0.521640211640212,0.49739417989418,0.12086029075681,0.164460822164348,0.234581875201355
72,0.515436026936027,0.535555555555556,0.482275132275132,0.120476373855485,0.146177084632863,0.234129357491086
75,0.513220538720539,0.527878787878788,0.481851851851852,0.116916709470742,0.121685075207524,0.187554069589121
79,0.499446127946128,0.490909090909091,0.482962962962963,0.122688187966986,0.129558515538032,0.221045415322331
83,0.495481481481481,0.514242424242424,0.485925925925926,0.119074043878608,0.127735016517637,0.203417655889064
84,0.495461279461279,0.525828523328523,0.459113756613757,0.118166744397772,0.14503625207113,0.233359034887392
89,0.508308080808081,0.527575757575758,0.474814814814815,0.116450155589088,0.116920769838736,0.175922632220293
99,0.481829966329966,0.511212121212121,0.457407407407407,0.113954024583784,0.114312928472833,0.170818861071772
