degree,nprune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,3,0.565974747474748,0.532121212121212,0.525185185185185,0.119141209385048,0.178284362619364,0.225076181858789
2,5,0.565979797979798,0.534848484848485,0.535925925925926,0.115786678229475,0.176781061343298,0.200461012587883
2,7,0.565651515151515,0.525151515151515,0.56037037037037,0.125724257559345,0.17022077316751,0.209556350549504
1,8,0.609267676767677,0.588181818181818,0.548148148148148,0.116899330692501,0.149648586176224,0.179240470606924
1,11,0.609267676767677,0.588181818181818,0.548148148148148,0.116899330692501,0.149648586176224,0.179240470606924
2,11,0.566318181818182,0.528484848484848,0.556666666666667,0.126184277572349,0.168657436994286,0.204470055034239
1,13,0.609267676767677,0.588181818181818,0.548148148148148,0.116899330692501,0.149648586176224,0.179240470606924
2,13,0.566318181818182,0.528484848484848,0.556666666666667,0.126184277572349,0.168657436994286,0.204470055034239
1,14,0.609267676767677,0.588181818181818,0.548148148148148,0.116899330692501,0.149648586176224,0.179240470606924
2,14,0.566318181818182,0.528484848484848,0.556666666666667,0.126184277572349,0.168657436994286,0.204470055034239
2,15,0.566318181818182,0.528484848484848,0.556666666666667,0.126184277572349,0.168657436994286,0.204470055034239
