lambda,lambda2,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.00846567279201095,0.0375635346304626,0.622151515151515,0.590606060606061,0.595185185185185,0.140903579377585,0.158603971926008,0.171778152823423
0.0136844742564195,0.531247616359218,0.641531986531987,0.617575757575758,0.56037037037037,0.138081492427664,0.165160670036634,0.177602483820236
0.0365921948984784,6.30501427268163e-05,0.613952861952862,0.600606060606061,0.57037037037037,0.144657002931228,0.153368807358538,0.160467954819368
0.0397298639114426,0.0303791751420982,0.613713804713805,0.606969696969697,0.562962962962963,0.145008708253975,0.15779694708082,0.163620524050163
0.040567462959271,0.000691723455746653,0.613872053872054,0.600606060606061,0.562962962962963,0.145265544739126,0.153368807358538,0.163620524050163
0.0434931290328638,0.0059456522193912,0.61286531986532,0.607272727272727,0.562962962962963,0.146259524348215,0.157629200807713,0.163620524050163
0.0517596567024876,0.998021178042432,0.638037037037037,0.831818181818182,0.265185185185185,0.132360476871859,0.187204692879726,0.12330531362821
0.0587580083041086,0.000141114117665365,0.611845117845118,0.617575757575758,0.537777777777778,0.145325588983748,0.155142371726399,0.170507468853613
0.0775811684650855,0.0733067913642688,0.608508417508418,0.640606060606061,0.496666666666667,0.142608559064129,0.156765055438483,0.148732404756921
0.0787289667403649,0.00214325425742475,0.601649831649832,0.640606060606061,0.49,0.151761518807196,0.161104292157156,0.146081206968502
0.0832989706609284,0.0263510605340313,0.604632996632997,0.643939393939394,0.486666666666667,0.147059283025072,0.159117030248476,0.139188183269472
0.0842291871289795,0.0709518465170516,0.60513468013468,0.650606060606061,0.486666666666667,0.143807517076341,0.167673693701811,0.152666103385889
0.0848772671776498,0.228509053064394,0.612828282828283,0.67030303030303,0.448148148148148,0.140489150261407,0.16455564376103,0.129521940307979
0.0904343693723593,8.02874248762678e-05,0.603087542087542,0.663939393939394,0.486296296296296,0.151777763089046,0.171152420214231,0.138645252464465
0.107488050242959,0.109451662578235,0.599397306397306,0.686969696969697,0.409259259259259,0.14004929131709,0.16226670489836,0.135803533414306
