mstop,prune,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
22,no,0.612868686868687,0.600606060606061,0.503703703703704,0.131917550634858,0.162112959877474,0.161472927937312
97,yes,0.616040404040404,0.603939393939394,0.517037037037037,0.128654809720601,0.163124999203835,0.158932511047841
147,no,0.590508417508418,0.601212121212121,0.524444444444444,0.122692112630399,0.160324075710414,0.159591859176897
174,yes,0.616040404040404,0.603939393939394,0.517037037037037,0.128654809720601,0.163124999203835,0.158932511047841
226,no,0.583016835016835,0.591515151515152,0.528148148148148,0.113085861065718,0.154368944625792,0.155082294124446
238,no,0.582609427609428,0.591515151515152,0.528148148148148,0.111966534189569,0.154368944625792,0.155082294124446
319,no,0.577124579124579,0.582121212121212,0.524074074074074,0.110024079205474,0.158657867120663,0.152434014738036
331,yes,0.616040404040404,0.603939393939394,0.517037037037037,0.128654809720601,0.163124999203835,0.158932511047841
375,yes,0.616040404040404,0.603939393939394,0.517037037037037,0.128654809720601,0.163124999203835,0.158932511047841
584,yes,0.616040404040404,0.603939393939394,0.517037037037037,0.128654809720601,0.163124999203835,0.158932511047841
630,yes,0.616040404040404,0.603939393939394,0.517037037037037,0.128654809720601,0.163124999203835,0.158932511047841
687,no,0.566710437710438,0.572121212121212,0.538888888888889,0.10848922233361,0.160416480842599,0.139687359970568
802,no,0.565397306397306,0.568787878787879,0.528518518518518,0.107594640517534,0.142678911466742,0.136728277341924
823,no,0.565804713804714,0.568787878787879,0.528518518518518,0.107683252508163,0.142678911466742,0.136728277341924
994,yes,0.616040404040404,0.603939393939394,0.517037037037037,0.128654809720601,0.163124999203835,0.158932511047841
