threshold,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.162051588346083,0.640609427609428,0.656666666666667,0.511111111111111,0.125416532558095,0.140505201998836,0.151647683821792
0.173076367133866,0.639905723905724,0.656666666666667,0.511111111111111,0.125295941210078,0.140505201998836,0.151647683821792
0.532046804567882,0.625511784511785,0.747878787878788,0.394444444444444,0.122882132241067,0.176423628960818,0.183080633925379
0.591576756978002,0.620959595959596,0.764545454545455,0.369259259259259,0.122782681037622,0.163625043147257,0.176448172879466
0.602189866306707,0.619956228956229,0.767878787878788,0.358888888888889,0.12260270975095,0.156819582626669,0.167980770859223
0.745618296406918,0.599468013468013,0.804545454545455,0.248888888888889,0.12103327376061,0.143059234981855,0.151608377217657
0.750493429488778,0.600239057239057,0.807878787878788,0.245185185185185,0.121674207694433,0.146484078510118,0.153626055568787
0.837794844664959,0.581535353535354,0.850606060606061,0.196296296296296,0.117805989954769,0.141051769878594,0.151572805316389
0.98828323207436,0.555424242424242,0.933333333333333,0.0537037037037037,0.119799081553087,0.0922266074754828,0.0673706972020687
1.00314192515242,0.55479797979798,0.94,0.05,0.120796733238867,0.0855005545454894,0.067159734738905
1.02198729764945,0.551464646464646,0.943333333333333,0.05,0.121440539306882,0.0858359836662575,0.067159734738905
1.03167824117972,0.550565656565657,0.95,0.05,0.120459621702106,0.0776819332832332,0.067159734738905
1.23487804006921,0.503959595959596,0.996666666666667,0,0.0908810297648937,0.0182574185835055,0
1.23519872907238,0.503959595959596,0.996666666666667,0,0.0908810297648937,0.0182574185835055,0
1.24531523119837,0.495676767676768,0.996666666666667,0,0.0857482414255712,0.0182574185835055,0
