mtry,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
1,0.503974747474747,0.544242424242424,0.397037037037037,0.113641886277815,0.141436133036497,0.140936880199503
2,0.53173569023569,0.560909090909091,0.44,0.109250927155674,0.155861079093087,0.139865531724817
3,0.521456228956229,0.570909090909091,0.437037037037037,0.118289881351688,0.150280444590167,0.131608684173821
4,0.532195286195286,0.574242424242424,0.451111111111111,0.121385458707103,0.16086265262159,0.12660548364395
6,0.530742424242424,0.571212121212121,0.433333333333333,0.11145679984698,0.151276196106036,0.14754987756236
7,0.530223905723906,0.564545454545455,0.441111111111111,0.11409104260479,0.149804660497062,0.160383480420604
